time,latlng,distance,altitude,velocity_smooth,heartrate,grade_smooth
0,"[32.223503, -110.903066]",0.0,771.3,0.0,81,0.0
1,"[32.223503, -110.903066]",0.0,771.3,0.0,82,0.0
11,"[32.223503, -110.903066]",17.3,771.3,1.57,86,0.0
12,"[32.223503, -110.903066]",20.7,771.3,1.884,82,0.0
14,"[32.223503, -110.903066]",27.7,771.3,2.132,85,0.0
17,"[32.223503, -110.903066]",38.2,771.3,3.498,88,0.0
23,"[32.223503, -110.903066]",58.7,771.3,3.442,91,0.0
25,"[32.223503, -110.903066]",65.4,771.3,3.405,95,0.0
28,"[32.223503, -110.903066]",75.9,771.3,3.448,98,0.0
31,"[32.223503, -110.903066]",86.5,771.3,3.513,101,0.0
33,"[32.223503, -110.903066]",93.4,771.3,3.49,104,0.0
35,"[32.223503, -110.903066]",100.2,771.3,3.463,108,0.0
36,"[32.223503, -110.903066]",103.6,771.3,3.408,111,0.0
37,"[32.223503, -110.903066]",106.9,771.3,3.395,111,0.0
38,"[32.223503, -110.903066]",110.3,771.3,3.376,114,0.3
44,"[32.223503, -110.903066]",125.9,771.3,2.71,116,0.3
49,"[32.223661, -110.903072]",143.4,771.4,3.013,119,0.3
51,"[32.22367, -110.903077]",144.7,771.4,2.684,120,0.4
52,"[32.223661, -110.903073]",144.7,771.4,2.349,120,0.0
54,"[32.223607, -110.903069]",150.6,771.4,1.432,123,0.0
55,"[32.223578, -110.903072]",153.9,771.4,1.748,127,0.5
56,"[32.223548, -110.903069]",157.1,771.4,2.494,122,0.5
58,"[32.223475, -110.903071]",165.2,771.5,3.427,126,0.5
59,"[32.223434, -110.903067]",169.8,771.5,3.844,129,0.8
60,"[32.223396, -110.903068]",174.1,771.5,4.034,123,2.3
62,"[32.223331, -110.90307]",181.2,771.6,4.017,120,1.9
67,"[32.223168, -110.903112]",199.8,772.3,3.679,123,0.8
69,"[32.223119, -110.903159]",206.9,772.2,3.66,123,0.0
73,"[32.22307, -110.903331]",224.1,771.9,4.05,123,-1.4
79,"[32.223033, -110.90357]",247.1,771.6,4.022,123,-1.4
84,"[32.223037, -110.903759]",265.0,771.4,3.718,126,-1.2
86,"[32.22303, -110.903834]",272.2,771.3,3.584,126,-1.3
92,"[32.222961, -110.904078]",296.4,771.0,3.92,127,-1.1
93,"[32.222941, -110.90412]",300.9,770.9,4.104,127,-1.0
98,"[32.222827, -110.904247]",318.9,770.8,3.75,128,-0.7
103,"[32.222682, -110.904273]",335.3,770.7,3.438,131,0.0
105,"[32.222623, -110.904278]",341.8,770.7,3.276,131,0.2
111,"[32.222435, -110.904286]",362.7,770.9,3.424,130,0.2
114,"[32.222346, -110.904314]",372.9,770.9,3.451,129,0.2
118,"[32.222251, -110.904382]",385.5,770.8,3.267,127,-0.6
119,"[32.222237, -110.904418]",389.2,770.8,3.266,126,-0.7
125,"[32.222201, -110.904639]",410.5,770.6,3.564,126,-0.7
130,"[32.222165, -110.904838]",429.7,770.5,3.685,129,-0.7
133,"[32.222171, -110.904954]",440.6,770.4,3.766,128,-0.5
138,"[32.22212, -110.905097]",455.9,770.3,3.272,127,-0.4
142,"[32.222016, -110.905174]",469.6,770.3,3.222,130,0.0
144,"[32.221959, -110.90519]",476.2,770.3,3.377,129,0.3
148,"[32.221844, -110.905207]",489.0,770.4,3.223,132,0.4
150,"[32.221795, -110.905228]",494.8,770.4,3.102,131,0.5
151,"[32.221782, -110.905247]",497.1,770.4,2.989,134,0.0
161,"[32.221782, -110.905321]",497.2,770.4,0.22,133,1.0
163,"[32.221766, -110.905321]",499.0,770.4,0.157,132,1.1
166,"[32.221709, -110.905324]",505.3,770.5,1.614,132,1.1
176,"[32.221659, -110.90537]",506.2,770.5,0.559,132,1.3
180,"[32.221579, -110.905334]",515.9,770.6,0.76,129,0.9
186,"[32.221402, -110.905212]",538.8,770.9,3.254,127,0.8
192,"[32.221229, -110.905168]",558.5,771.0,3.548,127,0.6
196,"[32.221112, -110.905161]",571.6,771.0,3.283,130,0.0
199,"[32.22101, -110.905164]",583.0,771.0,3.507,129,-0.5
204,"[32.220861, -110.905157]",599.5,770.9,3.481,132,-0.8
210,"[32.22067, -110.905157]",620.7,770.7,3.424,133,-0.9
216,"[32.220475, -110.905145]",642.3,770.4,3.571,135,-1.0
217,"[32.220431, -110.905146]",647.2,770.4,3.783,133,-0.9
221,"[32.220298, -110.905139]",662.0,770.3,3.94,136,-0.9
225,"[32.220167, -110.905135]",676.5,770.2,3.67,137,-1.0
231,"[32.219993, -110.905129]",695.8,769.9,3.382,140,-1.2
232,"[32.219959, -110.905135]",699.7,769.9,3.303,140,-1.2
235,"[32.219873, -110.905177]",710.2,769.7,3.367,141,-0.9
237,"[32.219839, -110.905247]",717.8,769.7,3.638,140,-1.0
242,"[32.219809, -110.905459]",738.1,769.5,3.984,139,-0.4
243,"[32.219802, -110.905493]",741.4,769.5,3.923,139,-0.4
248,"[32.21978, -110.905713]",762.3,769.5,4.035,138,0.2
250,"[32.219769, -110.905797]",770.3,769.5,4.136,139,0.2
256,"[32.21977, -110.906017]",791.1,769.6,3.595,139,0.2
257,"[32.219769, -110.906061]",795.2,769.6,3.556,139,0.2
263,"[32.219765, -110.906285]",816.3,769.6,3.61,140,0.2
264,"[32.219766, -110.906316]",819.2,769.6,3.431,140,0.0
270,"[32.219746, -110.906543]",840.8,769.7,3.503,141,0.0
276,"[32.219713, -110.90676]",862.0,769.6,3.563,143,-0.1
277,"[32.219716, -110.906801]",865.9,769.6,3.573,142,-0.7
282,"[32.219753, -110.907032]",887.7,769.5,4.282,140,-0.7
285,"[32.219756, -110.907159]",899.6,769.3,4.223,143,-0.7
291,"[32.219782, -110.9074]",922.1,769.2,3.827,144,-0.8
292,"[32.219801, -110.907436]",926.0,769.2,3.759,145,-0.5
296,"[32.219826, -110.907566]",938.3,769.1,3.238,145,-0.6
301,"[32.219828, -110.907747]",955.3,769.0,3.26,146,-0.8
305,"[32.219834, -110.907894]",969.2,768.9,3.433,147,-0.8
310,"[32.219829, -110.908082]",987.0,768.7,3.528,147,-1.0
316,"[32.219813, -110.908312]",1009.0,768.5,3.615,146,-0.9
321,"[32.219812, -110.908487]",1025.4,768.3,3.486,145,-0.8
327,"[32.219804, -110.908689]",1044.5,768.2,3.225,146,-0.9
331,"[32.219799, -110.908828]",1057.7,768.1,3.232,143,-0.7
334,"[32.21981, -110.908925]",1066.9,768.0,3.209,140,-0.8
335,"[32.219816, -110.908969]",1071.1,768.0,3.326,138,-1.0
342,"[32.219819, -110.90921]",1093.8,767.8,3.366,138,-1.0
343,"[32.219814, -110.909253]",1098.0,767.7,3.363,137,-1.6
348,"[32.21981, -110.909431]",1114.6,767.5,3.457,138,-2.0
365,"[32.219747, -110.909511]",1115.9,767.3,0.815,136,-0.6
366,"[32.219734, -110.909533]",1118.5,767.3,0.217,136,0.0
370,"[32.219705, -110.909648]",1129.8,767.5,2.788,136,1.4
423,"[32.219691, -110.9097]",1129.8,767.5,0.199,104,2.6
424,"[32.219682, -110.9097]",1129.8,767.5,0.0,104,0.0
425,"[32.219674, -110.9097]",1129.8,767.6,0.0,103,-0.3
428,"[32.21957, -110.909794]",1144.1,767.5,2.842,102,-0.5
431,"[32.219398, -110.909831]",1163.1,767.4,5.543,102,-0.7
435,"[32.219161, -110.909869]",1189.3,767.2,6.466,103,-0.8
438,"[32.219042, -110.909875]",1202.5,767.1,5.633,106,-0.7
443,"[32.218849, -110.90988]",1223.9,766.9,4.321,108,-0.8
449,"[32.218641, -110.909885]",1247.0,766.8,4.045,109,-0.8
451,"[32.218568, -110.909882]",1255.1,766.7,3.905,110,-0.7
454,"[32.218462, -110.909885]",1266.9,766.6,3.97,113,-0.9
458,"[32.21832, -110.909893]",1282.7,766.5,3.936,114,-0.9
464,"[32.218119, -110.909889]",1305.0,766.3,3.817,114,-0.7
466,"[32.218053, -110.909886]",1312.4,766.2,3.711,116,-0.8
469,"[32.217953, -110.909898]",1323.4,766.2,3.68,120,-0.6
471,"[32.217883, -110.909898]",1331.2,766.1,3.774,116,-0.6
473,"[32.217812, -110.909901]",1339.1,766.1,3.823,115,-0.7
479,"[32.217613, -110.909934]",1361.4,765.9,3.775,115,-0.7
480,"[32.217579, -110.909932]",1365.2,765.9,3.73,115,-0.9
486,"[32.217372, -110.909928]",1388.2,765.7,3.826,115,-0.8
488,"[32.217305, -110.909929]",1395.6,765.6,3.796,119,-0.9
489,"[32.217272, -110.909928]",1399.2,765.6,3.779,116,-0.8
495,"[32.217068, -110.909922]",1421.9,765.4,3.759,119,-0.6
496,"[32.217036, -110.90992]",1425.5,765.4,3.754,119,-0.5
501,"[32.216872, -110.909915]",1443.7,765.3,3.633,122,-0.4
504,"[32.216781, -110.9099]",1453.9,765.3,3.545,122,-0.3
510,"[32.216584, -110.9099]",1475.6,765.2,3.548,122,-0.4
512,"[32.216518, -110.909903]",1483.1,765.2,3.648,124,-0.6
