time,latlng,distance,altitude,velocity_smooth,heartrate,grade_smooth
0,"[32.272406, -110.901093]",0.0,731.3,0.0,72,-0.9
12,"[32.27269, -110.901163]",32.8,730.9,3.559,69,-0.9
15,"[32.272786, -110.901163]",43.4,730.9,3.574,72,-0.8
22,"[32.273012, -110.901165]",68.5,730.7,3.596,81,-0.2
29,"[32.273233, -110.90119]",93.1,730.7,3.514,86,-0.2
35,"[32.273415, -110.901254]",114.2,730.6,3.465,87,-0.4
42,"[32.273632, -110.901333]",139.3,730.5,3.652,95,-0.3
46,"[32.27376, -110.901366]",153.9,730.5,3.653,102,0.2
51,"[32.273918, -110.901386]",171.5,730.4,3.56,105,0.3
62,"[32.274276, -110.901312]",213.7,730.7,3.835,111,0.3
66,"[32.274328, -110.901165]",229.2,730.6,3.784,116,-0.5
73,"[32.274272, -110.900897]",255.5,730.5,3.759,114,-0.2
78,"[32.274181, -110.900726]",274.5,730.5,3.769,117,0.0
82,"[32.274104, -110.900602]",289.0,730.5,3.718,117,0.4
88,"[32.273976, -110.900423]",311.1,730.6,3.654,117,0.5
95,"[32.273826, -110.900206]",337.5,730.8,3.779,118,1.4
102,"[32.273662, -110.900026]",362.4,731.3,3.551,120,2.7
109,"[32.273514, -110.899841]",386.2,732.1,3.41,120,2.8
119,"[32.273657, -110.89955]",420.0,732.2,3.513,120,-0.4
120,"[32.273677, -110.899523]",423.4,732.2,3.527,119,-0.4
128,"[32.273813, -110.899257]",453.4,732.1,3.745,119,-0.1
133,"[32.27378, -110.899083]",470.3,732.1,3.451,122,0.0
141,"[32.273724, -110.898786]",499.0,732.1,3.589,120,0.0
148,"[32.273641, -110.898554]",522.7,732.1,3.386,121,0.2
155,"[32.273561, -110.898308]",547.5,732.2,3.546,123,0.5
161,"[32.273493, -110.898074]",570.7,732.3,3.844,123,0.5
170,"[32.273421, -110.897746]",602.8,732.5,3.558,124,0.5
172,"[32.273397, -110.897675]",610.0,732.5,3.691,124,0.4
252,"[32.273217, -110.897374]",639.2,732.6,1.652,103,0.4
257,"[32.273113, -110.897204]",659.1,732.7,3.988,99,0.7
264,"[32.272979, -110.896983]",684.7,732.9,3.65,100,0.6
270,"[32.272855, -110.896788]",707.5,733.0,3.76,100,0.4
276,"[32.27273, -110.896607]",729.5,733.1,3.739,100,0.5
283,"[32.272592, -110.896391]",755.0,733.3,3.608,108,0.7
287,"[32.272507, -110.896268]",770.0,733.4,3.727,111,0.6
294,"[32.272363, -110.896046]",796.4,733.5,3.769,117,0.5
300,"[32.27226, -110.895863]",817.0,733.6,3.569,120,0.5
307,"[32.272138, -110.895635]",842.4,733.7,3.62,123,0.5
312,"[32.272044, -110.895481]",860.3,733.8,3.617,124,0.6
320,"[32.27192, -110.89521]",889.3,734.0,3.628,123,0.6
326,"[32.271833, -110.895008]",910.6,734.1,3.548,123,0.4
333,"[32.271743, -110.894767]",935.4,734.2,3.543,128,0.4
339,"[32.271672, -110.894571]",955.6,734.3,3.367,121,0.3
349,"[32.271547, -110.894235]",990.2,734.4,3.553,126,0.4
355,"[32.271485, -110.894021]",1011.4,734.5,3.576,127,0.3
357,"[32.271461, -110.893952]",1018.5,734.5,3.536,129,0.2
365,"[32.271388, -110.893663]",1046.9,734.5,3.556,127,0.0
371,"[32.271331, -110.893439]",1069.0,734.5,3.629,126,0.0
379,"[32.271257, -110.893141]",1098.2,734.5,3.652,123,-0.7
381,"[32.271237, -110.893064]",1105.8,734.4,3.692,123,-0.9
388,"[32.27117, -110.892796]",1132.2,734.0,3.759,125,-1.3
396,"[32.271066, -110.892542]",1158.9,733.8,3.35,126,1.0
404,"[32.270981, -110.892239]",1188.5,734.2,3.69,129,2.0
411,"[32.270892, -110.891987]",1214.2,734.9,3.673,131,2.2
414,"[32.270852, -110.891876]",1225.5,735.2,3.67,131,1.9
422,"[32.270717, -110.891609]",1254.9,735.5,3.679,133,0.2
428,"[32.270627, -110.891403]",1276.8,735.4,3.633,135,-0.5
436,"[32.270507, -110.891127]",1306.0,735.2,3.656,135,-0.4
443,"[32.270393, -110.890905]",1330.4,735.2,3.489,137,-0.2
446,"[32.270349, -110.890807]",1340.9,735.1,3.511,138,-0.2
452,"[32.270234, -110.890596]",1364.5,735.1,3.784,139,-0.2
461,"[32.270086, -110.890298]",1397.0,735.2,3.664,146,0.2
465,"[32.270025, -110.890164]",1411.3,735.2,3.607,146,0.1
471,"[32.26994, -110.889966]",1432.3,735.2,3.522,146,0.0
480,"[32.269841, -110.889626]",1466.1,735.2,3.76,146,0.2
487,"[32.269721, -110.889408]",1490.6,735.3,3.507,143,0.7
489,"[32.269675, -110.88935]",1498.1,735.4,3.646,142,0.7
497,"[32.269468, -110.889146]",1528.1,735.6,3.743,142,0.9
503,"[32.269289, -110.889054]",1549.8,735.8,3.622,142,2.0
510,"[32.269048, -110.889019]",1576.9,736.7,3.864,143,5.0
516,"[32.268926, -110.888946]",1594.4,737.7,2.92,140,1.5
522,"[32.268932, -110.888715]",1616.1,737.6,3.623,137,-0.2
528,"[32.26894, -110.88849]",1637.4,737.6,3.454,137,-0.3
538,"[32.268928, -110.888108]",1673.7,737.4,3.626,139,-0.6
543,"[32.268856, -110.887906]",1694.3,737.3,3.796,140,-0.7
546,"[32.268802, -110.887799]",1706.0,737.2,4.048,140,-0.5
553,"[32.268671, -110.887582]",1731.2,737.1,3.59,141,-0.4
559,"[32.268547, -110.8874]",1753.1,737.1,3.659,143,-0.2
566,"[32.268402, -110.887172]",1780.0,737.0,3.843,144,-0.2
572,"[32.268301, -110.886968]",1802.3,737.0,3.794,145,0.0
580,"[32.268187, -110.886695]",1831.0,737.0,3.589,142,0.2
581,"[32.268177, -110.886658]",1834.7,737.1,3.541,142,0.2
588,"[32.268104, -110.886382]",1861.9,737.1,3.886,141,0.2
597,"[32.268004, -110.886071]",1893.2,737.2,3.483,138,0.5
603,"[32.267948, -110.885863]",1913.8,737.3,3.519,139,0.5
612,"[32.267865, -110.88554]",1945.6,737.5,3.537,142,0.3
615,"[32.267835, -110.885441]",1955.5,737.5,3.479,142,0.1
621,"[32.267786, -110.885228]",1976.3,737.5,3.411,142,0.0
626,"[32.267737, -110.885039]",1994.9,737.5,3.58,141,0.1
634,"[32.267679, -110.884743]",2023.6,737.6,3.583,142,0.3
642,"[32.267608, -110.884442]",2053.0,737.7,3.681,142,0.4
647,"[32.267564, -110.884261]",2070.8,737.8,3.556,142,0.4
656,"[32.267474, -110.883941]",2102.6,737.9,3.534,139,0.0
662,"[32.267346, -110.883768]",2124.3,737.8,3.62,141,0.2
667,"[32.267202, -110.883683]",2142.2,737.9,3.597,144,0.2
672,"[32.267115, -110.883563]",2158.6,738.0,3.264,146,-2.5
682,"[32.267258, -110.88324]",2193.2,737.0,3.463,145,-1.8
687,"[32.267316, -110.883072]",2210.3,737.0,3.457,142,-0.6
694,"[32.267407, -110.88283]",2235.3,737.1,3.581,145,0.6
700,"[32.267359, -110.882597]",2258.1,737.3,3.792,147,1.3
706,"[32.2673, -110.882354]",2281.9,737.7,3.97,146,2.0
713,"[32.267362, -110.882116]",2307.2,738.3,3.616,145,2.3
717,"[32.267491, -110.882128]",2321.7,738.6,3.604,145,0.7
722,"[32.267654, -110.882221]",2341.9,738.7,3.936,145,0.5
