time,latlng,distance,altitude,velocity_smooth,heartrate,grade_smooth
0,"[32.222791, -110.904194]",0.0,770.8,0.0,65,-1.0
1,"[32.222797, -110.904184]",0.9,770.8,0.9,66,-0.4
6,"[32.222788, -110.904262]",9.8,770.7,1.633,66,0.0
11,"[32.222641, -110.904293]",26.4,770.7,2.553,70,0.2
14,"[32.222531, -110.904298]",38.6,770.8,3.599,74,0.6
19,"[32.222367, -110.904298]",56.7,770.9,3.789,77,0.6
20,"[32.222327, -110.904305]",61.2,771.0,3.768,79,0.5
25,"[32.222169, -110.904316]",78.9,771.0,3.695,82,0.3
26,"[32.22215, -110.904297]",81.6,771.0,3.405,82,0.0
30,"[32.222093, -110.90419]",93.6,771.0,2.932,85,0.0
32,"[32.222059, -110.904133]",100.0,771.0,3.067,90,0.0
34,"[32.222032, -110.904063]",107.3,771.0,3.208,93,0.4
36,"[32.222025, -110.903989]",114.3,771.0,3.453,96,0.4
38,"[32.22202, -110.903912]",121.6,771.1,3.597,96,0.7
39,"[32.222018, -110.903878]",124.8,771.1,3.504,100,1.0
42,"[32.222021, -110.90377]",134.9,771.2,3.443,103,0.8
45,"[32.222016, -110.90367]",144.4,771.3,3.265,106,1.1
46,"[32.222022, -110.903633]",147.9,771.3,3.306,107,1.2
53,"[32.222028, -110.903392]",170.6,771.6,3.274,109,1.3
55,"[32.222029, -110.903323]",177.1,771.7,3.242,111,1.4
57,"[32.222034, -110.903252]",183.8,771.8,3.262,114,1.4
63,"[32.22204, -110.903038]",204.1,772.1,3.366,113,1.3
66,"[32.222039, -110.90293]",214.2,772.2,3.379,118,1.4
71,"[32.22204, -110.902759]",230.3,772.4,3.283,117,1.2
77,"[32.22204, -110.902547]",250.4,772.7,3.285,120,1.4
80,"[32.222039, -110.902436]",260.8,772.8,3.381,121,1.2
86,"[32.222028, -110.902233]",280.0,773.1,3.298,123,1.0
91,"[32.222038, -110.902062]",296.2,773.2,3.224,120,0.8
93,"[32.222039, -110.901992]",302.8,773.2,3.249,123,0.3
96,"[32.222037, -110.901889]",312.5,773.2,3.264,122,0.0
97,"[32.222037, -110.901854]",315.7,773.2,3.255,125,-0.3
99,"[32.22203, -110.901783]",322.5,773.2,3.29,122,-0.9
103,"[32.222029, -110.901646]",335.5,773.1,3.285,123,-1.1
110,"[32.222037, -110.901401]",358.5,772.8,3.271,124,-1.2
111,"[32.222036, -110.901368]",361.7,772.7,3.279,127,-1.5
114,"[32.222033, -110.90126]",371.8,772.6,3.305,128,-2.2
117,"[32.22202, -110.901163]",381.1,772.4,3.235,131,-2.5
121,"[32.221968, -110.901043]",394.1,772.0,3.183,129,-2.5
122,"[32.221942, -110.90103]",397.3,771.8,3.236,129,-2.0
125,"[32.221852, -110.901013]",407.3,771.7,3.28,129,-1.4
131,"[32.22168, -110.90102]",426.4,771.5,3.234,132,-0.9
