time,latlng,distance,altitude,velocity_smooth,heartrate,grade_smooth
1,"[35.22284, -111.622298]",0.0,2127.0,0.0,94,-18.3
14,"[35.222654, -111.622509]",26.3,2126.0,3.017,105,-2.9
19,"[35.22252, -111.622673]",48.1,2125.4,4.36,108,-2.2
25,"[35.222335, -111.622799]",71.6,2124.9,3.905,116,-1.6
33,"[35.222073, -111.622936]",103.3,2124.5,3.92,126,-0.7
38,"[35.221914, -111.622974]",121.3,2124.4,3.746,129,-0.4
49,"[35.221554, -111.62303]",161.7,2124.3,3.679,133,-0.2
55,"[35.221375, -111.623064]",181.8,2124.3,3.546,134,0.0
62,"[35.221449, -111.623068]",201.3,2124.3,2.797,136,0.0
68,"[35.221641, -111.623024]",223.5,2124.3,3.69,135,-1.3
77,"[35.221599, -111.622641]",259.7,2123.3,3.987,139,-2.2
84,"[35.221525, -111.622374]",285.5,2122.8,3.696,138,-2.1
89,"[35.221469, -111.622176]",304.5,2122.4,3.731,141,-2.0
93,"[35.221424, -111.622008]",320.6,2122.0,3.899,142,-2.2
100,"[35.221349, -111.621745]",345.9,2121.5,3.613,144,-1.8
107,"[35.221263, -111.621486]",371.4,2121.1,3.646,146,-1.7
118,"[35.221024, -111.621176]",410.1,2120.4,3.517,151,-1.8
124,"[35.220889, -111.621028]",430.2,2120.0,3.428,152,-1.9
132,"[35.220688, -111.620853]",457.6,2119.5,3.43,152,-1.6
139,"[35.220519, -111.620698]",481.1,2119.2,3.356,151,-1.2
146,"[35.220341, -111.620538]",505.7,2118.9,3.507,152,-1.4
153,"[35.220165, -111.620365]",530.8,2118.5,3.594,149,-1.4
162,"[35.219937, -111.620146]",563.2,2118.1,3.591,153,-1.6
169,"[35.21977, -111.619961]",588.2,2117.6,3.574,153,-1.9
174,"[35.219633, -111.619851]",606.3,2117.3,3.588,153,-1.8
181,"[35.219438, -111.619749]",630.0,2116.8,3.38,155,-2.0
189,"[35.219217, -111.619637]",656.4,2116.3,3.299,152,-1.8
195,"[35.219051, -111.619531]",677.1,2115.9,3.441,154,-1.8
201,"[35.218868, -111.619455]",698.6,2115.6,3.577,151,-1.6
211,"[35.218575, -111.619293]",734.3,2115.0,3.57,148,-1.7
219,"[35.218326, -111.619179]",763.8,2114.5,3.69,150,-1.6
283,"[35.218114, -111.619228]",782.8,2114.1,0.196,128,-2.3
293,"[35.217828, -111.619125]",815.7,2113.6,4.613,124,-1.7
296,"[35.217723, -111.619068]",828.4,2113.3,4.466,126,-1.8
301,"[35.217573, -111.618952]",848.2,2112.9,4.064,126,-1.9
309,"[35.217318, -111.618839]",878.3,2112.4,3.767,124,-1.6
316,"[35.2171, -111.618706]",905.4,2112.0,3.867,123,-1.3
322,"[35.216921, -111.6186]",927.4,2111.7,3.751,126,-1.3
332,"[35.216632, -111.618421]",963.4,2111.3,3.599,131,-0.9
335,"[35.216547, -111.618369]",974.1,2111.3,3.507,134,-0.9
348,"[35.216184, -111.618204]",1017.6,2110.8,3.346,140,-1.7
355,"[35.215957, -111.618205]",1042.8,2110.1,3.606,143,-2.8
358,"[35.215855, -111.618208]",1054.2,2109.8,3.678,144,-2.6
366,"[35.215608, -111.618182]",1081.8,2109.1,3.444,146,-2.0
374,"[35.215359, -111.618192]",1109.5,2108.7,3.469,148,-1.5
381,"[35.215144, -111.618209]",1133.5,2108.3,3.426,147,-1.5
387,"[35.214951, -111.618201]",1154.9,2108.0,3.567,147,-1.5
397,"[35.214636, -111.618198]",1189.9,2107.5,3.499,148,-1.6
405,"[35.21439, -111.618198]",1217.2,2107.0,3.413,152,-1.9
410,"[35.214265, -111.618149]",1232.6,2106.7,3.07,152,0.3
417,"[35.214346, -111.617964]",1251.9,2107.1,2.753,154,1.6
426,"[35.214376, -111.617614]",1283.6,2107.5,3.528,154,-3.3
434,"[35.214396, -111.617299]",1312.4,2105.1,3.603,153,-5.8
439,"[35.214312, -111.617162]",1329.9,2104.8,3.502,151,-2.0
446,"[35.214071, -111.617161]",1356.7,2104.2,3.819,150,-2.5
453,"[35.213853, -111.6172]",1381.3,2103.5,3.511,149,-2.5
463,"[35.213534, -111.6172]",1416.6,2102.7,3.536,150,-2.2
466,"[35.213439, -111.617203]",1427.1,2102.5,3.553,153,-2.2
478,"[35.213049, -111.617183]",1470.5,2101.4,3.614,155,-2.2
481,"[35.212954, -111.61717]",1481.1,2101.2,3.57,154,-2.1
490,"[35.212685, -111.617159]",1511.0,2100.7,3.319,149,-1.3
497,"[35.212457, -111.617151]",1536.3,2100.5,3.611,153,-0.9
505,"[35.212208, -111.617162]",1563.9,2100.2,3.459,154,-1.2
510,"[35.21205, -111.617166]",1581.4,2100.0,3.446,154,-1.4
518,"[35.211795, -111.617178]",1609.8,2099.6,3.541,155,-1.4
527,"[35.211521, -111.617172]",1640.3,2099.2,3.39,161,-1.1
536,"[35.211218, -111.617145]",1673.9,2098.9,3.739,165,-1.1
539,"[35.211119, -111.617144]",1684.9,2098.8,3.72,166,-0.9
549,"[35.210808, -111.617145]",1719.5,2098.5,3.453,164,-1.3
558,"[35.210582, -111.617144]",1744.7,2098.0,2.8,161,-2.2
566,"[35.210344, -111.617107]",1771.3,2097.1,3.337,163,-2.7
574,"[35.210097, -111.617134]",1798.9,2096.5,3.445,162,-1.9
581,"[35.209874, -111.617136]",1823.6,2096.1,3.529,161,-1.1
584,"[35.209781, -111.617135]",1833.9,2096.0,3.481,161,-1.0
593,"[35.209506, -111.617147]",1864.5,2095.8,3.394,163,-1.0
599,"[35.2093, -111.617138]",1887.4,2095.5,3.699,161,-1.2
609,"[35.208978, -111.617137]",1923.2,2095.1,3.577,160,-1.2
611,"[35.208912, -111.617129]",1930.5,2095.0,3.728,160,-1.3
620,"[35.20862, -111.617114]",1963.0,2094.5,3.608,160,-0.9
626,"[35.208428, -111.617103]",1984.3,2094.4,3.567,161,-0.6
636,"[35.208119, -111.617101]",2018.6,2094.3,3.433,160,-0.2
643,"[35.207889, -111.617103]",2044.2,2094.3,3.653,161,0.0
648,"[35.207732, -111.617103]",2061.6,2094.4,3.561,162,-0.4
658,"[35.207412, -111.617104]",2097.1,2094.0,3.555,157,-1.2
664,"[35.207227, -111.61711]",2117.6,2093.8,3.452,157,-1.5
670,"[35.207036, -111.617121]",2138.9,2093.5,3.48,157,-1.4
