time,latlng,distance,altitude,velocity_smooth,heartrate,grade_smooth
0,"[35.222696, -111.622106]",0.0,2127.5,0.0,86,-11.6
1,"[35.222696, -111.622106]",0.0,2127.5,0.0,86,-8.8
4,"[35.222415, -111.622306]",10.3,2126.3,2.585,84,-7.8
6,"[35.222451, -111.622347]",15.8,2126.1,3.168,83,-7.7
8,"[35.222463, -111.622382]",19.2,2126.0,2.747,83,-3.5
9,"[35.22246, -111.622397]",20.6,2125.9,2.062,85,-3.2
11,"[35.222448, -111.62244]",24.7,2125.8,1.766,88,-2.9
15,"[35.222421, -111.622543]",34.4,2125.5,2.293,91,-2.4
22,"[35.222297, -111.622693]",54.2,2125.0,2.687,93,-2.4
28,"[35.222125, -111.622802]",75.5,2124.6,3.163,94,-1.8
29,"[35.222098, -111.622819]",78.8,2124.5,3.514,93,-1.5
33,"[35.221995, -111.622854]",90.6,2124.5,3.022,96,-0.9
36,"[35.221911, -111.622864]",93.2,2124.4,2.056,99,-0.5
37,"[35.221876, -111.622869]",97.1,2124.4,2.289,99,-1.2
38,"[35.221848, -111.62287]",100.2,2124.4,1.914,102,-0.5
40,"[35.22178, -111.622884]",107.8,2124.3,2.459,105,-0.5
42,"[35.221718, -111.622883]",114.7,2124.3,3.52,108,-0.3
43,"[35.221684, -111.622881]",118.5,2124.3,3.666,108,0.0
47,"[35.22158, -111.622914]",130.6,2124.3,3.17,111,0.0
48,"[35.221552, -111.622932]",134.1,2124.3,3.118,111,0.0
51,"[35.221454, -111.622948]",145.1,2124.3,3.316,114,0.0
53,"[35.221391, -111.622955]",152.1,2124.3,3.584,115,0.0
58,"[35.221258, -111.622933]",167.0,2124.3,3.134,116,-0.4
63,"[35.22115, -111.622872]",180.2,2124.3,2.817,119,-0.5
67,"[35.22103, -111.62284]",194.0,2124.1,3.002,119,-0.9
72,"[35.220908, -111.622802]",208.1,2124.0,3.096,120,-1.1
79,"[35.220714, -111.622724]",230.6,2123.7,3.048,121,-1.2
82,"[35.220627, -111.622662]",241.8,2123.6,3.375,125,-1.4
85,"[35.220543, -111.622604]",252.4,2123.4,3.635,123,-1.7
87,"[35.220493, -111.622579]",258.5,2123.3,3.336,126,-1.8
90,"[35.22042, -111.622577]",266.6,2123.1,2.848,127,-1.6
91,"[35.220397, -111.622592]",269.3,2123.1,2.813,128,-1.9
94,"[35.22033, -111.622629]",277.2,2123.0,2.673,128,-1.3
95,"[35.220308, -111.622635]",279.7,2122.9,2.602,125,-1.8
96,"[35.220283, -111.622629]",282.4,2122.9,2.618,125,-2.4
99,"[35.220206, -111.622597]",291.3,2122.7,2.81,126,-2.2
104,"[35.220072, -111.622544]",306.9,2122.3,3.066,128,-2.4
111,"[35.219867, -111.622499]",329.8,2121.8,3.21,131,-2.5
113,"[35.21981, -111.622532]",336.8,2121.6,3.316,132,-2.4
115,"[35.219751, -111.622571]",344.2,2121.4,3.388,133,-2.9
118,"[35.219679, -111.622606]",352.7,2121.2,3.186,136,-2.4
120,"[35.21963, -111.622608]",357.8,2121.0,2.73,136,-2.2
126,"[35.219471, -111.622507]",377.8,2120.6,3.135,139,-2.4
131,"[35.219353, -111.622415]",393.2,2120.3,3.218,142,-2.3
135,"[35.219256, -111.622341]",405.9,2119.9,3.126,142,-2.4
140,"[35.219126, -111.622245]",422.8,2119.5,3.282,142,-2.6
146,"[35.218961, -111.622136]",443.5,2119.0,3.423,143,-2.1
147,"[35.21893, -111.622124]",447.2,2118.9,3.484,142,-1.8
153,"[35.218757, -111.622046]",467.5,2118.6,3.42,141,-1.0
159,"[35.218569, -111.621977]",489.2,2118.3,3.506,139,-0.9
166,"[35.21837, -111.621959]",511.3,2118.3,3.371,138,-0.6
167,"[35.218344, -111.621959]",514.2,2118.3,3.12,138,-0.2
174,"[35.218139, -111.621933]",536.8,2118.2,3.191,137,0.0
175,"[35.218113, -111.621937]",539.7,2118.2,3.188,137,0.9
176,"[35.21809, -111.621954]",542.7,2118.3,3.168,138,3.8
178,"[35.218064, -111.622018]",549.3,2118.6,3.188,139,4.1
182,"[35.218076, -111.622203]",566.0,2119.3,3.887,142,4.0
183,"[35.218084, -111.622232]",568.7,2119.4,3.894,143,3.6
187,"[35.218115, -111.622377]",582.4,2119.9,3.282,146,2.4
190,"[35.218128, -111.622504]",594.1,2120.2,3.627,146,2.1
196,"[35.218166, -111.622751]",617.0,2120.5,3.844,147,1.5
197,"[35.218177, -111.622787]",620.5,2120.5,3.773,147,1.3
203,"[35.218246, -111.623003]",641.6,2120.8,3.51,148,1.1
205,"[35.21827, -111.623073]",648.5,2120.9,3.491,150,1.0
209,"[35.218318, -111.623213]",662.3,2121.0,3.455,154,0.3
211,"[35.218336, -111.623291]",669.7,2121.0,3.538,151,-0.6
213,"[35.218352, -111.623362]",676.3,2120.9,3.48,151,-1.0
219,"[35.218397, -111.62358]",696.8,2120.6,3.384,150,-0.4
220,"[35.218407, -111.623623]",700.8,2120.6,3.506,149,1.1
226,"[35.218454, -111.623828]",720.2,2120.8,3.349,151,2.6
233,"[35.218484, -111.624054]",741.1,2121.6,3.096,153,2.6
239,"[35.218475, -111.62424]",758.3,2122.2,2.928,154,2.4
246,"[35.218388, -111.62442]",777.3,2122.6,2.788,153,1.4
253,"[35.218285, -111.624583]",796.1,2122.6,2.701,154,1.1
260,"[35.218173, -111.624766]",817.0,2122.7,2.835,154,1.3
267,"[35.218111, -111.624995]",839.7,2123.1,3.118,152,2.4
273,"[35.218104, -111.625212]",859.6,2123.7,3.274,153,3.2
280,"[35.218106, -111.625462]",882.3,2124.7,3.273,153,4.1
282,"[35.218106, -111.625545]",889.9,2125.0,3.366,154,4.4
288,"[35.218082, -111.625767]",910.3,2126.0,3.502,153,4.5
289,"[35.218075, -111.625804]",913.8,2126.1,3.413,153,4.6
293,"[35.218067, -111.625944]",926.5,2126.7,3.238,156,4.1
295,"[35.218058, -111.626021]",933.6,2127.0,3.307,153,4.7
296,"[35.218058, -111.626057]",936.9,2127.1,3.303,153,5.1
303,"[35.218034, -111.626289]",958.2,2128.2,3.074,155,5.6
309,"[35.218027, -111.626497]",977.2,2129.3,3.105,158,6.0
314,"[35.218025, -111.626663]",992.4,2130.3,3.112,158,6.3
321,"[35.218003, -111.6269]",1014.1,2131.7,3.071,158,6.3
322,"[35.217995, -111.626932]",1017.1,2131.9,3.083,158,6.3
328,"[35.21795, -111.627113]",1034.3,2132.9,2.884,161,6.1
329,"[35.217943, -111.627143]",1037.2,2133.1,2.867,161,5.7
333,"[35.217896, -111.627256]",1048.7,2133.8,2.876,164,5.5
335,"[35.217872, -111.627324]",1055.4,2134.1,3.048,165,5.4
342,"[35.21778, -111.627517]",1075.7,2135.2,3.008,165,5.3
348,"[35.217693, -111.627676]",1093.1,2136.1,2.899,164,5.3
355,"[35.217567, -111.627865]",1115.2,2137.3,3.035,164,5.4
356,"[35.217551, -111.627892]",1118.2,2137.4,3.139,163,5.6
360,"[35.217494, -111.628]",1129.8,2138.1,2.92,162,5.8
361,"[35.21748, -111.628028]",1132.7,2138.3,2.896,159,6.3
362,"[35.217468, -111.628058]",1135.8,2138.5,2.92,162,7.0
363,"[35.217455, -111.628087]",1138.8,2138.7,2.93,162,7.1
370,"[35.217414, -111.628262]",1155.3,2139.9,2.447,163,7.4
371,"[35.217407, -111.628291]",1158.1,2140.1,2.414,163,7.5
378,"[35.217365, -111.628501]",1177.7,2141.6,2.79,163,7.7
384,"[35.217343, -111.628687]",1194.7,2142.9,2.818,162,7.6
391,"[35.217308, -111.628895]",1213.9,2144.4,2.791,164,7.3
398,"[35.217257, -111.62911]",1234.2,2145.9,2.821,163,6.6
405,"[35.21721, -111.629321]",1254.1,2147.2,2.869,162,5.0
412,"[35.217151, -111.629523]",1273.6,2148.1,2.816,161,3.8
419,"[35.217058, -111.629715]",1293.9,2148.4,2.846,160,1.4
420,"[35.21704, -111.629738]",1296.9,2148.3,2.906,161,0.0
427,"[35.216896, -111.629911]",1319.2,2148.1,3.161,160,-0.5
430,"[35.216837, -111.629975]",1328.1,2148.1,3.119,161,-0.2
437,"[35.216682, -111.630115]",1349.5,2148.1,3.022,162,0.4
440,"[35.216626, -111.630184]",1358.3,2148.2,3.022,165,0.8
442,"[35.216583, -111.630224]",1364.3,2148.3,2.978,166,2.1
446,"[35.216504, -111.630303]",1375.6,2148.5,2.89,169,2.8
450,"[35.216402, -111.630341]",1387.5,2148.9,2.894,169,4.8
451,"[35.216377, -111.630347]",1390.3,2149.1,2.932,169,6.8
458,"[35.216213, -111.630423]",1410.0,2150.5,2.815,167,8.1
464,"[35.216118, -111.630571]",1427.2,2152.0,2.838,166,8.3
470,"[35.21603, -111.63071]",1443.2,2153.4,2.763,163,8.4
477,"[35.215865, -111.630802]",1462.9,2155.1,2.748,163,8.5
484,"[35.215705, -111.63089]",1482.3,2156.6,2.798,163,8.7
489,"[35.215583, -111.630942]",1496.8,2157.9,2.82,162,9.3
496,"[35.215405, -111.630934]",1516.7,2159.8,2.862,164,9.9
501,"[35.215281, -111.630891]",1530.9,2161.4,2.85,167,10.4
502,"[35.215264, -111.630882]",1533.0,2161.6,2.723,167,10.4
509,"[35.215104, -111.630789]",1552.7,2163.7,2.715,168,9.0
516,"[35.214939, -111.630743]",1571.6,2165.5,2.754,168,7.7
519,"[35.214948, -111.630822]",1579.8,2165.8,2.709,168,6.6
526,"[35.215092, -111.631016]",1603.5,2167.0,3.19,167,4.3
528,"[35.21513, -111.63107]",1609.9,2167.5,3.353,167,3.8
535,"[35.215262, -111.631253]",1632.1,2168.1,3.174,166,0.2
537,"[35.215292, -111.631294]",1637.1,2168.0,3.02,164,-2.0
544,"[35.215399, -111.631478]",1657.7,2167.1,2.844,164,-4.8
548,"[35.215472, -111.631578]",1669.9,2166.3,2.979,161,-4.4
553,"[35.215561, -111.631699]",1684.6,2165.6,2.997,159,-3.4
560,"[35.215683, -111.63187]",1705.3,2165.0,2.952,159,-2.5
567,"[35.215817, -111.631958]",1722.4,2164.9,2.698,159,-1.5
569,"[35.215845, -111.631963]",1725.5,2164.9,2.246,160,-0.5
572,"[35.215899, -111.631962]",1731.5,2164.9,1.812,160,-0.3
577,"[35.216016, -111.632012]",1745.5,2164.8,2.494,161,16.7
582,"[35.216081, -111.632055]",1753.7,2164.8,2.22,160,20.1
807,"[35.217923, -111.632639]",1753.7,2169.6,0.036,113,29.3
808,"[35.217933, -111.632643]",1754.8,2169.6,0.005,113,27.5
813,"[35.218001, -111.632627]",1762.2,2169.7,1.417,113,1.4
817,"[35.21809, -111.632643]",1772.2,2169.9,1.933,116,1.4
818,"[35.218109, -111.632632]",1774.6,2169.9,2.486,119,1.5
819,"[35.218129, -111.632623]",1777.0,2169.9,2.465,121,0.7
821,"[35.218174, -111.63262]",1782.0,2170.0,2.48,125,1.3
823,"[35.218219, -111.632631]",1787.0,2170.0,2.476,128,1.8
