time,latlng,distance,altitude,velocity_smooth,heartrate,grade_smooth
0,"[32.579257, -110.851713]",0.0,1175.6,0.0,84,-6.6
8,"[32.579186, -110.851724]",8.0,1175.1,1.005,83,-6.2
9,"[32.579163, -110.851728]",10.6,1174.9,1.177,86,-6.1
13,"[32.579017, -110.851762]",27.2,1173.9,3.834,92,-6.2
14,"[32.578984, -110.85177]",30.9,1173.7,4.066,94,-6.2
16,"[32.578902, -110.851794]",40.2,1173.1,4.236,99,-6.3
18,"[32.578823, -110.851811]",49.1,1172.5,4.38,103,-6.1
20,"[32.578748, -110.851819]",57.5,1172.0,4.423,108,-5.8
21,"[32.578708, -110.851825]",61.9,1171.8,4.338,108,-5.3
23,"[32.578639, -110.851837]",69.8,1171.4,4.13,111,-4.4
25,"[32.578555, -110.851851]",79.2,1170.9,4.338,114,-4.2
29,"[32.578402, -110.85184]",96.1,1170.3,4.395,117,-4.4
30,"[32.578366, -110.851831]",100.2,1170.2,4.208,118,-4.6
33,"[32.578255, -110.851799]",112.9,1169.5,4.216,121,-5.2
36,"[32.57815, -110.851759]",125.1,1168.8,4.155,124,-5.4
37,"[32.578119, -110.851743]",128.9,1168.6,4.104,124,-4.4
40,"[32.578026, -110.851681]",140.7,1168.0,3.974,127,-2.1
43,"[32.577924, -110.851603]",154.2,1167.7,4.22,128,-1.5
49,"[32.577796, -110.851405]",177.8,1167.7,4.124,130,-0.9
55,"[32.57774, -110.851174]",200.5,1167.5,3.852,129,-1.8
56,"[32.577734, -110.851131]",204.6,1167.4,3.826,129,-2.8
62,"[32.577717, -110.850882]",228.1,1166.4,3.951,129,-4.9
63,"[32.577714, -110.850839]",232.1,1166.2,3.936,129,-4.9
68,"[32.577649, -110.850638]",253.1,1164.9,4.155,132,-3.2
69,"[32.577614, -110.850618]",257.3,1164.8,4.197,133,-2.6
74,"[32.577431, -110.850604]",277.9,1164.8,4.133,133,-1.9
78,"[32.577311, -110.8507]",294.2,1164.6,4.093,134,-2.1
83,"[32.577208, -110.850891]",315.5,1163.7,4.18,136,-3.6
84,"[32.577191, -110.850931]",319.7,1163.5,4.248,138,-4.1
89,"[32.57711, -110.851145]",341.7,1162.5,4.375,136,-3.2
93,"[32.577044, -110.851299]",357.9,1162.0,4.248,138,-2.9
99,"[32.576953, -110.851515]",380.6,1161.6,3.886,139,-1.8
102,"[32.576897, -110.851615]",391.8,1161.4,3.767,140,-1.5
108,"[32.576772, -110.851808]",414.6,1161.2,3.784,142,-1.8
111,"[32.5767, -110.851904]",426.7,1161.0,3.874,142,-2.0
117,"[32.576588, -110.852102]",449.1,1160.4,3.828,143,-2.8
119,"[32.576559, -110.852184]",457.4,1160.1,3.839,143,-3.0
125,"[32.576476, -110.852421]",481.5,1159.3,4.053,145,-2.7
127,"[32.576447, -110.852499]",489.5,1159.1,4.01,145,-2.5
133,"[32.576346, -110.852712]",512.4,1158.7,3.857,146,-1.9
135,"[32.576304, -110.85279]",521.1,1158.5,3.954,147,-1.7
139,"[32.576228, -110.852915]",535.5,1158.3,3.852,150,-1.8
144,"[32.576105, -110.853077]",556.0,1158.0,3.877,152,-1.6
150,"[32.575963, -110.853256]",579.0,1157.5,3.96,153,-2.0
151,"[32.575942, -110.853278]",582.1,1157.5,3.737,153,-2.3
157,"[32.575801, -110.853468]",605.9,1156.9,3.833,152,-2.6
159,"[32.575755, -110.853532]",613.7,1156.7,3.945,152,-2.7
165,"[32.575623, -110.853725]",637.0,1156.0,3.89,150,-2.8
169,"[32.575533, -110.853852]",652.5,1155.6,3.884,150,-2.7
171,"[32.575485, -110.853913]",660.3,1155.4,3.887,153,-2.6
175,"[32.575377, -110.854017]",675.8,1155.0,3.88,150,-2.4
178,"[32.575297, -110.854095]",687.3,1154.7,3.854,149,-2.4
184,"[32.575144, -110.85426]",710.3,1154.2,3.832,150,-2.4
185,"[32.57512, -110.854289]",714.1,1154.1,3.826,150,-2.4
191,"[32.574969, -110.854459]",737.3,1153.5,3.853,149,-2.5
193,"[32.574918, -110.854515]",744.9,1153.3,3.859,149,-2.3
199,"[32.574778, -110.85468]",766.9,1152.8,3.704,147,-2.2
202,"[32.574704, -110.854766]",778.4,1152.6,3.719,144,-2.2
