time,latlng,distance,altitude,velocity_smooth,heartrate,grade_smooth
0,"[32.579366, -110.850838]",0.9,1176.4,0.0,97,2.7
1,"[32.579366, -110.850838]",0.9,1176.4,0.0,98,2.3
6,"[32.579427, -110.850804]",8.3,1176.6,1.232,99,1.4
8,"[32.579472, -110.850782]",13.7,1176.7,1.824,103,1.2
11,"[32.579543, -110.850771]",21.7,1176.7,2.682,107,0.8
13,"[32.579588, -110.850778]",26.6,1176.7,2.598,111,1.2
16,"[32.57965, -110.850802]",33.8,1176.8,2.416,114,2.7
18,"[32.579697, -110.850825]",39.4,1177.0,2.55,115,5.6
20,"[32.579733, -110.850839]",43.7,1177.3,2.434,117,6.6
22,"[32.57975, -110.850799]",48.0,1177.9,2.37,118,6.4
23,"[32.579748, -110.850773]",50.3,1177.9,2.19,118,9.5
26,"[32.579711, -110.8507]",58.2,1178.2,2.413,120,2.0
27,"[32.579701, -110.850675]",60.6,1178.9,2.526,124,7.0
28,"[32.579689, -110.850652]",63.1,1178.2,2.544,124,6.9
29,"[32.57967, -110.850628]",66.1,1179.0,2.622,127,6.0
34,"[32.579577, -110.85053]",80.0,1179.7,2.822,125,7.0
41,"[32.579489, -110.850425]",94.0,1180.9,2.327,128,5.4
43,"[32.579492, -110.850387]",97.6,1180.6,1.953,128,7.8
44,"[32.579496, -110.850366]",99.5,1180.8,1.952,131,9.2
46,"[32.579511, -110.850319]",104.2,1181.6,2.046,128,13.3
50,"[32.579536, -110.850226]",113.5,1182.7,2.327,128,3.0
55,"[32.579521, -110.850194]",117.1,1183.2,1.428,128,-2.6
60,"[32.579505, -110.850209]",119.8,1181.4,0.635,127,-6.7
67,"[32.579459, -110.850311]",131.3,1180.9,1.183,124,-8.5
74,"[32.5795, -110.850474]",147.8,1180.4,1.999,127,-4.4
78,"[32.57958, -110.850536]",158.4,1179.7,2.466,130,-3.2
81,"[32.579632, -110.850581]",165.7,1179.4,2.55,130,-3.0
89,"[32.579785, -110.850723]",187.3,1179.1,2.624,133,-3.3
91,"[32.579787, -110.850757]",190.5,1179.1,2.483,134,-2.9
92,"[32.579777, -110.850766]",191.6,1178.6,2.36,134,-9.7
93,"[32.579765, -110.850764]",192.9,1178.6,2.27,135,-8.5
96,"[32.579711, -110.850729]",199.6,1177.9,1.818,136,-4.9
103,"[32.579571, -110.850643]",217.4,1176.8,2.45,138,-3.7
108,"[32.579468, -110.850687]",230.1,1176.7,2.544,138,-2.3
115,"[32.579418, -110.850856]",247.5,1176.6,2.509,135,-1.4
120,"[32.579409, -110.850992]",260.3,1176.5,2.512,132,-0.4
123,"[32.579398, -110.851075]",268.2,1176.1,2.583,133,0.2
130,"[32.579379, -110.851255]",285.3,1176.5,2.506,132,-0.2
137,"[32.579338, -110.851396]",299.3,1176.7,2.225,130,-0.4
142,"[32.57932, -110.851451]",304.9,1176.4,1.634,132,-1.9
149,"[32.579285, -110.851558]",315.7,1175.9,1.368,127,-4.2
150,"[32.579277, -110.85157]",317.2,1175.9,1.53,128,-4.0
151,"[32.579267, -110.851577]",318.5,1175.9,1.509,131,-5.0
152,"[32.579255, -110.851582]",319.9,1175.8,1.493,131,-5.7
157,"[32.579186, -110.851602]",327.9,1175.3,1.558,128,-5.9
158,"[32.579172, -110.851607]",329.4,1175.2,1.598,127,-5.7
165,"[32.579044, -110.851641]",344.0,1174.4,2.019,129,-9.7
167,"[32.578999, -110.851669]",349.5,1174.1,2.229,125,-9.6
187,"[32.578945, -110.8518]",349.5,1173.2,0.25,118,-15.4
188,"[32.578944, -110.851809]",350.3,1173.2,0.038,117,-11.3
189,"[32.578934, -110.851809]",351.4,1173.1,0.084,116,-9.2
190,"[32.578919, -110.851804]",353.1,1173.0,0.157,119,-5.6
192,"[32.578866, -110.851792]",359.1,1172.7,1.912,119,-5.2
197,"[32.578739, -110.851816]",373.4,1171.9,2.899,118,-5.0
203,"[32.578593, -110.851845]",389.8,1171.1,2.79,121,-4.7
206,"[32.578525, -110.851849]",397.3,1170.8,2.653,123,-4.0
209,"[32.57845, -110.851842]",405.6,1170.5,2.642,126,-4.0
214,"[32.578338, -110.851829]",418.1,1170.1,2.605,129,-4.4
216,"[32.578299, -110.851827]",422.5,1169.8,2.411,131,-5.0
220,"[32.57822, -110.851799]",431.7,1169.3,2.26,134,-5.4
223,"[32.578153, -110.851767]",439.7,1168.8,2.46,135,-5.0
228,"[32.578055, -110.851725]",451.4,1168.3,2.46,138,-4.6
234,"[32.577955, -110.851651]",464.4,1167.7,2.245,137,-2.9
235,"[32.577935, -110.851651]",466.6,1167.7,2.184,137,-0.7
238,"[32.577877, -110.8517]",474.6,1167.8,2.328,136,0.9
245,"[32.577742, -110.851848]",495.1,1168.0,2.842,134,1.0
250,"[32.577638, -110.851937]",509.4,1168.1,2.894,136,1.0
257,"[32.577497, -110.852072]",529.5,1168.3,2.872,138,0.5
259,"[32.57747, -110.852114]",534.5,1168.4,2.792,139,0.5
266,"[32.57741, -110.852262]",549.6,1168.3,2.233,140,-0.3
267,"[32.577407, -110.852253]",550.5,1168.3,2.004,140,-0.8
271,"[32.577447, -110.852155]",560.9,1168.2,2.254,140,-0.8
278,"[32.577596, -110.851991]",583.4,1168.0,2.99,141,-0.9
284,"[32.577734, -110.851867]",602.7,1167.9,3.212,144,-0.7
286,"[32.577775, -110.851826]",608.6,1167.8,3.153,145,-0.6
293,"[32.577897, -110.851679]",628.0,1167.7,2.813,149,-0.7
294,"[32.57791, -110.851662]",630.1,1167.7,2.685,145,-0.4
295,"[32.577916, -110.851641]",632.1,1167.7,2.611,146,0.0
296,"[32.577914, -110.851612]",634.9,1167.7,2.626,146,0.0
301,"[32.577877, -110.851501]",646.0,1167.7,2.312,146,-0.2
308,"[32.577789, -110.851333]",664.7,1167.7,2.484,147,-1.0
314,"[32.577767, -110.851184]",678.9,1167.6,2.532,147,-2.1
321,"[32.577742, -110.851014]",695.2,1167.1,2.345,147,-4.1
328,"[32.577726, -110.850868]",708.9,1166.4,2.139,148,-5.8
339,"[32.57774, -110.850775]",708.9,1165.9,0.76,146,-6.9
342,"[32.577776, -110.850728]",714.8,1165.5,0.426,145,-4.1
347,"[32.577802, -110.850601]",727.1,1164.9,2.274,142,-1.5
354,"[32.577865, -110.850424]",745.2,1164.9,2.528,139,0.8
358,"[32.577907, -110.850315]",756.5,1165.2,2.675,139,3.9
366,"[32.578, -110.850125]",777.2,1166.0,2.664,139,7.4
374,"[32.578133, -110.849987]",796.9,1167.6,2.526,139,9.2
383,"[32.578317, -110.849928]",818.1,1170.3,2.411,141,11.3
390,"[32.578472, -110.849905]",835.5,1172.5,2.409,141,12.3
397,"[32.578606, -110.849871]",850.7,1174.3,2.328,141,12.3
406,"[32.578747, -110.849748]",870.9,1176.7,2.217,142,12.3
411,"[32.578763, -110.849664]",879.0,1177.8,2.021,139,12.9
412,"[32.578766, -110.849644]",880.9,1178.1,1.667,140,10.8
414,"[32.578758, -110.849595]",885.7,1178.8,1.845,142,-0.6
418,"[32.578718, -110.849508]",895.0,1179.3,2.338,141,-2.3
426,"[32.578626, -110.849321]",915.3,1177.6,2.469,142,-4.9
428,"[32.578597, -110.849284]",920.0,1177.2,2.507,139,-8.2
429,"[32.578581, -110.849264]",922.6,1177.0,2.51,142,-8.4
434,"[32.578511, -110.84916]",935.1,1176.0,2.513,141,-8.3
440,"[32.578405, -110.849025]",952.5,1174.5,2.715,138,-8.3
443,"[32.578352, -110.848961]",960.8,1173.8,2.857,138,-3.3
451,"[32.578284, -110.848764]",981.5,1172.1,2.64,138,1.8
457,"[32.578354, -110.848641]",995.7,1174.0,2.494,137,3.6
465,"[32.578517, -110.848501]",1018.2,1175.7,2.623,137,9.4
466,"[32.578541, -110.848487]",1021.1,1176.0,2.82,137,7.8
470,"[32.578621, -110.848428]",1031.6,1176.8,2.68,134,8.0
474,"[32.578699, -110.848368]",1041.9,1177.6,2.601,131,7.8
478,"[32.578787, -110.848308]",1053.2,1178.5,2.702,131,7.8
486,"[32.578961, -110.848196]",1075.3,1180.2,2.777,132,7.8
487,"[32.578982, -110.848184]",1077.8,1180.4,2.729,132,7.8
494,"[32.57912, -110.848081]",1095.9,1181.8,2.583,131,7.8
499,"[32.579204, -110.848015]",1107.1,1182.7,2.442,134,7.7
503,"[32.579269, -110.847954]",1116.3,1183.4,2.262,135,8.7
511,"[32.579415, -110.847836]",1136.0,1184.9,2.407,137,8.9
518,"[32.579444, -110.847812]",1136.0,1185.3,1.313,136,9.0
520,"[32.579455, -110.847805]",1137.3,1185.4,0.15,135,10.6
522,"[32.579478, -110.847781]",1140.8,1185.6,0.436,132,7.6
525,"[32.579533, -110.847719]",1149.2,1186.3,2.366,132,7.6
529,"[32.579604, -110.847646]",1159.6,1187.1,2.696,135,8.0
534,"[32.579696, -110.847556]",1172.9,1188.1,2.641,136,7.9
541,"[32.579835, -110.847409]",1193.6,1189.8,2.829,135,7.8
542,"[32.579849, -110.847386]",1196.3,1190.0,2.917,135,7.9
550,"[32.579948, -110.847197]",1217.2,1191.6,2.628,134,7.7
