time,latlng,distance,altitude,velocity_smooth,heartrate,grade_smooth
0,"[32.272369, -110.900839]",1.8,731.4,0.0,75,0.0
11,"[32.272443, -110.90114]",34.5,731.3,3.3,90,-0.3
21,"[32.27276, -110.901207]",71.0,730.9,3.838,106,-0.5
27,"[32.272959, -110.901198]",93.1,730.8,3.683,112,-0.4
36,"[32.273248, -110.901211]",125.2,730.7,3.558,117,-0.2
46,"[32.273568, -110.901311]",162.1,730.5,3.692,118,-0.4
58,"[32.273949, -110.901397]",205.4,730.4,3.612,120,0.1
65,"[32.274165, -110.901382]",229.5,730.6,3.44,121,0.4
74,"[32.2743, -110.901099]",263.2,730.6,3.74,125,-0.5
81,"[32.274217, -110.900832]",290.3,730.5,3.873,126,-0.2
89,"[32.274063, -110.90058]",319.5,730.5,3.653,127,0.3
98,"[32.273858, -110.900324]",352.7,730.7,3.688,127,0.9
109,"[32.273589, -110.900016]",394.3,731.2,3.785,130,1.8
119,"[32.27352, -110.89971]",428.5,732.3,3.323,140,0.8
129,"[32.273737, -110.899415]",465.3,732.2,3.686,143,-0.3
134,"[32.273781, -110.899225]",484.4,732.1,3.791,143,-0.2
147,"[32.273703, -110.898729]",532.0,732.1,3.619,142,0.0
153,"[32.273643, -110.89851]",553.8,732.1,3.645,140,0.2
163,"[32.273528, -110.898162]",589.0,732.3,3.52,137,0.6
173,"[32.273435, -110.897797]",624.9,732.5,3.59,140,0.5
181,"[32.273315, -110.897516]",654.5,732.6,3.701,140,0.3
191,"[32.273145, -110.897196]",690.1,732.7,3.552,142,0.7
203,"[32.272911, -110.896825]",733.7,733.0,3.637,143,0.5
212,"[32.272721, -110.896549]",767.2,733.1,3.724,143,0.6
216,"[32.272649, -110.896424]",781.4,733.2,3.67,142,0.6
230,"[32.27237, -110.895995]",832.3,733.5,3.615,142,0.5
234,"[32.272296, -110.895864]",847.2,733.6,3.648,143,0.5
248,"[32.272062, -110.895415]",896.9,733.8,3.535,144,0.5
257,"[32.271921, -110.895111]",929.4,734.0,3.617,144,0.5
266,"[32.271795, -110.894805]",961.5,734.1,3.563,143,0.5
273,"[32.27171, -110.894555]",986.9,734.3,3.63,144,0.6
281,"[32.271609, -110.894272]",1015.8,734.4,3.612,144,0.3
290,"[32.271504, -110.893942]",1048.9,734.5,3.684,140,0.2
298,"[32.271433, -110.893641]",1078.3,734.5,3.668,139,0.0
306,"[32.271355, -110.893341]",1107.8,734.5,3.691,139,0.7
320,"[32.27118, -110.89283]",1159.9,735.3,3.706,138,3.2
328,"[32.270948, -110.892699]",1189.5,736.4,3.697,141,4.8
337,"[32.270736, -110.892683]",1214.6,737.9,2.587,141,-0.2
347,"[32.271052, -110.892701]",1249.7,737.8,3.796,143,0.0
357,"[32.271382, -110.892718]",1286.4,737.9,3.674,144,0.1
366,"[32.271674, -110.892722]",1318.7,737.9,3.588,144,-0.1
372,"[32.271868, -110.892724]",1340.3,737.9,3.581,146,-0.3
381,"[32.272177, -110.892728]",1374.6,737.7,3.81,147,-0.5
392,"[32.272549, -110.892744]",1415.8,737.7,3.708,147,0.0
401,"[32.272842, -110.892773]",1448.5,737.6,3.627,146,3.4
409,"[32.273114, -110.892749]",1478.7,738.9,3.798,152,1.6
416,"[32.27334, -110.892751]",1503.7,739.3,3.58,151,1.2
429,"[32.273767, -110.892705]",1552.1,739.9,3.7,153,1.8
435,"[32.273911, -110.892511]",1576.4,740.4,4.043,153,2.3
444,"[32.27421, -110.892478]",1610.1,741.4,3.76,153,3.1
455,"[32.274569, -110.892476]",1650.0,742.7,3.625,152,3.2
464,"[32.274856, -110.892459]",1681.8,743.7,3.538,152,3.2
473,"[32.275134, -110.892421]",1712.9,744.7,3.458,151,3.4
481,"[32.275383, -110.892381]",1740.8,745.7,3.481,152,3.3
493,"[32.275777, -110.892373]",1784.6,746.9,3.68,150,2.4
496,"[32.275876, -110.892376]",1795.6,747.2,3.726,151,2.2
510,"[32.276327, -110.892411]",1845.7,748.0,3.438,151,1.1
517,"[32.276553, -110.892426]",1871.4,748.2,3.669,153,1.7
524,"[32.27669, -110.892197]",1897.8,748.9,3.769,153,2.6
534,"[32.276933, -110.891951]",1933.5,749.8,3.574,150,2.8
542,"[32.277142, -110.89178]",1961.8,750.7,3.527,145,3.3
555,"[32.277475, -110.891493]",2007.6,752.7,3.447,147,5.0
563,"[32.27768, -110.891312]",2036.1,754.0,3.566,158,4.8
570,"[32.277843, -110.891114]",2062.2,755.2,3.662,173,4.6
584,"[32.277919, -110.890604]",2112.6,757.6,3.644,172,4.7
591,"[32.277921, -110.890328]",2138.7,758.8,3.73,171,3.8
598,"[32.277977, -110.890073]",2163.5,759.5,3.562,170,2.2
609,"[32.278146, -110.889703]",2203.1,760.1,3.614,167,1.8
618,"[32.278309, -110.889413]",2235.9,760.8,3.642,167,2.6
626,"[32.278453, -110.889161]",2264.6,761.7,3.58,166,2.8
635,"[32.278609, -110.888879]",2296.3,762.5,3.526,164,1.4
642,"[32.278737, -110.888652]",2322.0,762.5,3.669,164,-0.9
655,"[32.279034, -110.888246]",2372.7,761.7,3.794,164,-0.3
659,"[32.279153, -110.88815]",2388.7,761.7,3.936,164,0.1
668,"[32.279406, -110.887969]",2421.5,762.1,3.647,163,1.6
681,"[32.279818, -110.887827]",2469.7,763.0,3.64,158,2.0
689,"[32.279999, -110.887701]",2497.3,763.6,3.455,155,3.3
698,"[32.279963, -110.887338]",2531.7,764.6,3.827,157,2.1
705,"[32.279921, -110.88706]",2558.4,765.1,3.801,160,1.5
714,"[32.279858, -110.886711]",2592.0,765.5,3.739,160,0.3
723,"[32.279797, -110.886361]",2625.6,765.3,3.736,158,-1.3
732,"[32.279741, -110.886008]",2659.4,764.4,3.752,156,-5.0
739,"[32.279679, -110.885735]",2685.9,762.9,3.793,155,-4.1
751,"[32.279587, -110.885217]",2735.8,763.1,3.9,156,4.8
759,"[32.279579, -110.884891]",2766.6,765.0,3.856,158,5.3
767,"[32.279624, -110.884583]",2796.0,766.3,3.676,158,4.4
774,"[32.279691, -110.884328]",2821.2,767.4,3.599,158,4.9
783,"[32.279779, -110.884007]",2853.1,769.1,3.52,159,5.1
791,"[32.279852, -110.883723]",2881.0,770.5,3.496,158,5.0
804,"[32.279941, -110.88327]",2925.1,772.6,3.376,160,5.2
811,"[32.280002, -110.883063]",2946.9,774.1,3.12,160,10.0
826,"[32.280381, -110.882794]",2996.2,779.2,3.211,160,6.7
835,"[32.280619, -110.8826]",3028.3,780.4,3.561,159,3.0
845,"[32.280866, -110.882378]",3062.8,781.2,3.457,157,1.9
853,"[32.281008, -110.882142]",3090.1,781.4,3.434,157,1.1
862,"[32.281214, -110.881899]",3122.5,781.8,3.603,155,1.3
869,"[32.281378, -110.88173]",3146.6,782.9,3.449,155,7.0
882,"[32.281695, -110.881405]",3193.3,785.6,3.624,159,5.2
890,"[32.28187, -110.881188]",3221.5,787.2,3.519,160,4.6
899,"[32.282104, -110.881002]",3252.9,788.0,3.486,162,1.1
909,"[32.282399, -110.880827]",3289.5,788.0,3.663,164,3.5
915,"[32.282597, -110.880732]",3313.3,790.8,3.88,165,3.6
924,"[32.282871, -110.880564]",3347.6,790.6,3.812,163,1.3
932,"[32.283093, -110.880389]",3377.2,791.7,3.69,165,3.4
940,"[32.283286, -110.880204]",3404.9,792.6,3.462,167,2.8
951,"[32.283512, -110.879909]",3442.3,793.1,3.404,162,2.5
962,"[32.283716, -110.879529]",3484.7,794.6,3.852,159,-8.2
970,"[32.283843, -110.87925]",3514.5,787.2,3.723,160,-24.9
978,"[32.283972, -110.878933]",3547.7,783.2,4.35,165,-5.6
985,"[32.284098, -110.878637]",3578.9,782.2,4.454,164,-2.6
992,"[32.284243, -110.878403]",3606.3,781.7,3.913,165,0.4
1003,"[32.284583, -110.878303]",3647.1,782.5,3.716,165,4.6
1009,"[32.284781, -110.878331]",3669.3,784.1,3.742,166,6.4
1021,"[32.285169, -110.878312]",3713.2,787.4,3.655,167,6.6
1029,"[32.285402, -110.878186]",3741.5,788.7,3.553,170,3.6
1038,"[32.28567, -110.87809]",3772.7,789.7,3.461,167,5.7
1048,"[32.28597, -110.878025]",3806.7,792.4,3.398,168,6.4
1056,"[32.286193, -110.877867]",3835.6,793.7,3.611,169,2.9
1068,"[32.286458, -110.877522]",3879.5,794.5,3.661,170,-1.7
1074,"[32.286631, -110.877409]",3901.6,792.6,3.688,169,0.0
1087,"[32.287041, -110.877437]",3948.1,795.9,3.544,167,6.5
1092,"[32.287193, -110.87751]",3966.3,797.0,3.634,173,6.9
1104,"[32.287502, -110.877779]",4009.2,800.1,3.572,175,7.2
1112,"[32.287659, -110.877988]",4035.4,802.0,3.277,169,5.3
1121,"[32.287891, -110.878125]",4065.1,802.9,3.29,163,5.9
1133,"[32.28804, -110.877772]",4103.5,805.8,3.273,166,6.2
1141,"[32.288156, -110.877515]",4130.9,806.9,3.429,166,2.9
1154,"[32.288492, -110.877214]",4177.9,807.4,3.677,166,-1.0
1163,"[32.288731, -110.877027]",4209.9,806.6,3.552,163,-5.2
1170,"[32.288858, -110.876821]",4234.2,804.5,3.473,162,-5.3
1176,"[32.288908, -110.876579]",4257.6,803.6,3.839,162,-4.1
1187,"[32.28895, -110.876118]",4301.3,801.4,3.928,164,-7.1
1195,"[32.288983, -110.875815]",4330.1,799.3,3.6,160,-7.1
1206,"[32.289083, -110.875418]",4369.2,796.9,3.544,159,-1.9
1215,"[32.289355, -110.875356]",4401.5,797.4,3.59,163,1.5
1223,"[32.289608, -110.875377]",4429.7,797.8,3.524,163,1.8
1232,"[32.289887, -110.875353]",4462.3,798.5,3.624,164,2.8
1240,"[32.289815, -110.875027]",4494.0,799.6,3.964,162,2.1
1249,"[32.289888, -110.87471]",4525.4,799.8,3.484,157,0.6
1260,"[32.290007, -110.874336]",4563.6,799.9,3.61,156,0.0
1268,"[32.289996, -110.874013]",4594.0,799.9,3.805,157,-0.2
1275,"[32.289956, -110.87374]",4620.1,799.8,3.727,159,-0.1
1287,"[32.289858, -110.873292]",4663.8,799.8,3.637,162,0.7
1295,"[32.289744, -110.873027]",4691.8,800.3,3.51,165,2.1
1303,"[32.289601, -110.872774]",4720.4,801.0,3.569,166,3.1
1314,"[32.289405, -110.872423]",4760.0,802.4,3.601,167,3.4
1323,"[32.289248, -110.872137]",4792.1,803.5,3.592,168,2.7
1334,"[32.289103, -110.871769]",4830.5,804.3,3.494,168,1.8
1342,"[32.28902, -110.871482]",4859.0,804.7,3.561,168,0.8
1351,"[32.288927, -110.871151]",4891.9,804.8,3.656,166,-0.2
1360,"[32.288854, -110.870818]",4924.4,804.5,3.721,164,-1.4
1366,"[32.288816, -110.870588]",4946.4,804.1,3.66,162,-1.1
1377,"[32.288783, -110.87016]",4986.9,803.8,3.687,162,-0.4
1384,"[32.28878, -110.869878]",5013.5,803.8,3.796,162,0.2
1396,"[32.288766, -110.869406]",5058.1,804.2,3.758,163,1.4
1403,"[32.288802, -110.869132]",5084.3,804.6,3.739,162,1.6
1411,"[32.288854, -110.868833]",5113.0,805.1,3.596,162,1.7
1423,"[32.288958, -110.868393]",5156.0,805.8,3.583,160,2.0
1431,"[32.289035, -110.868113]",5183.9,806.5,3.475,161,2.6
1439,"[32.289123, -110.867846]",5210.8,807.2,3.366,163,2.6
1449,"[32.289258, -110.867517]",5245.2,808.1,3.445,165,2.6
1458,"[32.289394, -110.867237]",5275.7,808.9,3.383,174,2.5
1468,"[32.289566, -110.866929]",5310.5,809.7,3.481,176,2.4
