time,latlng,distance,altitude,velocity_smooth,heartrate,grade_smooth
0,"[32.222238, -110.904382]",1.0,770.8,0.0,71,0.0
2,"[32.222238, -110.904382]",4.9,770.8,1.99,68,0.0
4,"[32.222238, -110.904382]",10.9,770.8,2.485,71,0.0
5,"[32.222238, -110.904382]",14.8,770.8,2.772,66,0.0
6,"[32.222238, -110.904382]",18.6,770.8,2.94,72,0.0
12,"[32.222238, -110.904382]",40.6,770.8,3.686,73,0.0
18,"[32.222238, -110.904382]",62.2,770.8,3.632,71,0.0
20,"[32.222238, -110.904382]",69.4,770.8,3.6,75,0.0
28,"[32.222238, -110.904382]",90.6,770.8,2.838,78,0.0
29,"[32.222208, -110.904393]",94.0,770.8,2.73,81,0.0
30,"[32.222179, -110.904408]",97.5,770.8,2.804,83,-0.7
31,"[32.222155, -110.904431]",100.9,770.8,2.862,88,-0.6
32,"[32.222133, -110.904459]",104.4,770.7,2.919,88,-0.5
34,"[32.222097, -110.904519]",111.3,770.7,3.466,91,-0.9
36,"[32.222085, -110.904594]",118.3,770.7,3.482,90,-0.4
37,"[32.222084, -110.904633]",122.0,770.6,3.506,93,-0.6
39,"[32.222085, -110.904709]",129.1,770.6,3.552,96,-0.9
43,"[32.22208, -110.90486]",143.3,770.5,3.555,98,-0.6
45,"[32.222088, -110.904934]",150.4,770.4,3.55,103,-0.9
46,"[32.222093, -110.90497]",153.8,770.4,3.529,103,-0.7
49,"[32.222111, -110.905077]",164.1,770.3,3.458,106,-0.9
51,"[32.222136, -110.905144]",171.0,770.3,3.436,109,-0.9
55,"[32.222232, -110.905241]",185.2,770.1,3.523,112,-0.9
56,"[32.222259, -110.905252]",188.5,770.1,3.5,113,-1.2
58,"[32.222325, -110.905264]",195.9,770.0,3.56,116,-1.0
63,"[32.22249, -110.905269]",214.1,769.8,3.667,118,-1.0
69,"[32.222684, -110.905277]",235.7,769.6,3.618,120,-0.9
73,"[32.22281, -110.905283]",249.7,769.5,3.558,122,-0.8
79,"[32.223004, -110.905291]",271.2,769.3,3.556,124,-0.8
81,"[32.223066, -110.905292]",278.0,769.3,3.542,125,-0.9
87,"[32.223258, -110.905287]",299.4,769.1,3.516,127,-0.8
89,"[32.223321, -110.905297]",306.4,769.0,3.548,130,-0.8
90,"[32.223353, -110.9053]",310.0,769.0,3.546,130,-0.8
96,"[32.223542, -110.905308]",331.0,768.9,3.507,130,-0.6
98,"[32.223605, -110.905305]",338.0,768.8,3.499,129,-0.7
104,"[32.223799, -110.905311]",359.5,768.7,3.561,131,-0.7
106,"[32.22386, -110.905313]",366.2,768.6,3.535,131,-0.6
112,"[32.224056, -110.905315]",387.9,768.5,3.559,130,-0.6
113,"[32.224087, -110.905315]",391.4,768.5,3.59,130,-0.3
119,"[32.22427, -110.905323]",411.6,768.4,3.386,131,-0.3
124,"[32.224425, -110.905328]",428.8,768.4,3.406,132,-0.4
130,"[32.224613, -110.905324]",449.8,768.3,3.465,133,-0.5
134,"[32.224738, -110.905316]",463.6,768.2,3.481,134,-0.6
136,"[32.224798, -110.905319]",470.3,768.1,3.425,131,-0.7
138,"[32.224858, -110.905318]",476.9,768.1,3.397,135,-1.0
142,"[32.224984, -110.905325]",490.9,768.0,3.432,135,-0.8
148,"[32.225171, -110.905336]",511.7,767.7,3.475,135,-0.9
150,"[32.225236, -110.905341]",518.9,767.7,3.5,135,-0.9
157,"[32.225447, -110.905344]",542.3,767.5,3.399,135,-0.7
158,"[32.225477, -110.90535]",545.6,767.5,3.342,135,-1.0
164,"[32.225665, -110.905353]",566.5,767.3,3.466,135,-1.1
170,"[32.225863, -110.905365]",588.6,767.0,3.58,135,-1.2
172,"[32.225927, -110.905372]",595.7,766.9,3.647,135,-1.1
178,"[32.226152, -110.905371]",620.5,766.6,3.994,134,-0.9
181,"[32.226245, -110.905369]",630.9,766.6,3.907,137,-0.5
182,"[32.226278, -110.905367]",634.6,766.6,3.885,137,0.0
188,"[32.22647, -110.905352]",655.9,766.6,3.57,137,0.0
190,"[32.226535, -110.905353]",663.1,766.6,3.564,138,0.0
196,"[32.226735, -110.905344]",685.3,766.6,3.679,141,0.0
198,"[32.226807, -110.905343]",693.3,766.6,3.777,142,0.1
204,"[32.227009, -110.905343]",715.7,766.6,3.8,143,0.4
208,"[32.227138, -110.905352]",730.0,766.7,3.674,143,0.4
210,"[32.227205, -110.905355]",737.4,766.8,3.625,146,0.7
212,"[32.227274, -110.905357]",745.1,766.8,3.676,143,0.8
215,"[32.227378, -110.905361]",756.7,766.9,3.848,144,0.8
221,"[32.227593, -110.905358]",780.5,767.1,3.936,146,0.8
223,"[32.227662, -110.905357]",788.1,767.2,3.927,146,0.6
229,"[32.22787, -110.905365]",811.2,767.3,3.834,144,0.3
231,"[32.227938, -110.905366]",818.7,767.3,3.827,147,0.2
237,"[32.228153, -110.90536]",842.6,767.3,3.929,149,0.0
239,"[32.228221, -110.905359]",850.1,767.3,3.924,148,-0.3
245,"[32.228436, -110.905367]",874.0,767.3,3.918,148,-0.8
250,"[32.228619, -110.90537]",894.3,767.1,4.02,148,-0.8
256,"[32.228836, -110.905363]",918.3,766.7,4.032,148,-1.0
258,"[32.228913, -110.905366]",926.8,766.7,4.063,148,-0.9
263,"[32.229096, -110.90536]",947.2,766.6,4.131,149,-0.9
266,"[32.229195, -110.905343]",958.3,766.5,3.934,149,-1.0
272,"[32.229406, -110.905313]",981.8,766.1,3.843,147,-1.4
