time,latlng,distance,altitude,velocity_smooth,heartrate,grade_smooth
0,"[35.244997, -80.831987]",0.0,228.1,0.0,53,-1.3
1,"[35.244997, -80.831987]",0.0,228.1,0.0,53,-1.2
5,"[35.245054, -80.831938]",7.7,228.0,1.534,54,-1.0
8,"[35.245123, -80.831885]",16.8,227.9,2.396,60,-0.8
9,"[35.245145, -80.831867]",19.6,227.9,2.452,64,-0.5
11,"[35.245184, -80.831835]",24.9,227.9,2.877,68,0.0
12,"[35.2452, -80.83182]",27.1,227.9,2.777,71,0.0
13,"[35.245216, -80.831805]",29.4,227.9,2.516,74,0.0
14,"[35.245221, -80.831789]",31.0,227.9,2.268,77,0.0
16,"[35.245259, -80.831749]",36.5,227.9,2.318,80,0.0
17,"[35.245284, -80.831736]",39.6,227.9,2.5,83,0.0
19,"[35.245326, -80.831705]",45.0,227.9,2.816,87,0.5
21,"[35.245371, -80.831667]",51.1,227.9,2.916,90,0.4
23,"[35.245409, -80.831635]",56.2,228.0,2.768,93,0.6
26,"[35.245474, -80.831594]",64.3,228.0,2.644,96,0.6
30,"[35.245574, -80.831516]",77.6,228.1,3.057,100,0.3
32,"[35.245614, -80.83147]",83.8,228.1,3.242,101,0.2
35,"[35.245684, -80.831404]",93.6,228.1,3.184,106,0.0
42,"[35.245841, -80.831266]",115.2,228.1,3.138,109,-0.2
46,"[35.245947, -80.831171]",129.7,228.1,3.287,112,-0.2
49,"[35.246019, -80.831096]",140.2,228.0,3.571,113,-0.4
51,"[35.246071, -80.831048]",147.4,228.0,3.542,116,-0.5
55,"[35.246193, -80.830957]",163.3,227.9,3.86,119,-0.2
58,"[35.246269, -80.830887]",173.8,227.9,3.766,118,-0.3
64,"[35.246446, -80.830794]",195.2,227.9,3.543,118,-0.2
67,"[35.246537, -80.830772]",205.6,227.8,3.541,122,-0.4
69,"[35.246597, -80.830773]",212.4,227.8,3.434,123,-0.2
74,"[35.246739, -80.830849]",229.9,227.7,3.466,125,0.0
79,"[35.246898, -80.830972]",250.9,227.8,3.848,127,0.0
84,"[35.24703, -80.831124]",271.1,227.8,4.122,127,-0.5
85,"[35.24706, -80.831144]",274.9,227.8,4.0,126,-1.2
89,"[35.247165, -80.831271]",291.3,227.4,4.032,123,-2.2
91,"[35.247214, -80.831331]",299.0,227.2,4.025,123,-2.7
92,"[35.247248, -80.831349]",303.1,227.1,4.036,123,-2.5
94,"[35.24733, -80.831343]",312.3,226.8,4.192,123,-2.5
99,"[35.247532, -80.831289]",335.3,226.3,4.599,123,-2.3
100,"[35.24757, -80.831294]",339.6,226.2,4.557,125,-1.7
101,"[35.247599, -80.831303]",342.9,226.2,4.376,122,-7.4
102,"[35.247627, -80.831325]",346.6,226.2,4.29,125,-7.5
104,"[35.247667, -80.83141]",355.5,224.8,4.044,125,-7.9
109,"[35.24769, -80.83166]",378.5,223.3,4.556,128,-7.5
110,"[35.247689, -80.831699]",382.0,223.1,4.412,128,-5.5
