time,latlng,distance,altitude,velocity_smooth,heartrate,grade_smooth
0,"[32.610491, -110.738776]",1.4,1320.3,0.0,57,-6.1
5,"[32.610501, -110.738661]",12.3,1319.7,2.172,58,-5.5
10,"[32.610506, -110.738528]",24.7,1319.0,2.504,62,-5.6
13,"[32.610534, -110.738445]",33.1,1318.5,2.604,65,-6.2
18,"[32.610625, -110.738266]",52.7,1317.3,3.914,76,-5.6
22,"[32.610652, -110.738165]",62.7,1316.8,2.8,84,-5.6
27,"[32.610663, -110.738024]",75.9,1316.0,2.642,93,-5.3
31,"[32.61068, -110.737882]",89.4,1315.3,3.184,99,-0.7
35,"[32.610698, -110.737741]",102.7,1315.8,3.23,101,5.1
38,"[32.610699, -110.737632]",112.9,1316.5,3.378,109,6.6
43,"[32.610679, -110.737467]",128.6,1317.5,3.128,113,8.0
48,"[32.610656, -110.737312]",143.4,1318.7,2.976,116,8.3
52,"[32.610622, -110.737203]",154.3,1319.8,2.857,119,8.3
59,"[32.610564, -110.737002]",174.4,1321.4,2.813,121,8.0
66,"[32.610489, -110.736789]",196.0,1322.9,3.091,125,5.6
68,"[32.610467, -110.736726]",202.3,1323.3,3.144,125,4.6
74,"[32.610385, -110.73653]",222.9,1324.1,3.359,126,1.4
77,"[32.610331, -110.736446]",232.7,1324.2,3.376,127,0.4
83,"[32.610222, -110.736275]",252.9,1323.7,3.338,125,-2.5
84,"[32.610207, -110.736245]",256.1,1323.5,3.346,125,-3.4
91,"[32.610097, -110.736041]",278.9,1322.7,3.253,125,-3.0
93,"[32.610071, -110.735969]",286.2,1322.4,3.341,127,-2.0
99,"[32.609991, -110.73578]",306.1,1322.1,3.394,131,-0.4
104,"[32.609923, -110.735627]",322.3,1322.2,3.276,130,0.0
111,"[32.609779, -110.73544]",346.0,1322.4,3.324,130,0.6
112,"[32.609757, -110.73541]",349.7,1322.4,3.429,129,0.0
116,"[32.609688, -110.735295]",363.0,1322.2,3.416,128,-2.7
119,"[32.609633, -110.735215]",372.7,1322.0,3.287,127,-3.5
125,"[32.609476, -110.735068]",395.0,1321.2,3.547,128,-3.2
128,"[32.609394, -110.73502]",405.1,1320.8,3.598,128,-3.2
135,"[32.609195, -110.734928]",428.8,1320.1,3.384,129,-3.2
138,"[32.609123, -110.734887]",437.6,1319.9,3.258,132,-3.2
141,"[32.609053, -110.734821]",447.6,1319.5,3.13,129,-0.5
145,"[32.608981, -110.734703]",461.3,1319.0,3.374,131,0.0
152,"[32.608914, -110.734479]",483.7,1319.8,3.285,133,2.2
153,"[32.608905, -110.73444]",487.5,1319.9,3.281,133,4.0
160,"[32.608825, -110.734215]",510.5,1320.9,3.355,132,4.0
161,"[32.608805, -110.734186]",514.1,1321.1,3.319,132,4.2
166,"[32.608687, -110.734072]",531.0,1321.7,3.413,135,4.5
168,"[32.608636, -110.734034]",537.7,1322.0,3.374,135,4.3
175,"[32.608473, -110.733901]",559.7,1323.1,3.186,136,6.0
