time,distance,altitude,velocity_smooth,heartrate,grade_smooth,alt_difference,rolling_ave_alt
0,0.0,771.3,0.0,81,0.0,0.0,0.0
1,0.0,771.3,0.0,82,0.0,0.0,0.0
11,17.3,771.3,1.57,86,0.0,0.0,0.0
12,20.7,771.3,1.884,82,0.0,0.0,0.0
14,27.7,771.3,2.132,85,0.0,0.0,0.0
17,38.2,771.3,3.498,88,0.0,0.0,0.0
23,58.7,771.3,3.442,91,0.0,0.0,0.0
25,65.4,771.3,3.405,95,0.0,0.0,0.0
28,75.9,771.3,3.448,98,0.0,0.0,0.0
31,86.5,771.3,3.513,101,0.0,0.0,0.0
33,93.4,771.3,3.49,104,0.0,0.0,0.0
35,100.2,771.3,3.463,108,0.0,0.0,0.0
36,103.6,771.3,3.408,111,0.0,0.0,0.0
37,106.9,771.3,3.395,111,0.0,0.0,0.0
38,110.3,771.3,3.376,114,0.3,0.0,0.0
44,125.9,771.3,2.71,116,0.3,0.0,0.0
49,143.4,771.4,3.013,119,0.3,0.10000000000002274,0.02000000000000455
51,144.7,771.4,2.684,120,0.4,0.0,0.02000000000000455
52,144.7,771.4,2.349,120,0.0,0.0,0.02000000000000455
54,150.6,771.4,1.432,123,0.0,0.0,0.02000000000000455
55,153.9,771.4,1.748,127,0.5,0.0,0.02000000000000455
56,157.1,771.4,2.494,122,0.5,0.0,0.0
58,165.2,771.5,3.427,126,0.5,0.10000000000002274,0.02000000000000455
59,169.8,771.5,3.844,129,0.8,0.0,0.02000000000000455
60,174.1,771.5,4.034,123,2.3,0.0,0.02000000000000455
62,181.2,771.6,4.017,120,1.9,0.10000000000002274,0.0400000000000091
67,199.8,772.3,3.679,123,0.8,0.6999999999999318,0.17999999999999544
69,206.9,772.2,3.66,123,0.0,-0.09999999999990905,0.1400000000000091
73,224.1,771.9,4.05,123,-1.4,-0.3000000000000682,0.07999999999999545
79,247.1,771.6,4.022,123,-1.4,-0.2999999999999545,0.02000000000000455
84,265.0,771.4,3.718,126,-1.2,-0.20000000000004547,-0.0400000000000091
86,272.2,771.3,3.584,126,-1.3,-0.10000000000002274,-0.2
92,296.4,771.0,3.92,127,-1.1,-0.2999999999999545,-0.2400000000000091
93,300.9,770.9,4.104,127,-1.0,-0.10000000000002274,-0.2
98,318.9,770.8,3.75,128,-0.7,-0.10000000000002274,-0.16000000000001363
103,335.3,770.7,3.438,131,0.0,-0.09999999999990905,-0.13999999999998636
105,341.8,770.7,3.276,131,0.2,0.0,-0.11999999999998182
111,362.7,770.9,3.424,130,0.2,0.1999999999999318,-0.02000000000000455
114,372.9,770.9,3.451,129,0.2,0.0,0.0
118,385.5,770.8,3.267,127,-0.6,-0.10000000000002274,0.0
119,389.2,770.8,3.266,126,-0.7,0.0,0.01999999999998181
125,410.5,770.6,3.564,126,-0.7,-0.1999999999999318,-0.02000000000000455
130,429.7,770.5,3.685,129,-0.7,-0.10000000000002274,-0.07999999999999545
133,440.6,770.4,3.766,128,-0.5,-0.10000000000002274,-0.1
138,455.9,770.3,3.272,127,-0.4,-0.10000000000002274,-0.1
142,469.6,770.3,3.222,130,0.0,0.0,-0.1
144,476.2,770.3,3.377,129,0.3,0.0,-0.06000000000001364
148,489.0,770.4,3.223,132,0.4,0.10000000000002274,-0.02000000000000455
150,494.8,770.4,3.102,131,0.5,0.0,0.0
151,497.1,770.4,2.989,134,0.0,0.0,0.02000000000000455
161,497.2,770.4,0.22,133,1.0,0.0,0.02000000000000455
163,499.0,770.4,0.157,132,1.1,0.0,0.02000000000000455
166,505.3,770.5,1.614,132,1.1,0.10000000000002274,0.02000000000000455
176,506.2,770.5,0.559,132,1.3,0.0,0.02000000000000455
180,515.9,770.6,0.76,129,0.9,0.10000000000002274,0.0400000000000091
186,538.8,770.9,3.254,127,0.8,0.2999999999999545,0.1
192,558.5,771.0,3.548,127,0.6,0.10000000000002274,0.12000000000000455
196,571.6,771.0,3.283,130,0.0,0.0,0.1
199,583.0,771.0,3.507,129,-0.5,0.0,0.1
204,599.5,770.9,3.481,132,-0.8,-0.10000000000002274,0.05999999999999091
210,620.7,770.7,3.424,133,-0.9,-0.1999999999999318,-0.03999999999998636
216,642.3,770.4,3.571,135,-1.0,-0.3000000000000682,-0.12000000000000455
217,647.2,770.4,3.783,133,-0.9,0.0,-0.12000000000000455
221,662.0,770.3,3.94,136,-0.9,-0.10000000000002274,-0.1400000000000091
225,676.5,770.2,3.67,137,-1.0,-0.09999999999990905,-0.13999999999998636
231,695.8,769.9,3.382,140,-1.2,-0.3000000000000682,-0.16000000000001363
232,699.7,769.9,3.303,140,-1.2,0.0,-0.1
235,710.2,769.7,3.367,141,-0.9,-0.1999999999999318,-0.13999999999998636
237,717.8,769.7,3.638,140,-1.0,0.0,-0.11999999999998182
242,738.1,769.5,3.984,139,-0.4,-0.20000000000004547,-0.1400000000000091
243,741.4,769.5,3.923,139,-0.4,0.0,-0.07999999999999545
248,762.3,769.5,4.035,138,0.2,0.0,-0.07999999999999545
250,770.3,769.5,4.136,139,0.2,0.0,-0.0400000000000091
256,791.1,769.6,3.595,139,0.2,0.10000000000002274,-0.02000000000000455
257,795.2,769.6,3.556,139,0.2,0.0,0.02000000000000455
263,816.3,769.6,3.61,140,0.2,0.0,0.02000000000000455
264,819.2,769.6,3.431,140,0.0,0.0,0.02000000000000455
270,840.8,769.7,3.503,141,0.0,0.10000000000002274,0.0400000000000091
