time,distance,altitude,velocity_smooth,heartrate,grade_smooth,alt_difference,rolling_ave_alt
0,0.0,731.3,0.0,72,-0.9,-0.39999999999997726,-0.13999999999998636
12,32.8,730.9,3.559,69,-0.9,-0.39999999999997726,-0.13999999999998636
15,43.4,730.9,3.574,72,-0.8,0.0,-0.13999999999998636
22,68.5,730.7,3.596,81,-0.2,-0.1999999999999318,-0.13999999999998636
29,93.1,730.7,3.514,86,-0.2,0.0,-0.13999999999998636
35,114.2,730.6,3.465,87,-0.4,-0.10000000000002274,-0.13999999999998636
42,139.3,730.5,3.652,95,-0.3,-0.10000000000002274,-0.07999999999999545
46,153.9,730.5,3.653,102,0.2,0.0,-0.07999999999999545
51,171.5,730.4,3.56,105,0.3,-0.10000000000002274,-0.06000000000001364
62,213.7,730.7,3.835,111,0.3,0.3000000000000682,0.0
66,229.2,730.6,3.784,116,-0.5,-0.10000000000002274,0.0
73,255.5,730.5,3.759,114,-0.2,-0.10000000000002274,0.0
78,274.5,730.5,3.769,117,0.0,0.0,0.0
82,289.0,730.5,3.718,117,0.4,0.0,0.02000000000000455
88,311.1,730.6,3.654,117,0.5,0.10000000000002274,-0.02000000000000455
95,337.5,730.8,3.779,118,1.4,0.1999999999999318,0.03999999999998636
102,362.4,731.3,3.551,120,2.7,0.5,0.1599999999999909
109,386.2,732.1,3.41,120,2.8,0.8000000000000682,0.32000000000000456
119,420.0,732.2,3.513,120,-0.4,0.10000000000002274,0.3400000000000091
120,423.4,732.2,3.527,119,-0.4,0.0,0.32000000000000456
128,453.4,732.1,3.745,119,-0.1,-0.10000000000002274,0.26000000000001366
133,470.3,732.1,3.451,122,0.0,0.0,0.16000000000001363
141,499.0,732.1,3.589,120,0.0,0.0,0.0
148,522.7,732.1,3.386,121,0.2,0.0,-0.02000000000000455
155,547.5,732.2,3.546,123,0.5,0.10000000000002274,0.0
161,570.7,732.3,3.844,123,0.5,0.09999999999990905,0.03999999999998636
170,602.8,732.5,3.558,124,0.5,0.20000000000004547,0.07999999999999545
172,610.0,732.5,3.691,124,0.4,0.0,0.07999999999999545
252,639.2,732.6,1.652,103,0.4,0.10000000000002274,0.1
257,659.1,732.7,3.988,99,0.7,0.10000000000002274,0.1
264,684.7,732.9,3.65,100,0.6,0.1999999999999318,0.12000000000000455
270,707.5,733.0,3.76,100,0.4,0.10000000000002274,0.1
276,729.5,733.1,3.739,100,0.5,0.10000000000002274,0.12000000000000455
283,755.0,733.3,3.608,108,0.7,0.1999999999999318,0.13999999999998636
287,770.0,733.4,3.727,111,0.6,0.10000000000002274,0.13999999999998636
294,796.4,733.5,3.769,117,0.5,0.10000000000002274,0.12000000000000455
300,817.0,733.6,3.569,120,0.5,0.10000000000002274,0.12000000000000455
307,842.4,733.7,3.62,123,0.5,0.10000000000002274,0.12000000000000455
312,860.3,733.8,3.617,124,0.6,0.09999999999990905,0.1
320,889.3,734.0,3.628,123,0.6,0.20000000000004547,0.12000000000000455
326,910.6,734.1,3.548,123,0.4,0.10000000000002274,0.12000000000000455
333,935.4,734.2,3.543,128,0.4,0.10000000000002274,0.12000000000000455
339,955.6,734.3,3.367,121,0.3,0.09999999999990905,0.11999999999998182
349,990.2,734.4,3.553,126,0.4,0.10000000000002274,0.12000000000000455
355,1011.4,734.5,3.576,127,0.3,0.10000000000002274,0.1
