time,distance,altitude,velocity_smooth,heartrate,grade_smooth,alt_difference,rolling_ave_alt
0,0.0,2127.5,0.0,86,-11.6,0.0,-0.3199999999999818
1,0.0,2127.5,0.0,86,-8.8,0.0,-0.3199999999999818
4,10.3,2126.3,2.585,84,-7.8,-1.199999999999818,-0.3199999999999818
6,15.8,2126.1,3.168,83,-7.7,-0.20000000000027285,-0.3199999999999818
8,19.2,2126.0,2.747,83,-3.5,-0.09999999999990905,-0.3199999999999818
9,20.6,2125.9,2.062,85,-3.2,-0.09999999999990905,-0.3199999999999818
11,24.7,2125.8,1.766,88,-2.9,-0.09999999999990905,-0.3399999999999636
15,34.4,2125.5,2.293,91,-2.4,-0.3000000000001819,-0.1600000000000364
22,54.2,2125.0,2.687,93,-2.4,-0.5,-0.21999999999998182
28,75.5,2124.6,3.163,94,-1.8,-0.40000000000009095,-0.2800000000000182
29,78.8,2124.5,3.514,93,-1.5,-0.09999999999990905,-0.2800000000000182
33,90.6,2124.5,3.022,96,-0.9,0.0,-0.26000000000003637
36,93.2,2124.4,2.056,99,-0.5,-0.09999999999990905,-0.21999999999998182
37,97.1,2124.4,2.289,99,-1.2,0.0,-0.11999999999998182
38,100.2,2124.4,1.914,102,-0.5,0.0,-0.03999999999996362
40,107.8,2124.3,2.459,105,-0.5,-0.09999999999990905,-0.03999999999996362
42,114.7,2124.3,3.52,108,-0.3,0.0,-0.03999999999996362
43,118.5,2124.3,3.666,108,0.0,0.0,-0.01999999999998181
47,130.6,2124.3,3.17,111,0.0,0.0,-0.01999999999998181
48,134.1,2124.3,3.118,111,0.0,0.0,-0.01999999999998181
51,145.1,2124.3,3.316,114,0.0,0.0,0.0
53,152.1,2124.3,3.584,115,0.0,0.0,0.0
58,167.0,2124.3,3.134,116,-0.4,0.0,0.0
63,180.2,2124.3,2.817,119,-0.5,0.0,0.0
67,194.0,2124.1,3.002,119,-0.9,-0.20000000000027285,-0.04000000000005457
72,208.1,2124.0,3.096,120,-1.1,-0.09999999999990905,-0.06000000000003638
79,230.6,2123.7,3.048,121,-1.2,-0.3000000000001819,-0.12000000000007276
82,241.8,2123.6,3.375,125,-1.4,-0.09999999999990905,-0.14000000000005458
85,252.4,2123.4,3.635,123,-1.7,-0.1999999999998181,-0.1800000000000182
87,258.5,2123.3,3.336,126,-1.8,-0.09999999999990905,-0.15999999999994544
90,266.6,2123.1,2.848,127,-1.6,-0.20000000000027285,-0.1800000000000182
91,269.3,2123.1,2.813,128,-1.9,0.0,-0.11999999999998182
94,277.2,2123.0,2.673,128,-1.3,-0.09999999999990905,-0.11999999999998182
95,279.7,2122.9,2.602,125,-1.8,-0.09999999999990905,-0.1
96,282.4,2122.9,2.618,125,-2.4,0.0,-0.0800000000000182
99,291.3,2122.7,2.81,126,-2.2,-0.20000000000027285,-0.0800000000000182
104,306.9,2122.3,3.066,128,-2.4,-0.3999999999996362,-0.15999999999994544
111,329.8,2121.8,3.21,131,-2.5,-0.5,-0.23999999999996363
113,336.8,2121.6,3.316,132,-2.4,-0.20000000000027285,-0.26000000000003637
115,344.2,2121.4,3.388,133,-2.9,-0.1999999999998181,-0.3
118,352.7,2121.2,3.186,136,-2.4,-0.20000000000027285,-0.3
120,357.8,2121.0,2.73,136,-2.2,-0.1999999999998181,-0.26000000000003637
126,377.8,2120.6,3.135,139,-2.4,-0.40000000000009095,-0.24000000000005456
131,393.2,2120.3,3.218,142,-2.3,-0.29999999999972715,-0.25999999999994544
135,405.9,2119.9,3.126,142,-2.4,-0.40000000000009095,-0.3
140,422.8,2119.5,3.282,142,-2.6,-0.40000000000009095,-0.3399999999999636
146,443.5,2119.0,3.423,143,-2.1,-0.5,-0.4
147,447.2,2118.9,3.484,142,-1.8,-0.09999999999990905,-0.3399999999999636
153,467.5,2118.6,3.42,141,-1.0,-0.3000000000001819,-0.3400000000000546
159,489.2,2118.3,3.506,139,-0.9,-0.29999999999972715,-0.3199999999999818
166,511.3,2118.3,3.371,138,-0.6,0.0,-0.23999999999996363
167,514.2,2118.3,3.12,138,-0.2,0.0,-0.13999999999996363
174,536.8,2118.2,3.191,137,0.0,-0.1000000000003638,-0.14000000000005458
175,539.7,2118.2,3.188,137,0.9,0.0,-0.0800000000000182
176,542.7,2118.3,3.168,138,3.8,0.1000000000003638,0.0
178,549.3,2118.6,3.188,139,4.1,0.29999999999972715,0.05999999999994543
182,566.0,2119.3,3.887,142,4.0,0.7000000000002728,0.2
183,568.7,2119.4,3.894,143,3.6,0.09999999999990905,0.24000000000005456
187,582.4,2119.9,3.282,146,2.4,0.5,0.3400000000000546
190,594.1,2120.2,3.627,146,2.1,0.29999999999972715,0.37999999999992723
196,617.0,2120.5,3.844,147,1.5,0.3000000000001819,0.3800000000000182
197,620.5,2120.5,3.773,147,1.3,0.0,0.23999999999996363
203,641.6,2120.8,3.51,148,1.1,0.3000000000001819,0.2800000000000182
205,648.5,2120.9,3.491,150,1.0,0.09999999999990905,0.2
209,662.3,2121.0,3.455,154,0.3,0.09999999999990905,0.1600000000000364
211,669.7,2121.0,3.538,151,-0.6,0.0,0.1
213,676.3,2120.9,3.48,151,-1.0,-0.09999999999990905,0.0800000000000182
219,696.8,2120.6,3.384,150,-0.4,-0.3000000000001819,-0.04000000000005457
220,700.8,2120.6,3.506,149,1.1,0.0,-0.06000000000003638
226,720.2,2120.8,3.349,151,2.6,0.20000000000027285,-0.03999999999996362
233,741.1,2121.6,3.096,153,2.6,0.7999999999997272,0.11999999999998182
239,758.3,2122.2,2.928,154,2.4,0.599999999999909,0.25999999999994544
246,777.3,2122.6,2.788,153,1.4,0.40000000000009095,0.4
253,796.1,2122.6,2.701,154,1.1,0.0,0.4
260,817.0,2122.7,2.835,154,1.3,0.09999999999990905,0.37999999999992723
