time,distance,altitude,velocity_smooth,heartrate,grade_smooth,alt_difference,rolling_ave_alt
0,0.0,1175.6,0.0,84,-6.6,-0.5,-0.5
8,8.0,1175.1,1.005,83,-6.2,-0.5,-0.5
9,10.6,1174.9,1.177,86,-6.1,-0.1999999999998181,-0.5
13,27.2,1173.9,3.834,92,-6.2,-1.0,-0.5
14,30.9,1173.7,4.066,94,-6.2,-0.20000000000004547,-0.5
16,40.2,1173.1,4.236,99,-6.3,-0.6000000000001364,-0.5
18,49.1,1172.5,4.38,103,-6.1,-0.599999999999909,-0.5199999999999818
20,57.5,1172.0,4.423,108,-5.8,-0.5,-0.5800000000000182
21,61.9,1171.8,4.338,108,-5.3,-0.20000000000004547,-0.4200000000000273
23,69.8,1171.4,4.13,111,-4.4,-0.3999999999998636,-0.4599999999999909
25,79.2,1170.9,4.338,114,-4.2,-0.5,-0.43999999999996364
29,96.1,1170.3,4.395,117,-4.4,-0.6000000000001364,-0.4400000000000091
30,100.2,1170.2,4.208,118,-4.6,-0.09999999999990905,-0.3599999999999909
33,112.9,1169.5,4.216,121,-5.2,-0.7000000000000455,-0.4599999999999909
36,125.1,1168.8,4.155,124,-5.4,-0.7000000000000455,-0.5200000000000273
37,128.9,1168.6,4.104,124,-4.4,-0.20000000000004547,-0.4600000000000364
40,140.7,1168.0,3.974,127,-2.1,-0.599999999999909,-0.4599999999999909
43,154.2,1167.7,4.22,128,-1.5,-0.2999999999999545,-0.5
49,177.8,1167.7,4.124,130,-0.9,0.0,-0.3599999999999909
55,200.5,1167.5,3.852,129,-1.8,-0.20000000000004547,-0.2599999999999909
56,204.6,1167.4,3.826,129,-2.8,-0.09999999999990905,-0.23999999999996363
62,228.1,1166.4,3.951,129,-4.9,-1.0,-0.3199999999999818
63,232.1,1166.2,3.936,129,-4.9,-0.20000000000004547,-0.3
68,253.1,1164.9,4.155,132,-3.2,-1.2999999999999545,-0.559999999999991
69,257.3,1164.8,4.197,133,-2.6,-0.10000000000013642,-0.5400000000000091
74,277.9,1164.8,4.133,133,-1.9,0.0,-0.5200000000000273
78,294.2,1164.6,4.093,134,-2.1,-0.20000000000004547,-0.3600000000000364
83,315.5,1163.7,4.18,136,-3.6,-0.8999999999998636,-0.5
84,319.7,1163.5,4.248,138,-4.1,-0.20000000000004547,-0.2800000000000182
89,341.7,1162.5,4.375,136,-3.2,-1.0,-0.4599999999999909
93,357.9,1162.0,4.248,138,-2.9,-0.5,-0.559999999999991
99,380.6,1161.6,3.886,139,-1.8,-0.40000000000009095,-0.6
102,391.8,1161.4,3.767,140,-1.5,-0.1999999999998181,-0.4599999999999909
108,414.6,1161.2,3.784,142,-1.8,-0.20000000000004547,-0.4599999999999909
111,426.7,1161.0,3.874,142,-2.0,-0.20000000000004547,-0.3
117,449.1,1160.4,3.828,143,-2.8,-0.599999999999909,-0.3199999999999818
119,457.4,1160.1,3.839,143,-3.0,-0.3000000000001819,-0.3
125,481.5,1159.3,4.053,145,-2.7,-0.7999999999999545,-0.4200000000000273
127,489.5,1159.1,4.01,145,-2.5,-0.20000000000004547,-0.4200000000000273
133,512.4,1158.7,3.857,146,-1.9,-0.3999999999998636,-0.4599999999999909
