time,distance,altitude,velocity_smooth,heartrate,grade_smooth,alt_difference,rolling_ave_alt
0,0.9,1176.4,0.0,97,2.7,0.0,0.05999999999999091
1,0.9,1176.4,0.0,98,2.3,0.0,0.05999999999999091
6,8.3,1176.6,1.232,99,1.4,0.1999999999998181,0.05999999999999091
8,13.7,1176.7,1.824,103,1.2,0.10000000000013642,0.05999999999999091
11,21.7,1176.7,2.682,107,0.8,0.0,0.05999999999999091
13,26.6,1176.7,2.598,111,1.2,0.0,0.05999999999999091
16,33.8,1176.8,2.416,114,2.7,0.09999999999990905,0.07999999999997272
18,39.4,1177.0,2.55,115,5.6,0.20000000000004547,0.0800000000000182
20,43.7,1177.3,2.434,117,6.6,0.2999999999999545,0.11999999999998182
22,48.0,1177.9,2.37,118,6.4,0.6000000000001364,0.2400000000000091
23,50.3,1177.9,2.19,118,9.5,0.0,0.2400000000000091
26,58.2,1178.2,2.413,120,2.0,0.2999999999999545,0.2800000000000182
27,60.6,1178.9,2.526,124,7.0,0.7000000000000455,0.3800000000000182
28,63.1,1178.2,2.544,124,6.9,-0.7000000000000455,0.1800000000000182
29,66.1,1179.0,2.622,127,6.0,0.7999999999999545,0.21999999999998182
34,80.0,1179.7,2.822,125,7.0,0.7000000000000455,0.3599999999999909
41,94.0,1180.9,2.327,128,5.4,1.2000000000000455,0.5400000000000091
43,97.6,1180.6,1.953,128,7.8,-0.3000000000001819,0.3399999999999636
44,99.5,1180.8,1.952,131,9.2,0.20000000000004547,0.5199999999999818
46,104.2,1181.6,2.046,128,13.3,0.7999999999999545,0.5199999999999818
50,113.5,1182.7,2.327,128,3.0,1.1000000000001364,0.6
55,117.1,1183.2,1.428,128,-2.6,0.5,0.4599999999999909
60,119.8,1181.4,0.635,127,-6.7,-1.7999999999999545,0.1600000000000364
67,131.3,1180.9,1.183,124,-8.5,-0.5,0.020000000000027284
74,147.8,1180.4,1.999,127,-4.4,-0.5,-0.23999999999996363
78,158.4,1179.7,2.466,130,-3.2,-0.7000000000000455,-0.6
81,165.7,1179.4,2.55,130,-3.0,-0.2999999999999545,-0.7599999999999909
