time,distance,altitude,velocity_smooth,heartrate,grade_smooth,alt_difference,rolling_ave_alt
0,0.0,708.8,0.0,80,-1.2,0.0,-0.07999999999999545
1,0.0,708.8,0.0,81,-1.2,0.0,-0.07999999999999545
4,8.2,708.7,2.055,81,-1.0,-0.09999999999990905,-0.07999999999999545
9,32.0,708.4,4.005,85,-0.8,-0.3000000000000682,-0.07999999999999545
11,40.7,708.4,4.641,88,-0.8,0.0,-0.07999999999999545
14,53.0,708.4,4.182,92,-0.3,0.0,-0.07999999999999545
16,61.4,708.3,4.134,96,-0.2,-0.10000000000002274,-0.1
18,69.7,708.3,4.146,98,-0.5,0.0,-0.0800000000000182
21,81.9,708.3,4.1,102,-0.3,0.0,-0.02000000000000455
23,90.1,708.2,4.078,106,-0.6,-0.09999999999990905,-0.03999999999998636
24,94.2,708.2,4.078,110,-0.7,0.0,-0.03999999999998636
26,102.3,708.1,4.088,114,-0.5,-0.10000000000002274,-0.03999999999998636
28,110.1,708.1,4.002,116,-0.2,0.0,-0.03999999999998636
33,130.8,708.0,4.063,118,0.2,-0.10000000000002274,-0.05999999999999091
37,148.1,708.1,4.223,121,0.3,0.10000000000002274,-0.02000000000000455
40,160.8,708.2,4.29,124,0.8,0.10000000000002274,0.0
44,176.6,708.3,4.067,127,0.7,0.09999999999990905,0.03999999999998636
49,196.7,708.5,3.989,129,0.8,0.20000000000004547,0.07999999999999545
54,215.9,708.6,3.932,132,0.8,0.10000000000002274,0.12000000000000455
59,236.3,708.8,3.961,136,1.0,0.1999999999999318,0.13999999999998636
60,240.2,708.8,4.047,134,0.9,0.0,0.11999999999998182
65,259.3,709.1,3.827,135,0.5,0.3000000000000682,0.16000000000001363
66,262.9,709.0,3.783,139,0.4,-0.10000000000002274,0.1
69,274.6,709.0,3.827,138,-0.2,0.0,0.07999999999999545
74,294.7,709.0,3.969,138,0.0,0.0,0.0400000000000091
79,314.1,709.0,3.948,137,0.1,0.0,0.0400000000000091
84,333.7,709.0,3.901,140,0.3,0.0,-0.02000000000000455
88,349.0,709.1,3.879,141,0.3,0.10000000000002274,0.02000000000000455
93,369.6,709.2,3.997,140,0.4,0.10000000000002274,0.0400000000000091
97,386.0,709.2,4.101,143,0.3,0.0,0.0400000000000091
98,389.9,709.2,4.056,144,0.2,0.0,0.0400000000000091
104,413.4,709.3,3.924,146,0.4,0.09999999999990905,0.05999999999999091
106,421.1,709.3,3.904,148,0.3,0.0,0.03999999999998636
111,441.2,709.4,3.967,149,0.2,0.10000000000002274,0.03999999999998636
114,452.6,709.4,3.93,149,0.3,0.0,0.03999999999998636
119,472.6,709.4,3.932,150,0.3,0.0,0.03999999999998636
123,488.2,709.5,3.956,150,0.3,0.10000000000002274,0.0400000000000091
129,512.1,709.6,3.947,150,0.4,0.10000000000002274,0.06000000000001364
132,523.8,709.6,3.953,150,0.3,0.0,0.0400000000000091
137,543.6,709.7,3.94,153,0.3,0.10000000000002274,0.06000000000001364
141,560.1,709.7,4.039,153,0.3,0.0,0.06000000000001364
147,583.8,709.8,4.019,153,0.3,0.09999999999990905,0.05999999999999091
148,587.4,709.8,3.901,153,0.3,0.0,0.03999999999998636
154,611.3,709.9,3.929,154,0.3,0.10000000000002274,0.05999999999999091
157,622.9,709.9,3.942,155,0.0,0.0,0.03999999999998636
163,646.2,710.0,3.87,157,-0.7,0.10000000000002274,0.05999999999999091
167,662.5,709.8,3.963,158,-0.9,-0.20000000000004547,0.0
172,684.0,709.4,4.207,158,-1.4,-0.39999999999997726,-0.07999999999999545
175,697.3,709.2,4.34,158,-1.3,-0.1999999999999318,-0.13999999999998636
180,717.7,709.0,4.207,159,-0.1,-0.20000000000004547,-0.17999999999999544
184,733.5,708.9,4.026,159,0.9,-0.10000000000002274,-0.22000000000000455
189,754.0,709.3,4.041,159,1.6,0.39999999999997726,-0.1
192,764.9,709.8,3.927,158,2.1,0.5,0.07999999999999545
193,768.5,709.8,3.893,159,1.4,0.0,0.11999999999998182
195,776.5,709.8,3.75,161,0.4,0.0,0.1599999999999909
200,797.0,709.9,4.07,159,0.4,0.10000000000002274,0.2
204,813.3,710.0,4.089,156,0.5,0.10000000000002274,0.1400000000000091
205,817.6,710.0,4.124,155,0.3,0.0,0.0400000000000091
210,838.0,710.1,4.115,155,0.2,0.10000000000002274,0.06000000000001364
214,854.5,710.1,4.09,154,0.3,0.0,0.06000000000001364
219,874.7,710.1,4.068,154,0.3,0.0,0.0400000000000091
221,882.7,710.2,4.037,154,0.3,0.10000000000002274,0.0400000000000091
226,902.8,710.3,4.027,155,0.6,0.09999999999990905,0.05999999999999091
230,918.9,710.3,4.022,155,0.5,0.0,0.03999999999998636
235,939.1,710.5,4.03,154,0.4,0.20000000000004547,0.07999999999999545
237,947.2,710.5,4.044,156,0.7,0.0,0.07999999999999545
243,971.1,710.6,4.003,157,0.5,0.10000000000002274,0.07999999999999545
245,979.4,710.7,4.023,157,0.6,0.10000000000002274,0.0800000000000182
250,999.4,710.8,4.04,158,0.7,0.09999999999990905,0.1
253,1011.0,710.9,3.949,155,0.5,0.10000000000002274,0.07999999999999545
254,1015.0,710.9,3.954,156,0.5,0.0,0.07999999999999545
260,1038.7,711.0,3.956,157,0.4,0.10000000000002274,0.07999999999999545
265,1059.4,711.1,4.034,159,0.5,0.10000000000002274,0.07999999999999545
271,1083.0,711.2,4.032,157,0.5,0.10000000000002274,0.0800000000000182
273,1090.8,711.3,3.93,157,0.5,0.09999999999990905,0.07999999999999545
274,1094.7,711.3,3.927,160,0.6,0.0,0.07999999999999545
279,1114.9,711.4,4.015,159,0.7,0.10000000000002274,0.07999999999999545
283,1130.7,711.5,4.004,161,0.7,0.10000000000002274,0.07999999999999545
288,1150.8,711.7,3.984,159,0.7,0.20000000000004547,0.1
