time,distance,altitude,velocity_smooth,heartrate,grade_smooth,alt_difference,rolling_ave_alt
0,0.0,771.5,0.0,91,-1.3,-0.20000000000004547,-0.1599999999999909
1,11.6,771.3,0.0,91,-1.2,-0.20000000000004547,-0.1599999999999909
2,23.2,771.2,0.0,95,-1.1,-0.09999999999990905,-0.1599999999999909
7,34.7,771.1,3.861,95,-1.2,-0.10000000000002274,-0.1599999999999909
8,46.3,771.0,3.861,95,-1.1,-0.10000000000002274,-0.1599999999999909
9,61.2,770.7,5.434,93,-0.6,-0.2999999999999545,-0.1599999999999909
10,69.2,770.7,5.758,93,-0.5,0.0,-0.11999999999998182
12,83.2,770.8,9.686,96,0.5,0.09999999999990905,-0.0800000000000182
13,85.5,770.8,7.834,96,0.5,0.0,-0.06000000000001364
21,100.4,770.9,1.914,96,0.4,0.10000000000002274,-0.02000000000000455
24,108.9,770.9,2.132,99,0.3,0.0,0.03999999999998636
25,111.0,770.9,2.127,102,-0.4,0.0,0.03999999999998636
28,119.1,770.9,2.669,105,-0.5,0.0,0.02000000000000455
31,127.5,770.8,2.75,105,-0.4,-0.10000000000002274,0.0
32,130.1,770.8,2.727,108,-0.5,0.0,-0.02000000000000455
35,136.4,770.8,2.479,112,-0.7,0.0,-0.02000000000000455
36,137.9,770.8,2.074,111,-0.7,0.0,-0.02000000000000455
40,141.8,770.7,1.08,114,-0.5,-0.09999999999990905,-0.03999999999998636
42,143.5,770.7,0.937,114,-0.5,0.0,-0.01999999999998181
47,155.9,770.7,2.014,113,-0.5,0.0,-0.01999999999998181
53,175.4,770.6,2.895,112,-0.6,-0.10000000000002274,-0.03999999999998636
60,196.8,770.4,3.145,113,-0.6,-0.20000000000004547,-0.07999999999999545
64,209.5,770.3,3.103,117,-0.4,-0.10000000000002274,-0.0800000000000182
67,218.6,770.3,3.106,119,0.0,0.0,-0.0800000000000182
70,227.3,770.4,2.963,122,0.4,0.10000000000002274,-0.06000000000001364
73,235.3,770.4,2.792,125,0.8,0.0,-0.0400000000000091
74,237.4,770.4,2.699,126,0.5,0.0,0.0
76,243.3,770.5,2.665,128,0.0,0.10000000000002274,0.0400000000000091
78,247.7,770.5,2.484,131,0.0,0.0,0.0400000000000091
84,263.9,770.4,2.578,132,0.0,-0.10000000000002274,0.0
91,285.5,770.4,2.905,132,0.1,0.0,0.0
98,302.9,770.5,2.789,131,0.3,0.10000000000002274,0.02000000000000455
105,322.8,770.6,2.663,128,0.5,0.10000000000002274,0.02000000000000455
106,325.1,770.6,2.766,128,0.4,0.0,0.02000000000000455
114,348.1,770.7,2.814,129,0.4,0.10000000000002274,0.06000000000001364
116,353.4,770.7,2.838,129,0.4,0.0,0.06000000000001364
123,374.6,770.8,2.94,131,0.2,0.09999999999990905,0.05999999999999091
125,380.6,770.8,3.017,132,0.2,0.0,0.03999999999998636
129,393.1,770.8,3.097,135,0.0,0.0,0.03999999999998636
134,407.6,770.8,3.003,137,0.0,0.0,0.01999999999998181
141,429.6,770.8,3.041,139,0.0,0.0,0.01999999999998181
143,435.0,770.8,3.04,140,0.0,0.0,0.0
150,456.9,770.8,3.027,140,-0.2,0.0,0.0
151,460.3,770.8,3.167,140,-0.2,0.0,0.0
158,483.4,770.7,3.32,139,-0.2,-0.09999999999990905,-0.01999999999998181
160,490.3,770.7,3.331,139,-0.3,0.0,-0.01999999999998181
166,510.9,770.7,3.436,140,-0.3,0.0,-0.01999999999998181
169,521.0,770.6,3.409,141,-0.5,-0.10000000000002274,-0.03999999999998636
176,543.2,770.5,3.232,143,-0.9,-0.10000000000002274,-0.05999999999999091
177,546.9,770.4,3.238,143,-1.0,-0.10000000000002274,-0.06000000000001364
183,568.3,770.2,3.577,142,-1.4,-0.1999999999999318,-0.1
