time,distance,altitude,velocity_smooth,heartrate,grade_smooth,alt_difference,rolling_ave_alt
0,1.8,731.4,0.0,75,0.0,-0.10000000000002274,-0.17999999999999544
11,34.5,731.3,3.3,90,-0.3,-0.10000000000002274,-0.17999999999999544
21,71.0,730.9,3.838,106,-0.5,-0.39999999999997726,-0.17999999999999544
27,93.1,730.8,3.683,112,-0.4,-0.10000000000002274,-0.17999999999999544
36,125.2,730.7,3.558,117,-0.2,-0.09999999999990905,-0.17999999999999544
46,162.1,730.5,3.692,118,-0.4,-0.20000000000004547,-0.17999999999999544
58,205.4,730.4,3.612,120,0.1,-0.10000000000002274,-0.17999999999999544
65,229.5,730.6,3.44,121,0.4,0.20000000000004547,-0.05999999999999091
74,263.2,730.6,3.74,125,-0.5,0.0,-0.03999999999998636
81,290.3,730.5,3.873,126,-0.2,-0.10000000000002274,-0.0400000000000091
89,319.5,730.5,3.653,127,0.3,0.0,0.0
98,352.7,730.7,3.688,127,0.9,0.20000000000004547,0.06000000000001364
109,394.3,731.2,3.785,130,1.8,0.5,0.12000000000000455
119,428.5,732.3,3.323,140,0.8,1.099999999999909,0.33999999999998637
129,465.3,732.2,3.686,143,-0.3,-0.09999999999990905,0.3400000000000091
134,484.4,732.1,3.791,143,-0.2,-0.10000000000002274,0.32000000000000456
147,532.0,732.1,3.619,142,0.0,0.0,0.2799999999999955
153,553.8,732.1,3.645,140,0.2,0.0,0.17999999999999544
163,589.0,732.3,3.52,137,0.6,0.1999999999999318,0.0
173,624.9,732.5,3.59,140,0.5,0.20000000000004547,0.05999999999999091
181,654.5,732.6,3.701,140,0.3,0.10000000000002274,0.1
191,690.1,732.7,3.552,142,0.7,0.10000000000002274,0.12000000000000455
203,733.7,733.0,3.637,143,0.5,0.2999999999999545,0.17999999999999544
212,767.2,733.1,3.724,143,0.6,0.10000000000002274,0.16000000000001363
216,781.4,733.2,3.67,142,0.6,0.10000000000002274,0.1400000000000091
230,832.3,733.5,3.615,142,0.5,0.2999999999999545,0.17999999999999544
234,847.2,733.6,3.648,143,0.5,0.10000000000002274,0.17999999999999544
248,896.9,733.8,3.535,144,0.5,0.1999999999999318,0.1599999999999909
257,929.4,734.0,3.617,144,0.5,0.20000000000004547,0.17999999999999544
266,961.5,734.1,3.563,143,0.5,0.10000000000002274,0.17999999999999544
273,986.9,734.3,3.63,144,0.6,0.1999999999999318,0.1599999999999909
281,1015.8,734.4,3.612,144,0.3,0.10000000000002274,0.1599999999999909
290,1048.9,734.5,3.684,140,0.2,0.10000000000002274,0.1400000000000091
298,1078.3,734.5,3.668,139,0.0,0.0,0.1
306,1107.8,734.5,3.691,139,0.7,0.0,0.07999999999999545
320,1159.9,735.3,3.706,138,3.2,0.7999999999999545,0.2
328,1189.5,736.4,3.697,141,4.8,1.1000000000000227,0.4
337,1214.6,737.9,2.587,141,-0.2,1.5,0.6799999999999955
347,1249.7,737.8,3.796,143,0.0,-0.10000000000002274,0.6599999999999909
357,1286.4,737.9,3.674,144,0.1,0.10000000000002274,0.6799999999999955
366,1318.7,737.9,3.588,144,-0.1,0.0,0.5200000000000046
372,1340.3,737.9,3.581,146,-0.3,0.0,0.3
381,1374.6,737.7,3.81,147,-0.5,-0.1999999999999318,-0.03999999999998636
392,1415.8,737.7,3.708,147,0.0,0.0,-0.01999999999998181
401,1448.5,737.6,3.627,146,3.4,-0.10000000000002274,-0.05999999999999091
409,1478.7,738.9,3.798,152,1.6,1.2999999999999545,0.2
416,1503.7,739.3,3.58,151,1.2,0.39999999999997726,0.2799999999999955
429,1552.1,739.9,3.7,153,1.8,0.6000000000000227,0.43999999999998635
435,1576.4,740.4,4.043,153,2.3,0.5,0.5399999999999864
444,1610.1,741.4,3.76,153,3.1,1.0,0.7599999999999909
455,1650.0,742.7,3.625,152,3.2,1.3000000000000682,0.7600000000000137
464,1681.8,743.7,3.538,152,3.2,1.0,0.8800000000000182
473,1712.9,744.7,3.458,151,3.4,1.0,0.9600000000000136
481,1740.8,745.7,3.481,152,3.3,1.0,1.0600000000000136
493,1784.6,746.9,3.68,150,2.4,1.1999999999999318,1.1
496,1795.6,747.2,3.726,151,2.2,0.3000000000000682,0.9
510,1845.7,748.0,3.438,151,1.1,0.7999999999999545,0.8599999999999909
517,1871.4,748.2,3.669,153,1.7,0.20000000000004547,0.7
524,1897.8,748.9,3.769,153,2.6,0.6999999999999318,0.6399999999999864
534,1933.5,749.8,3.574,150,2.8,0.8999999999999773,0.5799999999999954
542,1961.8,750.7,3.527,145,3.3,0.900000000000091,0.7
555,2007.6,752.7,3.447,147,5.0,2.0,0.940000000000009
563,2036.1,754.0,3.566,158,4.8,1.2999999999999545,1.1599999999999908
570,2062.2,755.2,3.662,173,4.6,1.2000000000000455,1.2600000000000136
584,2112.6,757.6,3.644,172,4.7,2.3999999999999773,1.5600000000000136
591,2138.7,758.8,3.73,171,3.8,1.1999999999999318,1.619999999999982
598,2163.5,759.5,3.562,170,2.2,0.7000000000000455,1.359999999999991
609,2203.1,760.1,3.614,167,1.8,0.6000000000000227,1.2200000000000046
618,2235.9,760.8,3.642,167,2.6,0.6999999999999318,1.119999999999982
626,2264.6,761.7,3.58,166,2.8,0.900000000000091,0.8200000000000045
635,2296.3,762.5,3.526,164,1.4,0.7999999999999545,0.7400000000000091
642,2322.0,762.5,3.669,164,-0.9,0.0,0.6
655,2372.7,761.7,3.794,164,-0.3,-0.7999999999999545,0.32000000000000456
659,2388.7,761.7,3.936,164,0.1,0.0,0.1800000000000182
668,2421.5,762.1,3.647,163,1.6,0.39999999999997726,0.07999999999999545
681,2469.7,763.0,3.64,158,2.0,0.8999999999999773,0.1
689,2497.3,763.6,3.455,155,3.3,0.6000000000000227,0.22000000000000455
698,2531.7,764.6,3.827,157,2.1,1.0,0.5799999999999954
705,2558.4,765.1,3.801,160,1.5,0.5,0.6799999999999955
714,2592.0,765.5,3.739,160,0.3,0.39999999999997726,0.6799999999999955
723,2625.6,765.3,3.736,158,-1.3,-0.20000000000004547,0.4599999999999909
732,2659.4,764.4,3.752,156,-5.0,-0.8999999999999773,0.1599999999999909
739,2685.9,762.9,3.793,155,-4.1,-1.5,-0.3400000000000091
751,2735.8,763.1,3.9,156,4.8,0.20000000000004547,-0.4
759,2766.6,765.0,3.856,158,5.3,1.8999999999999773,-0.1
767,2796.0,766.3,3.676,158,4.4,1.2999999999999545,0.2
774,2821.2,767.4,3.599,158,4.9,1.1000000000000227,0.6
783,2853.1,769.1,3.52,159,5.1,1.7000000000000455,1.240000000000009
791,2881.0,770.5,3.496,158,5.0,1.3999999999999773,1.4799999999999955
804,2925.1,772.6,3.376,160,5.2,2.1000000000000227,1.5200000000000045
811,2946.9,774.1,3.12,160,10.0,1.5,1.5600000000000136
826,2996.2,779.2,3.211,160,6.7,5.100000000000023,2.3600000000000136
835,3028.3,780.4,3.561,159,3.0,1.1999999999999318,2.259999999999991
845,3062.8,781.2,3.457,157,1.9,0.8000000000000682,2.140000000000009
853,3090.1,781.4,3.434,157,1.1,0.1999999999999318,1.759999999999991
862,3122.5,781.8,3.603,155,1.3,0.39999999999997726,1.5399999999999863
869,3146.6,782.9,3.449,155,7.0,1.1000000000000227,0.7399999999999863
882,3193.3,785.6,3.624,159,5.2,2.7000000000000455,1.0400000000000091
890,3221.5,787.2,3.519,160,4.6,1.6000000000000227,1.2
899,3252.9,788.0,3.486,162,1.1,0.7999999999999545,1.3200000000000045
909,3289.5,788.0,3.663,164,3.5,0.0,1.240000000000009
915,3313.3,790.8,3.88,165,3.6,2.7999999999999545,1.5799999999999954
924,3347.6,790.6,3.812,163,1.3,-0.1999999999999318,1.0
932,3377.2,791.7,3.69,165,3.4,1.1000000000000227,0.9
940,3404.9,792.6,3.462,167,2.8,0.8999999999999773,0.9200000000000046
951,3442.3,793.1,3.404,162,2.5,0.5,1.0200000000000045
962,3484.7,794.6,3.852,159,-8.2,1.5,0.7600000000000137
970,3514.5,787.2,3.723,160,-24.9,-7.399999999999977,-0.6799999999999955
978,3547.7,783.2,4.35,165,-5.6,-4.0,-1.7
985,3578.9,782.2,4.454,164,-2.6,-1.0,-2.0799999999999956
992,3606.3,781.7,3.913,165,0.4,-0.5,-2.2799999999999954
1003,3647.1,782.5,3.716,165,4.6,0.7999999999999545,-2.4200000000000044
1009,3669.3,784.1,3.742,166,6.4,1.6000000000000227,-0.6200000000000045
1021,3713.2,787.4,3.655,167,6.6,3.2999999999999545,0.8399999999999863
1029,3741.5,788.7,3.553,170,3.6,1.3000000000000682,1.3
1038,3772.7,789.7,3.461,167,5.7,1.0,1.6
1048,3806.7,792.4,3.398,168,6.4,2.699999999999932,1.9799999999999955
1056,3835.6,793.7,3.611,169,2.9,1.3000000000000682,1.9200000000000046
1068,3879.5,794.5,3.661,170,-1.7,0.7999999999999545,1.4200000000000046
1074,3901.6,792.6,3.688,169,0.0,-1.8999999999999773,0.7799999999999955
1087,3948.1,795.9,3.544,167,6.5,3.2999999999999545,1.2399999999999864
1092,3966.3,797.0,3.634,173,6.9,1.1000000000000227,0.9200000000000046
1104,4009.2,800.1,3.572,175,7.2,3.1000000000000227,1.2799999999999954
1112,4035.4,802.0,3.277,169,5.3,1.8999999999999773,1.5
1121,4065.1,802.9,3.29,163,5.9,0.8999999999999773,2.0599999999999907
1133,4103.5,805.8,3.273,166,6.2,2.8999999999999773,1.9799999999999955
1141,4130.9,806.9,3.429,166,2.9,1.1000000000000227,1.9799999999999955
1154,4177.9,807.4,3.677,166,-1.0,0.5,1.4599999999999909
1163,4209.9,806.6,3.552,163,-5.2,-0.7999999999999545,0.9200000000000046
1170,4234.2,804.5,3.473,162,-5.3,-2.1000000000000227,0.32000000000000456
1176,4257.6,803.6,3.839,162,-4.1,-0.8999999999999773,-0.43999999999998635
1187,4301.3,801.4,3.928,164,-7.1,-2.2000000000000455,-1.1
1195,4330.1,799.3,3.6,160,-7.1,-2.1000000000000227,-1.6200000000000045
1206,4369.2,796.9,3.544,159,-1.9,-2.3999999999999773,-1.940000000000009
1215,4401.5,797.4,3.59,163,1.5,0.5,-1.4200000000000046
1223,4429.7,797.8,3.524,163,1.8,0.39999999999997726,-1.1600000000000137
1232,4462.3,798.5,3.624,164,2.8,0.7000000000000455,-0.5799999999999954
1240,4494.0,799.6,3.964,162,2.1,1.1000000000000227,0.06000000000001364
1249,4525.4,799.8,3.484,157,0.6,0.1999999999999318,0.5799999999999954
1260,4563.6,799.9,3.61,156,0.0,0.10000000000002274,0.5
1268,4594.0,799.9,3.805,157,-0.2,0.0,0.42000000000000454
1275,4620.1,799.8,3.727,159,-0.1,-0.10000000000002274,0.2599999999999909
1287,4663.8,799.8,3.637,162,0.7,0.0,0.03999999999998636
1295,4691.8,800.3,3.51,165,2.1,0.5,0.1
1303,4720.4,801.0,3.569,166,3.1,0.7000000000000455,0.22000000000000455
1314,4760.0,802.4,3.601,167,3.4,1.3999999999999773,0.5
1323,4792.1,803.5,3.592,168,2.7,1.1000000000000227,0.7400000000000091
1334,4830.5,804.3,3.494,168,1.8,0.7999999999999545,0.9
1342,4859.0,804.7,3.561,168,0.8,0.40000000000009095,0.8800000000000182
1351,4891.9,804.8,3.656,166,-0.2,0.09999999999990905,0.7599999999999909
1360,4924.4,804.5,3.721,164,-1.4,-0.2999999999999545,0.42000000000000454
1366,4946.4,804.1,3.66,162,-1.1,-0.39999999999997726,0.12000000000000455
1377,4986.9,803.8,3.687,162,-0.4,-0.3000000000000682,-0.1
1384,5013.5,803.8,3.796,162,0.2,0.0,-0.1800000000000182
1396,5058.1,804.2,3.758,163,1.4,0.40000000000009095,-0.11999999999998182
1403,5084.3,804.6,3.739,162,1.6,0.39999999999997726,0.02000000000000455
1411,5113.0,805.1,3.596,162,1.7,0.5,0.2
1423,5156.0,805.8,3.583,160,2.0,0.6999999999999318,0.4
1431,5183.9,806.5,3.475,161,2.6,0.7000000000000455,0.5400000000000091
1439,5210.8,807.2,3.366,163,2.6,0.7000000000000455,0.6
1449,5245.2,808.1,3.445,165,2.6,0.8999999999999773,0.7
1458,5275.7,808.9,3.383,174,2.5,0.7999999999999545,0.7599999999999909
1468,5310.5,809.7,3.481,176,2.4,0.8000000000000682,0.7800000000000182
1482,5359.8,810.9,3.514,177,2.5,1.1999999999999318,0.8799999999999955
1491,5391.8,811.7,3.549,175,2.4,0.8000000000000682,0.9
1499,5418.8,812.3,3.372,176,2.4,0.599999999999909,0.8399999999999863
1507,5446.3,813.0,3.44,175,2.3,0.7000000000000455,0.8200000000000045
1515,5474.8,813.6,3.571,178,2.4,0.6000000000000227,0.7799999999999955
1529,5523.2,814.8,3.587,178,2.6,1.1999999999999318,0.7799999999999955
1536,5547.5,815.5,3.47,178,2.9,0.7000000000000455,0.7599999999999909
1545,5578.5,816.4,3.544,178,2.9,0.8999999999999773,0.8200000000000045
1553,5605.0,817.1,3.313,179,3.0,0.7000000000000455,0.8200000000000045
1565,5647.6,818.7,3.69,179,3.2,1.6000000000000227,1.0200000000000045
1575,5681.8,819.6,3.412,177,4.3,0.8999999999999773,0.9600000000000136
1584,5714.9,821.6,3.68,178,6.0,2.0,1.2200000000000046
1591,5738.1,823.1,3.355,178,5.8,1.5,1.3400000000000092
1601,5771.8,824.9,3.37,182,4.4,1.7999999999999545,1.559999999999991
1610,5801.3,826.1,3.277,180,2.8,1.2000000000000455,1.4799999999999955
1625,5851.8,826.5,3.376,181,-0.5,0.39999999999997726,1.3799999999999955
