time,distance,altitude,velocity_smooth,heartrate,grade_smooth,alt_difference,rolling_ave_alt
0,0.0,770.9,0.0,81,0.0,0.0,0.0
7,6.1,770.9,0.867,78,0.0,0.0,0.0
8,9.0,770.9,1.129,82,0.0,0.0,0.0
10,15.4,770.9,1.54,79,0.0,0.0,0.0
16,34.4,770.9,3.17,82,0.0,0.0,0.0
17,37.5,770.9,3.157,86,0.0,0.0,0.0
18,40.6,770.9,3.149,89,0.0,0.0,0.0
20,47.0,770.9,3.155,92,0.0,0.0,0.0
24,59.8,770.9,3.207,96,0.0,0.0,0.0
26,66.1,770.9,3.185,99,0.0,0.0,0.0
28,72.4,770.9,3.178,102,0.0,0.0,0.0
33,81.8,770.9,2.244,105,-0.4,0.0,0.0
34,81.8,770.9,1.567,108,-0.5,0.0,0.0
36,88.8,770.8,2.06,111,-1.0,-0.10000000000002274,-0.02000000000000455
37,92.3,770.8,2.21,111,-0.8,0.0,-0.02000000000000455
40,101.5,770.7,3.285,114,-0.9,-0.09999999999990905,-0.03999999999998636
42,107.9,770.7,3.12,117,-0.8,0.0,-0.03999999999998636
43,111.3,770.6,3.175,114,-0.6,-0.10000000000002274,-0.05999999999999091
45,118.2,770.6,3.352,117,-0.8,0.0,-0.03999999999998636
51,137.6,770.5,3.286,120,-0.4,-0.10000000000002274,-0.05999999999999091
57,157.0,770.3,3.233,121,-0.3,-0.20000000000004547,-0.0800000000000182
64,179.9,770.3,3.255,123,0.0,0.0,-0.0800000000000182
68,192.0,770.4,3.18,126,0.3,0.10000000000002274,-0.0400000000000091
73,205.8,770.5,2.879,123,0.4,0.10000000000002274,-0.02000000000000455
77,217.5,770.5,2.831,125,0.3,0.0,0.0
80,227.6,770.5,3.113,130,0.0,0.0,0.0400000000000091
81,230.8,770.5,3.12,125,0.0,0.0,0.0400000000000091
84,240.3,770.5,3.261,121,0.3,0.0,0.02000000000000455
85,243.4,770.5,3.164,126,0.5,0.0,0.0
92,265.0,770.6,3.078,126,0.6,0.10000000000002274,0.02000000000000455
93,268.1,770.7,3.086,125,0.6,0.10000000000002274,0.0400000000000091
94,271.4,770.7,3.103,128,0.6,0.0,0.0400000000000091
101,293.9,770.8,3.22,130,0.4,0.09999999999990905,0.05999999999999091
102,296.9,770.8,3.195,131,0.5,0.0,0.05999999999999091
108,315.6,770.9,3.104,130,0.6,0.10000000000002274,0.05999999999999091
114,335.8,771.0,3.241,129,0.4,0.10000000000002274,0.05999999999999091
117,345.7,771.1,3.338,130,0.1,0.10000000000002274,0.07999999999999545
124,368.9,771.1,3.303,132,0.0,0.0,0.06000000000001364
130,389.3,771.0,3.355,134,-0.9,-0.10000000000002274,0.0400000000000091
132,395.3,771.0,3.311,135,-1.2,0.0,0.02000000000000455
139,416.0,770.5,2.971,135,-1.3,-0.5,-0.1
143,426.8,770.4,2.86,135,-1.4,-0.10000000000002274,-0.1400000000000091
148,442.1,770.3,2.902,133,-0.5,-0.10000000000002274,-0.16000000000001363
154,461.4,770.1,3.142,132,-0.7,-0.1999999999999318,-0.17999999999999544
160,480.7,770.2,3.213,130,-0.7,0.10000000000002274,-0.1599999999999909
166,502.0,769.9,3.384,127,-0.8,-0.3000000000000682,-0.12000000000000455
170,515.9,769.8,3.518,124,-1.2,-0.10000000000002274,-0.12000000000000455
173,526.6,769.6,3.517,125,-1.2,-0.1999999999999318,-0.13999999999998636
179,547.5,769.4,3.509,126,-1.3,-0.20000000000004547,-0.1400000000000091
181,553.2,769.3,3.326,126,-1.2,-0.10000000000002274,-0.1800000000000182
189,576.0,769.0,2.857,126,-1.2,-0.2999999999999545,-0.17999999999999544
192,586.8,768.9,3.055,127,-1.2,-0.10000000000002274,-0.17999999999999544
197,603.8,768.7,3.47,130,-1.2,-0.1999999999999318,-0.17999999999999544
202,621.2,768.5,3.444,133,-1.3,-0.20000000000004547,-0.17999999999999544
209,644.7,768.2,3.409,134,-1.2,-0.2999999999999545,-0.21999999999998182
210,648.2,768.1,3.368,134,-1.2,-0.10000000000002274,-0.17999999999999544
216,669.2,767.9,3.504,136,-1.0,-0.20000000000004547,-0.2
217,672.1,767.9,3.423,138,-0.7,0.0,-0.16000000000001363
221,683.7,767.8,2.902,136,-0.7,-0.10000000000002274,-0.1400000000000091
224,693.4,767.8,3.043,139,-0.6,0.0,-0.0800000000000182
230,714.0,767.6,3.362,138,-0.3,-0.1999999999999318,-0.1
236,735.8,767.5,3.531,139,-0.4,-0.10000000000002274,-0.07999999999999545
239,746.4,767.6,3.598,136,-0.4,0.10000000000002274,-0.05999999999999091
240,749.8,767.6,3.583,139,-0.2,0.0,-0.03999999999998636
245,765.9,767.4,3.258,138,-0.7,-0.20000000000004547,-0.07999999999999545
250,776.0,767.4,2.62,137,-0.8,0.0,-0.0400000000000091
255,790.3,767.3,2.441,139,-0.6,-0.10000000000002274,-0.0400000000000091
262,813.5,767.1,3.121,138,-0.7,-0.1999999999999318,-0.1
267,830.3,767.0,3.334,137,-0.6,-0.10000000000002274,-0.12000000000000455
273,851.2,766.9,3.429,136,-0.6,-0.10000000000002274,-0.1
274,854.7,766.9,3.48,135,-0.7,0.0,-0.1
280,875.4,766.7,3.464,136,-0.7,-0.1999999999999318,-0.11999999999998182
283,886.6,766.6,3.544,136,-0.8,-0.10000000000002274,-0.1
289,907.0,766.5,3.512,136,-0.9,-0.10000000000002274,-0.1
291,915.0,766.4,3.55,135,-1.0,-0.10000000000002274,-0.1
295,928.3,766.2,3.533,135,-1.3,-0.1999999999999318,-0.13999999999998636
305,928.3,766.2,0.946,136,-1.1,0.0,-0.1
306,929.6,766.2,0.126,132,-0.8,0.0,-0.07999999999999545
310,942.5,766.1,2.84,133,-0.7,-0.10000000000002274,-0.07999999999999545
316,964.3,765.9,3.468,132,-0.8,-0.20000000000004547,-0.1
319,974.3,765.9,3.537,132,-0.8,0.0,-0.06000000000001364
325,995.8,765.7,3.493,132,-0.8,-0.1999999999999318,-0.1
328,1005.1,765.6,3.429,132,-0.9,-0.10000000000002274,-0.12000000000000455
334,1026.6,765.4,3.43,131,-0.7,-0.20000000000004547,-0.1400000000000091
338,1040.3,765.3,3.513,133,-0.6,-0.10000000000002274,-0.12000000000000455
343,1057.2,765.3,3.391,136,-0.5,0.0,-0.12000000000000455
347,1069.7,765.2,3.274,137,-0.4,-0.09999999999990905,-0.1
354,1093.2,765.1,3.276,137,-0.6,-0.10000000000002274,-0.1
355,1096.8,765.1,3.384,138,-0.7,0.0,-0.05999999999999091
362,1120.0,764.9,3.355,138,-0.7,-0.20000000000004547,-0.07999999999999545
368,1140.7,764.7,3.378,140,-0.8,-0.1999999999999318,-0.11999999999998182
374,1162.3,764.6,3.524,139,-0.7,-0.10000000000002274,-0.12000000000000455
380,1183.3,764.4,3.549,138,-0.6,-0.20000000000004547,-0.1400000000000091
382,1189.7,764.4,3.418,138,-0.5,0.0,-0.1400000000000091
388,1210.8,764.3,3.436,139,-0.4,-0.10000000000002274,-0.12000000000000455
390,1218.0,764.3,3.546,138,-0.3,0.0,-0.0800000000000182
396,1240.3,764.2,3.692,139,0.0,-0.09999999999990905,-0.07999999999999545
399,1250.8,764.2,3.647,140,0.0,0.0,-0.03999999999998636
405,1272.0,764.3,3.519,141,0.3,0.09999999999990905,-0.02000000000000455
407,1278.3,764.3,3.431,140,0.4,0.0,0.0
413,1300.4,764.4,3.545,141,0.4,0.10000000000002274,0.02000000000000455
415,1307.2,764.4,3.607,141,0.3,0.0,0.03999999999998636
421,1327.9,764.5,3.447,141,0.2,0.10000000000002274,0.05999999999999091
424,1338.2,764.5,3.452,143,0.3,0.0,0.0400000000000091
430,1358.6,764.5,3.4,144,0.3,0.0,0.0400000000000091
432,1366.5,764.6,3.53,144,0.4,0.10000000000002274,0.0400000000000091
438,1387.5,764.7,3.622,145,0.5,0.10000000000002274,0.06000000000001364
440,1394.4,764.7,3.489,149,0.4,0.0,0.0400000000000091
441,1397.7,764.7,3.472,146,0.3,0.0,0.0400000000000091
445,1411.1,764.8,3.334,149,0.6,0.09999999999990905,0.05999999999999091
449,1425.0,764.8,3.411,151,0.5,0.0,0.03999999999998636
455,1445.6,765.0,3.453,152,0.5,0.20000000000004547,0.05999999999999091
457,1452.7,765.0,3.462,151,0.6,0.0,0.05999999999999091
463,1473.1,765.1,3.44,152,0.4,0.10000000000002274,0.07999999999999545
467,1486.7,765.2,3.402,151,0.7,0.10000000000002274,0.0800000000000182
469,1493.8,765.2,3.448,146,0.6,0.0,0.0800000000000182
470,1497.3,765.3,3.451,149,0.5,0.09999999999990905,0.05999999999999091
477,1521.1,765.4,3.419,151,0.4,0.10000000000002274,0.07999999999999545
479,1528.2,765.4,3.432,148,0.2,0.0,0.05999999999999091
485,1548.8,765.4,3.455,149,0.2,0.0,0.03999999999998636
486,1553.1,765.4,3.557,151,0.3,0.0,0.03999999999998636
492,1574.2,765.5,3.631,150,0.7,0.10000000000002274,0.0400000000000091
496,1588.8,765.6,3.571,152,0.7,0.10000000000002274,0.0400000000000091
502,1609.6,765.8,3.536,152,0.7,0.1999999999999318,0.07999999999999545
503,1612.8,765.8,3.436,152,0.6,0.0,0.07999999999999545
509,1633.0,765.9,3.354,152,0.3,0.10000000000002274,0.1
510,1637.3,765.9,3.496,152,0.4,0.0,0.07999999999999545
513,1647.4,765.9,3.461,149,0.4,0.0,0.05999999999999091
517,1661.2,766.0,3.417,150,0.4,0.10000000000002274,0.0400000000000091
523,1682.6,766.1,3.519,152,0.3,0.10000000000002274,0.06000000000001364
526,1693.5,766.1,3.588,153,0.2,0.0,0.0400000000000091
532,1714.5,766.1,3.543,154,0.0,0.0,0.0400000000000091
535,1725.5,766.1,3.558,154,0.1,0.0,0.0400000000000091
541,1747.3,766.1,3.64,155,0.1,0.0,0.02000000000000455
545,1761.4,766.2,3.588,154,0.1,0.10000000000002274,0.02000000000000455
551,1782.8,766.2,3.556,152,0.3,0.0,0.02000000000000455
556,1800.6,766.2,3.565,152,0.2,0.0,0.02000000000000455
562,1821.3,766.3,3.497,151,0.3,0.09999999999990905,0.03999999999998636
564,1827.9,766.3,3.416,150,0.6,0.0,0.03999999999998636
570,1848.4,766.4,3.395,152,0.4,0.10000000000002274,0.03999999999998636
572,1854.1,766.5,3.274,152,0.6,0.10000000000002274,0.05999999999999091
578,1875.1,766.5,3.331,156,0.2,0.0,0.05999999999999091
580,1882.1,766.6,3.497,159,0.0,0.10000000000002274,0.06000000000001364
586,1902.5,766.5,3.426,161,0.3,-0.10000000000002274,0.0400000000000091
588,1908.9,766.5,3.355,160,0.0,0.0,0.02000000000000455
605,1910.0,766.6,0.394,154,0.9,0.10000000000002274,0.02000000000000455
606,1911.1,766.6,0.118,153,0.6,0.0,0.02000000000000455
607,1913.1,766.6,0.217,153,0.0,0.0,0.0
611,1925.5,766.6,2.878,152,0.0,0.0,0.02000000000000455
617,1948.1,766.6,3.505,152,0.0,0.0,0.02000000000000455
619,1955.4,766.6,3.744,152,0.0,0.0,0.0
625,1976.6,766.6,3.557,154,-0.4,0.0,0.0
626,1980.2,766.6,3.536,154,-0.7,0.0,0.0
632,2000.9,766.4,3.477,153,-1.2,-0.20000000000004547,-0.0400000000000091
635,2011.6,766.2,3.498,153,-1.2,-0.1999999999999318,-0.07999999999999545
641,2033.2,765.9,3.589,152,-1.5,-0.3000000000000682,-0.1400000000000091
642,2036.7,765.9,3.577,152,-1.6,0.0,-0.1400000000000091
647,2053.9,765.6,3.443,152,-1.4,-0.2999999999999545,-0.2
653,2075.2,765.2,3.505,151,-1.4,-0.39999999999997726,-0.23999999999998636
659,2096.1,765.0,3.521,154,-1.0,-0.20000000000004547,-0.2400000000000091
660,2099.7,765.0,3.501,153,-0.1,0.0,-0.17999999999999544
666,2121.3,764.9,3.594,152,0.3,-0.10000000000002274,-0.2
672,2143.0,765.1,3.608,151,0.4,0.20000000000004547,-0.1
676,2158.3,765.2,3.704,153,0.7,0.10000000000002274,0.0
682,2179.7,765.3,3.668,151,0.5,0.09999999999990905,0.05999999999999091
686,2194.9,765.4,3.651,148,0.5,0.10000000000002274,0.07999999999999545
687,2198.4,765.4,3.738,151,0.9,0.0,0.1
688,2202.0,765.4,3.708,153,1.3,0.0,0.05999999999999091
694,2223.9,765.7,3.641,153,1.1,0.3000000000000682,0.1
697,2234.1,765.9,3.571,153,0.9,0.1999999999999318,0.12000000000000455
703,2254.8,766.0,3.429,154,0.6,0.10000000000002274,0.12000000000000455
707,2269.1,766.0,3.5,157,0.2,0.0,0.12000000000000455
709,2276.3,766.0,3.588,158,0.0,0.0,0.12000000000000455
714,2293.9,766.0,3.543,159,0.0,0.0,0.05999999999999091
719,2309.8,766.0,3.346,159,-0.2,0.0,0.02000000000000455
720,2313.1,766.0,3.197,159,-0.5,0.0,0.0
724,2328.3,765.9,3.708,159,-0.5,-0.10000000000002274,-0.02000000000000455
730,2350.3,765.7,3.717,158,-0.7,-0.1999999999999318,-0.05999999999999091
734,2364.8,765.7,3.649,160,-0.7,0.0,-0.05999999999999091
740,2386.1,765.5,3.588,161,-0.5,-0.20000000000004547,-0.1
745,2403.1,765.4,3.479,162,-0.6,-0.10000000000002274,-0.12000000000000455
751,2424.7,765.3,3.508,160,-0.5,-0.10000000000002274,-0.12000000000000455
752,2428.2,765.3,3.593,160,-0.5,0.0,-0.0800000000000182
758,2449.6,765.2,3.551,160,-0.6,-0.09999999999990905,-0.1
763,2466.9,765.1,3.516,160,-0.6,-0.10000000000002274,-0.07999999999999545
769,2487.9,764.9,3.487,158,-0.6,-0.20000000000004547,-0.1
770,2491.5,764.9,3.516,157,-0.7,0.0,-0.07999999999999545
776,2512.3,764.8,3.483,159,-0.5,-0.10000000000002274,-0.1
779,2522.6,764.7,3.46,159,-0.5,-0.09999999999990905,-0.1
785,2544.0,764.6,3.523,159,-0.7,-0.10000000000002274,-0.1
786,2547.6,764.6,3.563,160,-0.5,0.0,-0.05999999999999091
792,2567.8,764.4,3.396,158,-0.7,-0.20000000000004547,-0.1
795,2578.1,764.4,3.388,158,-0.7,0.0,-0.07999999999999545
801,2598.1,764.2,3.369,158,-0.5,-0.1999999999999318,-0.1
803,2604.8,764.2,3.341,158,-0.7,0.0,-0.07999999999999545
809,2625.2,764.1,3.379,158,-0.6,-0.10000000000002274,-0.1
811,2631.6,764.0,3.349,158,-0.7,-0.10000000000002274,-0.07999999999999545
817,2652.2,763.9,3.376,158,-0.8,-0.10000000000002274,-0.1
