time,distance,altitude,velocity_smooth,heartrate,grade_smooth,alt_difference,rolling_ave_alt
1,0.0,731.3,0.0,78,0.0,-0.09999999999990905,-0.21999999999998182
28,19.2,731.2,0.503,77,-0.3,-0.09999999999990905,-0.21999999999998182
37,48.7,731.1,3.278,80,-0.8,-0.10000000000002274,-0.21999999999998182
42,66.3,730.8,3.524,85,-1.8,-0.3000000000000682,-0.21999999999998182
48,88.0,730.4,3.612,90,-1.7,-0.39999999999997726,-0.21999999999998182
52,102.6,730.2,3.633,98,-1.1,-0.1999999999999318,-0.21999999999998182
59,127.0,730.0,3.487,107,-0.2,-0.20000000000004547,-0.2400000000000091
66,153.0,730.0,3.72,114,-0.2,0.0,-0.22000000000000455
70,168.4,729.9,3.74,117,-0.4,-0.10000000000002274,-0.17999999999999544
77,194.1,729.8,3.673,123,-0.3,-0.10000000000002274,-0.12000000000000455
81,208.9,729.7,3.71,126,-0.3,-0.09999999999990905,-0.1
89,239.2,729.7,3.778,128,-0.2,0.0,-0.05999999999999091
92,250.3,729.7,3.72,131,-0.3,0.0,-0.05999999999999091
97,269.5,729.6,3.838,133,-0.2,-0.10000000000002274,-0.05999999999999091
105,299.2,729.6,3.713,137,0.2,0.0,-0.03999999999998636
111,323.1,729.7,3.856,136,0.3,0.10000000000002274,0.0
119,353.4,729.8,3.789,137,0.3,0.09999999999990905,0.01999999999998181
121,360.6,729.9,3.789,139,0.1,0.10000000000002274,0.03999999999998636
127,384.1,729.9,3.847,137,0.0,0.0,0.05999999999999091
135,414.6,729.8,3.806,140,-0.5,-0.10000000000002274,0.03999999999998636
139,429.4,729.7,3.784,140,-0.7,-0.09999999999990905,0.0
143,446.9,729.6,4.039,140,-1.1,-0.10000000000002274,-0.03999999999998636
149,470.7,729.2,3.967,142,-1.3,-0.39999999999997726,-0.13999999999998636
154,490.4,728.9,3.895,143,-1.1,-0.3000000000000682,-0.2
160,513.7,728.7,3.91,145,-0.6,-0.1999999999999318,-0.21999999999998182
168,543.0,728.8,3.655,147,0.2,0.09999999999990905,-0.1800000000000182
170,550.7,728.8,3.689,148,0.2,0.0,-0.16000000000001363
176,574.6,728.8,3.951,149,0.0,0.0,-0.0800000000000182
184,604.2,728.8,3.7,148,0.1,0.0,-0.02000000000000455
188,619.5,728.8,3.73,149,0.2,0.0,0.01999999999998181
194,641.9,728.9,3.77,148,0.2,0.10000000000002274,0.02000000000000455
200,664.0,728.9,3.688,145,-0.2,0.0,0.02000000000000455
208,695.0,728.8,3.881,146,-0.5,-0.10000000000002274,0.0
209,698.8,728.8,3.761,146,-0.5,0.0,0.0
218,733.8,728.6,3.887,148,-0.3,-0.1999999999999318,-0.03999999999998636
222,748.3,728.6,3.681,151,0.2,0.0,-0.05999999999999091
231,783.2,728.7,3.867,152,0.9,0.10000000000002274,-0.03999999999998636
233,790.9,728.7,3.911,151,1.1,0.0,-0.01999999999998181
239,814.0,729.2,3.851,152,1.4,0.5,0.0800000000000182
244,832.4,729.4,3.696,157,0.0,0.1999999999999318,0.1599999999999909
249,852.1,729.4,3.747,155,-0.3,0.0,0.1599999999999909
255,875.3,729.2,3.895,154,-0.7,-0.1999999999999318,0.1
261,899.0,729.4,3.945,154,5.9,0.1999999999999318,0.13999999999998636
270,927.9,731.5,3.216,150,4.8,2.1000000000000227,0.4599999999999909
275,948.3,731.9,3.489,149,1.3,0.39999999999997726,0.5
281,973.8,732.3,4.25,149,1.2,0.39999999999997726,0.5799999999999954
285,990.6,732.5,4.153,149,1.0,0.20000000000004547,0.6599999999999909
291,1014.2,732.7,4.04,150,0.7,0.20000000000004547,0.6600000000000137
295,1029.7,732.8,3.909,150,0.5,0.09999999999990905,0.2599999999999909
300,1049.3,732.8,3.92,147,0.2,0.0,0.17999999999999544
306,1072.7,732.9,3.913,145,-2.6,0.10000000000002274,0.12000000000000455
309,1084.0,732.9,3.859,145,-2.6,0.0,0.07999999999999545
315,1107.1,731.2,3.829,147,-3.8,-1.6999999999999318,-0.3
322,1133.0,730.6,3.693,148,-2.7,-0.6000000000000227,-0.43999999999998635
329,1159.9,729.8,3.846,150,-2.9,-0.8000000000000682,-0.6
334,1178.8,729.3,3.792,150,-2.6,-0.5,-0.7200000000000045
340,1202.6,728.6,3.877,152,-2.4,-0.6999999999999318,-0.8599999999999909
345,1221.8,728.3,3.848,154,-1.2,-0.3000000000000682,-0.5800000000000182
351,1245.6,728.0,3.929,156,-1.0,-0.2999999999999545,-0.5200000000000046
357,1269.3,727.8,3.956,156,-0.6,-0.20000000000004547,-0.4
359,1277.0,727.8,3.925,156,-0.3,0.0,-0.3
366,1304.3,727.8,3.906,155,-0.2,0.0,-0.16000000000001363
373,1331.0,727.7,3.804,155,-0.5,-0.09999999999990905,-0.11999999999998182
378,1351.5,727.6,4.125,156,-0.2,-0.10000000000002274,-0.07999999999999545
386,1383.1,727.6,3.96,156,-0.2,0.0,-0.03999999999998636
388,1390.8,727.7,3.912,157,-0.3,0.10000000000002274,-0.01999999999998181
393,1410.0,727.5,3.831,157,-0.7,-0.20000000000004547,-0.05999999999999091
399,1433.9,727.3,3.913,158,-1.3,-0.20000000000004547,-0.0800000000000182
407,1465.8,726.7,3.988,157,-1.8,-0.599999999999909,-0.17999999999999544
410,1478.0,726.5,4.018,158,-1.1,-0.20000000000004547,-0.22000000000000455
418,1509.9,726.2,3.99,158,-0.5,-0.2999999999999545,-0.3
420,1517.8,726.2,3.956,158,-0.3,0.0,-0.2599999999999909
427,1544.3,726.2,3.784,159,0.4,0.0,-0.21999999999998182
433,1567.2,726.3,3.809,160,0.4,0.09999999999990905,-0.0800000000000182
439,1590.7,726.4,3.913,154,-0.2,0.10000000000002274,-0.02000000000000455
444,1610.3,726.2,3.922,153,-0.6,-0.1999999999999318,0.0
450,1634.0,726.1,3.956,153,-0.7,-0.10000000000002274,-0.02000000000000455
452,1642.0,726.1,3.965,154,-0.5,0.0,-0.02000000000000455
460,1673.2,725.9,3.904,154,-0.7,-0.20000000000004547,-0.07999999999999545
465,1693.3,725.7,4.026,156,-0.6,-0.1999999999999318,-0.13999999999998636
469,1709.4,725.6,4.018,158,-0.6,-0.10000000000002274,-0.12000000000000455
476,1736.1,725.5,3.821,159,-0.4,-0.10000000000002274,-0.12000000000000455
481,1756.2,725.4,3.998,158,-0.3,-0.10000000000002274,-0.1400000000000091
487,1779.9,725.3,3.977,156,-0.3,-0.10000000000002274,-0.12000000000000455
495,1811.1,725.3,3.895,153,-0.2,0.0,-0.0800000000000182
499,1826.0,725.2,3.836,157,-0.2,-0.09999999999990905,-0.07999999999999545
505,1849.2,725.2,3.819,158,0.0,0.0,-0.05999999999999091
508,1860.4,725.2,3.816,158,-0.1,0.0,-0.03999999999998636
514,1883.2,725.2,3.774,161,-0.1,0.0,-0.01999999999998181
520,1906.4,725.1,3.832,159,-0.2,-0.10000000000002274,-0.03999999999998636
529,1941.1,725.0,3.861,159,-0.2,-0.10000000000002274,-0.0400000000000091
531,1949.0,725.0,3.879,159,-0.1,0.0,-0.0400000000000091
537,1972.5,725.0,3.923,159,-0.1,0.0,-0.0400000000000091
541,1988.3,725.0,3.933,159,-0.1,0.0,-0.0400000000000091
549,2019.3,724.9,3.878,159,-0.3,-0.10000000000002274,-0.0400000000000091
555,2043.1,724.8,3.999,160,-0.3,-0.10000000000002274,-0.0400000000000091
557,2050.5,724.8,3.899,162,-0.3,0.0,-0.0400000000000091
566,2085.9,724.7,3.934,161,-0.3,-0.09999999999990905,-0.05999999999999091
572,2109.7,724.7,3.953,160,-0.2,0.0,-0.05999999999999091
574,2117.4,724.6,3.928,161,-0.3,-0.10000000000002274,-0.05999999999999091
580,2140.4,724.6,3.838,159,-0.3,0.0,-0.03999999999998636
589,2175.9,724.5,3.953,163,-0.3,-0.10000000000002274,-0.05999999999999091
590,2179.7,724.5,3.906,161,-0.1,0.0,-0.0400000000000091
596,2203.2,724.4,3.899,160,-0.3,-0.10000000000002274,-0.06000000000001364
606,2243.1,724.3,3.987,157,-0.3,-0.10000000000002274,-0.06000000000001364
610,2259.3,724.2,4.017,157,-0.3,-0.09999999999990905,-0.07999999999999545
616,2283.1,724.2,3.997,156,-0.3,0.0,-0.05999999999999091
618,2290.6,724.2,3.915,156,-0.3,0.0,-0.05999999999999091
626,2322.2,724.0,3.945,158,-0.4,-0.20000000000004547,-0.07999999999999545
631,2342.4,723.9,3.932,160,-0.5,-0.10000000000002274,-0.07999999999999545
636,2361.9,723.9,3.972,161,-0.4,0.0,-0.06000000000001364
642,2385.6,723.7,3.925,161,-0.4,-0.1999999999999318,-0.1
648,2409.5,723.6,3.997,160,-0.3,-0.10000000000002274,-0.12000000000000455
652,2425.6,723.6,4.023,160,-0.3,0.0,-0.07999999999999545
658,2449.1,723.5,3.951,160,-0.3,-0.10000000000002274,-0.07999999999999545
660,2457.2,723.5,3.939,161,-0.5,0.0,-0.07999999999999545
668,2489.7,723.3,4.069,160,-0.4,-0.20000000000004547,-0.0800000000000182
673,2510.4,723.2,4.116,162,-0.4,-0.09999999999990905,-0.07999999999999545
677,2526.0,723.2,4.031,163,-0.3,0.0,-0.07999999999999545
685,2558.1,723.1,4.009,162,-0.4,-0.10000000000002274,-0.07999999999999545
691,2581.5,723.0,3.887,161,-0.3,-0.10000000000002274,-0.1
695,2597.1,722.9,3.908,161,-0.3,-0.10000000000002274,-0.07999999999999545
700,2617.4,722.9,3.993,161,-0.3,0.0,-0.06000000000001364
707,2645.1,722.8,3.95,161,-0.3,-0.10000000000002274,-0.0800000000000182
710,2656.6,722.8,3.92,161,-0.5,0.0,-0.06000000000001364
716,2679.3,722.7,3.806,162,-0.5,-0.09999999999990905,-0.05999999999999091
724,2709.3,722.5,3.745,161,-0.5,-0.20000000000004547,-0.07999999999999545
731,2734.9,722.4,3.663,160,-0.2,-0.10000000000002274,-0.1
734,2746.9,722.4,3.774,160,-0.1,0.0,-0.07999999999999545
740,2769.6,722.4,3.851,160,0.0,0.0,-0.07999999999999545
746,2793.4,722.4,3.874,159,-0.1,0.0,-0.06000000000001364
748,2801.6,722.4,4.001,159,-0.3,0.0,-0.02000000000000455
757,2837.1,722.2,3.942,161,-0.4,-0.1999999999999318,-0.03999999999998636
763,2859.9,722.1,3.822,161,-0.3,-0.10000000000002274,-0.05999999999999091
765,2868.5,722.1,3.926,162,-0.3,0.0,-0.05999999999999091
771,2891.7,722.1,3.97,162,-0.2,0.0,-0.05999999999999091
778,2917.6,722.0,3.707,164,-0.7,-0.10000000000002274,-0.07999999999999545
784,2940.8,721.8,3.849,167,-0.8,-0.20000000000004547,-0.0800000000000182
787,2952.4,721.7,3.861,168,-0.9,-0.09999999999990905,-0.07999999999999545
795,2982.6,721.4,3.781,169,-0.8,-0.3000000000000682,-0.1400000000000091
801,3005.9,721.2,3.858,170,-0.6,-0.1999999999999318,-0.17999999999999544
804,3017.6,721.2,3.89,171,-0.6,0.0,-0.1599999999999909
812,3047.5,721.0,3.735,170,-0.2,-0.20000000000004547,-0.1599999999999909
818,3070.5,721.0,3.783,168,0.0,0.0,-0.1400000000000091
826,3100.8,721.1,3.783,167,0.5,0.10000000000002274,-0.05999999999999091
829,3112.5,721.2,3.834,166,0.1,0.10000000000002274,0.0
835,3135.3,721.3,3.836,165,0.0,0.09999999999990905,0.01999999999998181
839,3150.8,721.2,3.835,165,-0.1,-0.09999999999990905,0.0400000000000091
845,3174.0,721.1,3.877,164,-0.3,-0.10000000000002274,0.02000000000000455
853,3205.2,721.1,3.896,163,0.0,0.0,0.0
856,3216.8,721.1,3.844,165,0.0,0.0,-0.02000000000000455
861,3235.5,721.1,3.74,169,-0.2,0.0,-0.03999999999998636
865,3250.8,721.1,3.796,168,-0.3,0.0,-0.02000000000000455
876,3291.7,720.9,3.716,169,-0.7,-0.20000000000004547,-0.0400000000000091
882,3315.0,720.7,3.807,169,-0.8,-0.1999999999999318,-0.07999999999999545
883,3319.0,720.6,3.9,169,-0.8,-0.10000000000002274,-0.1
889,3342.7,720.5,3.942,169,-0.7,-0.10000000000002274,-0.12000000000000455
898,3377.8,720.2,3.907,168,-0.7,-0.2999999999999545,-0.17999999999999544
901,3389.4,720.2,3.868,168,-0.6,0.0,-0.13999999999998636
907,3412.1,720.0,3.812,169,-0.3,-0.20000000000004547,-0.1400000000000091
910,3423.5,720.0,3.782,171,-0.1,0.0,-0.12000000000000455
919,3458.2,720.1,3.858,171,1.4,0.10000000000002274,-0.07999999999999545
924,3478.0,720.8,3.915,168,1.6,0.6999999999999318,0.11999999999998182
927,3489.1,720.9,3.856,168,1.5,0.10000000000002274,0.13999999999998636
936,3523.4,721.1,3.816,168,0.3,0.20000000000004547,0.22000000000000455
942,3547.2,721.1,4.021,168,0.3,0.0,0.22000000000000455
943,3551.2,721.1,3.976,169,0.2,0.0,0.2
949,3575.5,721.2,4.045,167,-0.3,0.10000000000002274,0.0800000000000182
954,3594.6,721.1,3.832,166,-0.7,-0.10000000000002274,0.0400000000000091
963,3629.2,720.8,3.842,168,-1.0,-0.3000000000000682,-0.06000000000001364
969,3652.4,720.5,3.868,167,-1.3,-0.2999999999999545,-0.12000000000000455
974,3672.1,720.2,3.946,170,-2.0,-0.2999999999999545,-0.17999999999999544
980,3695.8,719.7,3.95,168,-2.1,-0.5,-0.3
982,3703.4,719.5,3.91,169,-1.7,-0.20000000000004547,-0.32000000000000456
988,3727.3,719.1,3.944,170,-1.1,-0.39999999999997726,-0.33999999999998637
992,3743.0,719.0,3.964,169,-0.9,-0.10000000000002274,-0.3
1001,3777.6,718.8,3.839,167,-0.6,-0.20000000000004547,-0.2800000000000182
1007,3800.5,718.7,3.822,169,-0.5,-0.09999999999990905,-0.2
1009,3808.4,718.6,3.849,168,-0.3,-0.10000000000002274,-0.17999999999999544
1017,3839.9,718.6,3.945,169,0.0,0.0,-0.1
1023,3863.6,718.6,3.951,168,0.2,0.0,-0.07999999999999545
1030,3890.1,718.7,3.787,166,0.0,0.10000000000002274,-0.01999999999998181
1036,3913.8,718.6,3.876,169,-0.1,-0.10000000000002274,-0.02000000000000455
1037,3917.7,718.6,3.943,169,-0.5,0.0,0.0
1046,3953.3,718.4,3.953,169,-0.3,-0.20000000000004547,-0.0400000000000091
1051,3973.4,718.4,4.061,169,-0.3,0.0,-0.0400000000000091
1054,3985.5,718.4,4.029,168,-0.2,0.0,-0.06000000000001364
1060,4009.6,718.3,4.014,166,-0.4,-0.10000000000002274,-0.06000000000001364
1068,4040.6,718.1,3.883,165,-0.4,-0.1999999999999318,-0.1
1069,4044.8,718.1,4.034,165,-0.5,0.0,-0.05999999999999091
1078,4081.7,718.0,4.091,166,-0.4,-0.10000000000002274,-0.07999999999999545
1084,4105.4,717.9,4.037,166,-0.4,-0.10000000000002274,-0.1
1087,4117.2,717.8,3.949,165,-0.3,-0.10000000000002274,-0.1
1092,4137.5,717.8,4.018,164,-0.3,0.0,-0.06000000000001364
1101,4172.2,717.7,3.853,163,-0.3,-0.09999999999990905,-0.07999999999999545
1102,4175.8,717.7,3.823,164,-0.3,0.0,-0.05999999999999091
1110,4206.5,717.6,3.839,165,-0.5,-0.10000000000002274,-0.05999999999999091
1116,4230.2,717.4,3.961,167,-0.5,-0.20000000000004547,-0.07999999999999545
1123,4257.6,717.3,3.914,168,-0.8,-0.10000000000002274,-0.1
1126,4269.3,717.2,3.917,168,-0.8,-0.09999999999990905,-0.1
1132,4292.3,716.9,3.857,170,-1.1,-0.3000000000000682,-0.16000000000001363
1139,4320.6,716.6,4.049,169,-0.9,-0.2999999999999545,-0.2
1143,4336.0,716.5,3.975,167,-0.9,-0.10000000000002274,-0.17999999999999544
1149,4359.7,716.3,3.905,164,-0.6,-0.20000000000004547,-0.2
1155,4384.1,716.2,4.068,162,-0.6,-0.09999999999990905,-0.2
1157,4391.2,716.1,3.929,162,-0.5,-0.10000000000002274,-0.1599999999999909
1163,4413.8,716.0,3.709,164,-0.5,-0.10000000000002274,-0.12000000000000455
1169,4436.9,715.9,3.807,163,-0.4,-0.10000000000002274,-0.12000000000000455
1177,4467.2,715.8,3.798,166,-0.3,-0.10000000000002274,-0.1
1182,4486.5,715.8,3.752,167,-0.3,0.0,-0.0800000000000182
