time,distance,altitude,velocity_smooth,heartrate,grade_smooth,alt_difference,rolling_ave_alt
0,2.6,773.6,0.0,116,-0.3,-0.10000000000002274,-0.1
6,22.6,773.5,3.332,119,-0.6,-0.10000000000002274,-0.1
9,33.1,773.5,3.388,122,-0.6,0.0,-0.1
15,53.0,773.3,3.371,126,-0.8,-0.20000000000004547,-0.1
20,69.1,773.2,3.267,126,-1.1,-0.09999999999990905,-0.1
22,75.6,773.1,3.229,129,-1.2,-0.10000000000002274,-0.1
28,95.2,772.8,3.264,131,-1.6,-0.3000000000000682,-0.1400000000000091
35,117.7,772.5,3.244,134,-2.5,-0.2999999999999545,-0.2
38,127.1,772.3,3.188,133,-2.3,-0.20000000000004547,-0.2
43,142.8,771.4,3.126,135,-2.3,-0.8999999999999773,-0.36000000000001364
49,161.3,771.3,3.108,136,-2.2,-0.10000000000002274,-0.36000000000001364
55,181.6,771.0,3.235,137,-1.0,-0.2999999999999545,-0.3599999999999909
59,195.0,770.8,3.374,140,-1.3,-0.20000000000004547,-0.3400000000000091
61,201.4,770.8,3.313,141,-1.1,0.0,-0.3
68,224.3,770.5,3.256,143,-1.0,-0.2999999999999545,-0.17999999999999544
69,227.6,770.5,3.264,143,-1.0,0.0,-0.1599999999999909
74,244.6,770.3,3.378,146,-0.8,-0.20000000000004547,-0.1400000000000091
76,250.5,770.3,3.274,145,-0.8,0.0,-0.1
83,273.0,770.1,3.154,146,-0.7,-0.1999999999999318,-0.13999999999998636
84,276.3,770.1,3.229,146,-0.6,0.0,-0.07999999999999545
91,299.5,769.9,3.32,146,-0.6,-0.20000000000004547,-0.12000000000000455
95,312.7,769.9,3.306,143,-0.6,0.0,-0.07999999999999545
99,325.8,769.8,3.285,140,-0.4,-0.10000000000002274,-0.1
106,348.3,769.7,3.238,141,-0.4,-0.09999999999990905,-0.07999999999999545
113,371.1,769.6,3.239,141,-0.3,-0.10000000000002274,-0.1
120,394.0,769.6,3.266,142,-0.3,0.0,-0.05999999999999091
121,397.1,769.6,3.252,143,-0.2,0.0,-0.05999999999999091
127,415.9,769.5,3.126,140,-0.5,-0.10000000000002274,-0.05999999999999091
128,419.1,769.5,3.133,141,-0.5,0.0,-0.0400000000000091
133,434.7,769.4,3.137,145,-0.2,-0.10000000000002274,-0.0400000000000091
135,441.1,769.4,3.149,145,-0.2,0.0,-0.0400000000000091
142,463.0,769.4,3.146,144,0.4,0.0,-0.0400000000000091
144,469.3,769.4,3.128,145,0.4,0.0,-0.02000000000000455
151,491.6,769.6,3.176,143,0.7,0.20000000000004547,0.02000000000000455
152,495.0,769.6,3.219,143,0.8,0.0,0.0400000000000091
159,517.4,769.8,3.217,144,0.7,0.1999999999999318,0.07999999999999545
166,540.3,770.0,3.231,143,0.8,0.20000000000004547,0.12000000000000455
168,545.9,770.0,3.174,143,0.9,0.0,0.12000000000000455
173,561.6,770.1,3.049,143,0.8,0.10000000000002274,0.1
180,584.3,770.4,3.197,145,0.9,0.2999999999999545,0.1599999999999909
182,590.1,770.4,3.17,145,1.0,0.0,0.12000000000000455
188,609.8,770.6,3.194,146,0.6,0.20000000000004547,0.12000000000000455
189,612.8,770.6,3.247,143,0.0,0.0,0.12000000000000455
190,615.8,770.6,3.21,146,-0.8,0.0,0.1
196,634.9,770.4,3.149,146,-1.0,-0.20000000000004547,0.0
