time,distance,altitude,velocity_smooth,heartrate,grade_smooth,alt_difference,rolling_ave_alt
0,1.2,227.9,0.0,76,0.0,0.0,0.0
8,19.8,227.9,2.325,83,0.0,0.0,0.0
10,26.0,227.9,2.482,89,0.0,0.0,0.0
11,29.2,227.9,2.546,89,0.0,0.0,0.0
16,46.0,227.9,3.328,92,0.0,0.0,0.0
23,69.2,227.9,3.337,97,0.0,0.0,0.0
25,76.3,227.9,3.374,100,0.0,0.0,0.0
28,87.0,227.9,3.556,104,0.0,0.0,0.0
29,90.5,227.9,3.537,101,0.0,0.0,0.0
30,93.9,227.9,3.506,106,0.0,0.0,0.0
32,100.4,227.9,3.444,109,0.0,0.0,0.0
37,116.0,227.9,3.164,112,0.0,0.0,0.0
41,129.4,227.9,3.216,115,0.0,0.0,0.0
51,151.0,227.9,2.499,117,0.0,0.0,0.0
57,172.5,227.9,2.693,118,0.0,0.0,0.0
59,178.4,227.9,3.424,115,0.0,0.0,0.0
60,181.3,227.9,3.37,118,0.0,0.0,0.0
67,203.1,227.9,3.093,120,0.0,0.0,0.0
74,224.1,227.9,3.059,117,0.0,0.0,0.0
75,227.3,227.9,3.02,121,0.0,0.0,0.0
82,250.3,227.9,3.27,122,0.0,0.0,0.0
89,271.0,227.9,3.121,122,0.0,0.0,0.0
98,289.1,227.9,2.422,125,0.0,0.0,0.0
100,295.2,227.9,2.205,125,0.0,0.0,0.0
101,295.2,227.9,2.021,126,0.0,0.0,0.0
103,300.0,227.9,2.178,126,0.6,0.0,0.0
105,306.2,227.9,2.202,127,0.6,0.0,0.0
113,328.1,228.1,2.818,129,0.4,0.19999999999998863,0.039999999999997725
114,330.9,228.1,2.741,129,0.4,0.0,0.039999999999997725
122,351.1,228.1,2.557,127,0.0,0.0,0.039999999999997725
123,353.9,228.1,2.553,129,0.0,0.0,0.039999999999997725
131,376.3,228.1,2.792,129,-0.2,0.0,0.039999999999997725
132,379.1,228.1,2.797,130,-0.2,0.0,0.0
139,399.7,228.0,2.925,131,-0.2,-0.09999999999999432,-0.019999999999998862
141,405.4,228.0,2.928,132,-0.4,0.0,-0.019999999999998862
147,422.7,228.0,2.876,129,-0.2,0.0,-0.019999999999998862
