time,distance,altitude,velocity_smooth,heartrate,grade_smooth,alt_difference,rolling_ave_alt
0,1.4,1320.3,0.0,57,-6.1,-0.599999999999909,-0.7
5,12.3,1319.7,2.172,58,-5.5,-0.599999999999909,-0.7
10,24.7,1319.0,2.504,62,-5.6,-0.7000000000000455,-0.7
13,33.1,1318.5,2.604,65,-6.2,-0.5,-0.7
18,52.7,1317.3,3.914,76,-5.6,-1.2000000000000455,-0.7
22,62.7,1316.8,2.8,84,-5.6,-0.5,-0.7
27,75.9,1316.0,2.642,93,-5.3,-0.7999999999999545,-0.7400000000000091
31,89.4,1315.3,3.184,99,-0.7,-0.7000000000000455,-0.7400000000000091
35,102.7,1315.8,3.23,101,5.1,0.5,-0.5400000000000091
38,112.9,1316.5,3.378,109,6.6,0.7000000000000455,-0.1599999999999909
43,128.6,1317.5,3.128,113,8.0,1.0,0.1400000000000091
48,143.4,1318.7,2.976,116,8.3,1.2000000000000455,0.5400000000000091
52,154.3,1319.8,2.857,119,8.3,1.099999999999909,0.9
59,174.4,1321.4,2.813,121,8.0,1.6000000000001364,1.1200000000000272
66,196.0,1322.9,3.091,125,5.6,1.5,1.2800000000000182
68,202.3,1323.3,3.144,125,4.6,0.3999999999998636,1.1599999999999908
74,222.9,1324.1,3.359,126,1.4,0.7999999999999545,1.0799999999999728
77,232.7,1324.2,3.376,127,0.4,0.10000000000013642,0.8800000000000182
83,252.9,1323.7,3.338,125,-2.5,-0.5,0.4599999999999909
84,256.1,1323.5,3.346,125,-3.4,-0.20000000000004547,0.11999999999998182
91,278.9,1322.7,3.253,125,-3.0,-0.7999999999999545,-0.11999999999998182
93,286.2,1322.4,3.341,127,-2.0,-0.2999999999999545,-0.3399999999999636
99,306.1,1322.1,3.394,131,-0.4,-0.3000000000001819,-0.4200000000000273
104,322.3,1322.2,3.276,130,0.0,0.10000000000013642,-0.3
111,346.0,1322.4,3.324,130,0.6,0.20000000000004547,-0.21999999999998182
112,349.7,1322.4,3.429,129,0.0,0.0,-0.05999999999999091
116,363.0,1322.2,3.416,128,-2.7,-0.20000000000004547,-0.0400000000000091
119,372.7,1322.0,3.287,127,-3.5,-0.20000000000004547,-0.01999999999998181
125,395.0,1321.2,3.547,128,-3.2,-0.7999999999999545,-0.2
128,405.1,1320.8,3.598,128,-3.2,-0.40000000000009095,-0.32000000000002726
135,428.8,1320.1,3.384,129,-3.2,-0.7000000000000455,-0.4600000000000364
138,437.6,1319.9,3.258,132,-3.2,-0.1999999999998181,-0.4599999999999909
141,447.6,1319.5,3.13,129,-0.5,-0.40000000000009095,-0.5
145,461.3,1319.0,3.374,131,0.0,-0.5,-0.4400000000000091
152,483.7,1319.8,3.285,133,2.2,0.7999999999999545,-0.2
153,487.5,1319.9,3.281,133,4.0,0.10000000000013642,-0.03999999999996362
160,510.5,1320.9,3.355,132,4.0,1.0,0.2
161,514.1,1321.1,3.319,132,4.2,0.1999999999998181,0.3199999999999818
166,531.0,1321.7,3.413,135,4.5,0.6000000000001364,0.5400000000000091
168,537.7,1322.0,3.374,135,4.3,0.2999999999999545,0.4400000000000091
175,559.7,1323.1,3.186,136,6.0,1.099999999999909,0.6399999999999636
176,562.7,1323.2,3.128,137,7.0,0.10000000000013642,0.4599999999999909
183,583.9,1324.9,3.03,137,7.6,1.7000000000000455,0.7600000000000364
190,603.8,1326.6,2.934,139,7.1,1.699999999999818,0.9799999999999727
197,624.0,1328.0,2.859,139,4.9,1.400000000000091,1.2
202,639.3,1328.6,2.957,139,1.6,0.599999999999909,1.1
208,657.4,1328.5,3.036,140,-0.3,-0.09999999999990905,1.059999999999991
214,678.6,1327.8,3.275,140,-1.7,-0.7000000000000455,0.5799999999999728
