time,latlng,distance,altitude,velocity_smooth,heartrate,grade_smooth
0,"[32.292326, -110.96047]",0.0,708.8,0.0,80,-1.2
1,"[32.292326, -110.96047]",0.0,708.8,0.0,81,-1.2
4,"[32.292252, -110.960481]",8.2,708.7,2.055,81,-1.0
9,"[32.292038, -110.96049]",32.0,708.4,4.005,85,-0.8
11,"[32.29196, -110.960498]",40.7,708.4,4.641,88,-0.8
14,"[32.291849, -110.960504]",53.0,708.4,4.182,92,-0.3
16,"[32.291773, -110.960507]",61.4,708.3,4.134,96,-0.2
18,"[32.291698, -110.960509]",69.7,708.3,4.146,98,-0.5
21,"[32.291589, -110.960519]",81.9,708.3,4.1,102,-0.3
23,"[32.291514, -110.960522]",90.1,708.2,4.078,106,-0.6
24,"[32.291478, -110.960524]",94.2,708.2,4.078,110,-0.7
26,"[32.291405, -110.960531]",102.3,708.1,4.088,114,-0.5
28,"[32.291335, -110.960538]",110.1,708.1,4.002,116,-0.2
33,"[32.291149, -110.960558]",130.8,708.0,4.063,118,0.2
37,"[32.290994, -110.960579]",148.1,708.1,4.223,121,0.3
40,"[32.290881, -110.960601]",160.8,708.2,4.29,124,0.8
44,"[32.290741, -110.960634]",176.6,708.3,4.067,127,0.7
49,"[32.290565, -110.960683]",196.7,708.5,3.989,129,0.8
54,"[32.290397, -110.960736]",215.9,708.6,3.932,132,0.8
59,"[32.290217, -110.960779]",236.3,708.8,3.961,136,1.0
60,"[32.290182, -110.960784]",240.2,708.8,4.047,134,0.9
65,"[32.29003, -110.960708]",259.3,709.1,3.827,135,0.5
66,"[32.290018, -110.960672]",262.9,709.0,3.783,139,0.4
69,"[32.29, -110.960549]",274.6,709.0,3.827,138,-0.2
74,"[32.289976, -110.960339]",294.7,709.0,3.969,138,0.0
79,"[32.289949, -110.960135]",314.1,709.0,3.948,137,0.1
84,"[32.289912, -110.959932]",333.7,709.0,3.901,140,0.3
88,"[32.289888, -110.959771]",349.0,709.1,3.879,141,0.3
93,"[32.289861, -110.959555]",369.6,709.2,3.997,140,0.4
97,"[32.28984, -110.959383]",386.0,709.2,4.101,143,0.3
98,"[32.289835, -110.959342]",389.9,709.2,4.056,144,0.2
104,"[32.289796, -110.959096]",413.4,709.3,3.924,146,0.4
106,"[32.289784, -110.959015]",421.1,709.3,3.904,148,0.3
111,"[32.289749, -110.958807]",441.2,709.4,3.967,149,0.2
114,"[32.289731, -110.958687]",452.6,709.4,3.93,149,0.3
119,"[32.289703, -110.958477]",472.6,709.4,3.932,150,0.3
123,"[32.289677, -110.958315]",488.2,709.5,3.956,150,0.3
129,"[32.289646, -110.958064]",512.1,709.6,3.947,150,0.4
132,"[32.289625, -110.957942]",523.8,709.6,3.953,150,0.3
137,"[32.289598, -110.957734]",543.6,709.7,3.94,153,0.3
141,"[32.289568, -110.957563]",560.1,709.7,4.039,153,0.3
147,"[32.289531, -110.957314]",583.8,709.8,4.019,153,0.3
148,"[32.289527, -110.957276]",587.4,709.8,3.901,153,0.3
154,"[32.289493, -110.957026]",611.3,709.9,3.929,154,0.3
157,"[32.289479, -110.956904]",622.9,709.9,3.942,155,0.0
163,"[32.289384, -110.956693]",646.2,710.0,3.87,157,-0.7
167,"[32.289238, -110.956687]",662.5,709.8,3.963,158,-0.9
172,"[32.289044, -110.956698]",684.0,709.4,4.207,158,-1.4
175,"[32.288925, -110.956703]",697.3,709.2,4.34,158,-1.3
180,"[32.288741, -110.956712]",717.7,709.0,4.207,159,-0.1
184,"[32.288599, -110.956698]",733.5,708.9,4.026,159,0.9
189,"[32.288414, -110.956711]",754.0,709.3,4.041,159,1.6
192,"[32.288319, -110.956694]",764.9,709.8,3.927,158,2.1
193,"[32.288295, -110.956668]",768.5,709.8,3.893,159,1.4
195,"[32.288268, -110.956589]",776.5,709.8,3.75,161,0.4
200,"[32.288215, -110.956381]",797.0,709.9,4.07,159,0.4
204,"[32.288176, -110.956214]",813.3,710.0,4.089,156,0.5
205,"[32.288166, -110.95617]",817.6,710.0,4.124,155,0.3
210,"[32.288125, -110.955959]",838.0,710.1,4.115,155,0.2
214,"[32.288093, -110.955788]",854.5,710.1,4.09,154,0.3
219,"[32.288049, -110.95558]",874.7,710.1,4.068,154,0.3
221,"[32.288035, -110.955496]",882.7,710.2,4.037,154,0.3
226,"[32.288008, -110.955285]",902.8,710.3,4.027,155,0.6
230,"[32.287992, -110.955116]",918.9,710.3,4.022,155,0.5
235,"[32.287973, -110.954903]",939.1,710.5,4.03,154,0.4
237,"[32.287971, -110.954817]",947.2,710.5,4.044,156,0.7
243,"[32.287959, -110.954563]",971.1,710.6,4.003,157,0.5
245,"[32.287955, -110.954475]",979.4,710.7,4.023,157,0.6
250,"[32.287945, -110.954263]",999.4,710.8,4.04,158,0.7
253,"[32.287936, -110.954141]",1011.0,710.9,3.949,155,0.5
254,"[32.287936, -110.954098]",1015.0,710.9,3.954,156,0.5
260,"[32.28794, -110.953847]",1038.7,711.0,3.956,157,0.4
265,"[32.287941, -110.953627]",1059.4,711.1,4.034,159,0.5
271,"[32.287983, -110.953382]",1083.0,711.2,4.032,157,0.5
273,"[32.288017, -110.95331]",1090.8,711.3,3.93,157,0.5
274,"[32.288036, -110.953275]",1094.7,711.3,3.927,160,0.6
279,"[32.288138, -110.953098]",1114.9,711.4,4.015,159,0.7
283,"[32.288197, -110.952944]",1130.7,711.5,4.004,161,0.7
288,"[32.288207, -110.952736]",1150.8,711.7,3.984,159,0.7
289,"[32.288195, -110.952695]",1154.8,711.7,4.018,161,0.7
294,"[32.288084, -110.952525]",1175.1,711.8,4.063,161,0.5
298,"[32.287982, -110.952406]",1191.1,711.9,4.022,158,0.6
302,"[32.287916, -110.952256]",1207.2,712.0,4.007,156,0.7
306,"[32.287916, -110.952082]",1223.6,712.1,4.072,159,0.8
309,"[32.287922, -110.95195]",1236.1,712.2,4.123,158,0.8
314,"[32.287963, -110.951743]",1256.1,712.4,4.056,157,0.4
317,"[32.28799, -110.951621]",1267.9,712.5,3.987,159,0.3
323,"[32.288026, -110.951368]",1292.1,712.4,4.006,161,0.0
325,"[32.28803, -110.951281]",1300.3,712.4,4.05,162,-0.3
330,"[32.288021, -110.951067]",1320.6,712.4,4.069,164,-0.3
332,"[32.288008, -110.950978]",1329.1,712.3,4.104,165,-0.3
337,"[32.287969, -110.95076]",1350.2,712.2,4.221,166,-0.5
339,"[32.287944, -110.950679]",1358.3,712.2,4.173,166,-0.3
344,"[32.287887, -110.950466]",1379.3,712.1,4.159,166,-0.2
347,"[32.287878, -110.950338]",1391.3,712.1,4.13,165,-0.2
353,"[32.287877, -110.950087]",1415.0,712.1,3.973,164,0.2
355,"[32.287872, -110.950001]",1423.1,712.1,3.97,164,0.2
360,"[32.287851, -110.949781]",1443.9,712.2,4.127,164,0.3
362,"[32.287836, -110.949695]",1452.3,712.2,4.169,164,0.3
367,"[32.287796, -110.949478]",1473.2,712.3,4.183,164,0.3
369,"[32.287775, -110.949395]",1481.3,712.3,4.149,164,0.4
375,"[32.287716, -110.949158]",1504.6,712.4,3.924,162,0.5
376,"[32.287704, -110.949117]",1508.6,712.4,3.903,163,0.5
382,"[32.287651, -110.948872]",1532.5,712.6,3.981,166,0.6
383,"[32.287642, -110.94883]",1536.5,712.6,3.984,168,0.5
388,"[32.287598, -110.948624]",1556.6,712.7,4.027,170,0.4
390,"[32.287575, -110.948543]",1564.7,712.7,4.02,170,0.5
395,"[32.287497, -110.948339]",1585.7,712.8,4.156,171,0.4
398,"[32.287441, -110.948219]",1598.7,712.9,4.249,171,0.5
401,"[32.287388, -110.948102]",1611.1,712.9,4.228,172,0.5
404,"[32.287336, -110.947993]",1622.9,713.0,4.045,173,0.5
409,"[32.287244, -110.947806]",1643.2,713.1,4.02,172,0.7
413,"[32.287164, -110.947661]",1659.5,713.2,4.068,171,0.6
418,"[32.28708, -110.947454]",1681.2,713.4,4.212,171,0.8
419,"[32.287065, -110.947416]",1685.1,713.4,4.267,171,0.7
425,"[32.286981, -110.947185]",1708.8,713.6,3.956,170,0.3
427,"[32.286933, -110.947121]",1716.9,713.6,3.976,170,0.3
433,"[32.286781, -110.946954]",1740.0,713.6,3.89,167,-0.4
434,"[32.28675, -110.946924]",1744.4,713.6,3.92,167,-0.4
439,"[32.28662, -110.946761]",1765.5,713.4,4.252,167,-0.5
441,"[32.286571, -110.946691]",1774.0,713.4,4.234,167,-0.4
447,"[32.286445, -110.946486]",1797.9,713.3,4.049,168,0.0
452,"[32.286339, -110.946312]",1818.0,713.3,4.001,167,0.1
458,"[32.286226, -110.946103]",1841.3,713.4,3.954,167,0.4
461,"[32.28617, -110.945995]",1853.3,713.5,3.916,167,0.6
467,"[32.286078, -110.945777]",1876.3,713.6,3.88,166,0.6
