time,latlng,distance,altitude,velocity_smooth,heartrate,grade_smooth
0,"[32.223394, -110.903713]",0.0,771.5,0.0,91,-1.3
1,"[32.223317, -110.903795]",11.6,771.3,0.0,91,-1.2
2,"[32.22324, -110.903876]",23.2,771.2,0.0,95,-1.1
7,"[32.223164, -110.903958]",34.7,771.1,3.861,95,-1.2
8,"[32.223087, -110.90404]",46.3,771.0,3.861,95,-1.1
9,"[32.222779, -110.904368]",61.2,770.7,5.434,93,-0.6
10,"[32.222725, -110.904427]",69.2,770.7,5.758,93,-0.5
12,"[32.222613, -110.904493]",83.2,770.8,9.686,96,0.5
13,"[32.222589, -110.90448]",85.5,770.8,7.834,96,0.5
21,"[32.222455, -110.9044]",100.4,770.9,1.914,96,0.4
24,"[32.222378, -110.904388]",108.9,770.9,2.132,99,0.3
25,"[32.22236, -110.904389]",111.0,770.9,2.127,102,-0.4
28,"[32.222287, -110.904394]",119.1,770.9,2.669,105,-0.5
31,"[32.222212, -110.904401]",127.5,770.8,2.75,105,-0.4
32,"[32.222189, -110.904409]",130.1,770.8,2.727,108,-0.5
35,"[32.222135, -110.90443]",136.4,770.8,2.479,112,-0.7
36,"[32.222123, -110.904435]",137.9,770.8,2.074,111,-0.7
40,"[32.22209, -110.904452]",141.8,770.7,1.08,114,-0.5
42,"[32.222078, -110.904463]",143.5,770.7,0.937,114,-0.5
47,"[32.222028, -110.90458]",155.9,770.7,2.014,113,-0.5
53,"[32.222, -110.904783]",175.4,770.6,2.895,112,-0.6
60,"[32.221985, -110.905009]",196.8,770.4,3.145,113,-0.6
64,"[32.221972, -110.905142]",209.5,770.3,3.103,117,-0.4
67,"[32.221929, -110.905224]",218.6,770.3,3.106,119,0.0
70,"[32.221865, -110.905276]",227.3,770.4,2.963,122,0.4
73,"[32.221795, -110.905294]",235.3,770.4,2.792,125,0.8
74,"[32.221776, -110.905289]",237.4,770.4,2.699,126,0.5
76,"[32.221725, -110.905297]",243.3,770.5,2.665,128,0.0
78,"[32.221695, -110.905329]",247.7,770.5,2.484,131,0.0
84,"[32.221604, -110.905453]",263.9,770.4,2.578,132,0.0
91,"[32.221637, -110.905682]",285.5,770.4,2.905,132,0.1
98,"[32.221656, -110.905865]",302.9,770.5,2.789,131,0.3
105,"[32.221655, -110.906076]",322.8,770.6,2.663,128,0.5
106,"[32.221656, -110.906101]",325.1,770.6,2.766,128,0.4
114,"[32.221662, -110.906345]",348.1,770.7,2.814,129,0.4
116,"[32.221662, -110.906402]",353.4,770.7,2.838,129,0.4
123,"[32.221671, -110.906625]",374.6,770.8,2.94,131,0.2
125,"[32.221675, -110.906689]",380.6,770.8,3.017,132,0.2
129,"[32.22168, -110.906822]",393.1,770.8,3.097,135,0.0
134,"[32.221676, -110.906976]",407.6,770.8,3.003,137,0.0
141,"[32.221667, -110.907208]",429.6,770.8,3.041,139,0.0
143,"[32.221662, -110.907265]",435.0,770.8,3.04,140,0.0
150,"[32.221672, -110.907497]",456.9,770.8,3.027,140,-0.2
151,"[32.221677, -110.907533]",460.3,770.8,3.167,140,-0.2
158,"[32.221681, -110.907778]",483.4,770.7,3.32,139,-0.2
160,"[32.221682, -110.907851]",490.3,770.7,3.331,139,-0.3
166,"[32.221691, -110.90807]",510.9,770.7,3.436,140,-0.3
169,"[32.221695, -110.908176]",521.0,770.6,3.409,141,-0.5
176,"[32.221686, -110.908412]",543.2,770.5,3.232,143,-0.9
177,"[32.221685, -110.908451]",546.9,770.4,3.238,143,-1.0
183,"[32.2217, -110.908677]",568.3,770.2,3.577,142,-1.4
