time,latlng,distance,altitude,velocity_smooth,heartrate,grade_smooth
0,"[32.222361, -110.904391]",0.0,770.9,0.0,81,0.0
7,"[32.222361, -110.904391]",6.1,770.9,0.867,78,0.0
8,"[32.222361, -110.904391]",9.0,770.9,1.129,82,0.0
10,"[32.222361, -110.904391]",15.4,770.9,1.54,79,0.0
16,"[32.222361, -110.904391]",34.4,770.9,3.17,82,0.0
17,"[32.222361, -110.904391]",37.5,770.9,3.157,86,0.0
18,"[32.222361, -110.904391]",40.6,770.9,3.149,89,0.0
20,"[32.222361, -110.904391]",47.0,770.9,3.155,92,0.0
24,"[32.222361, -110.904391]",59.8,770.9,3.207,96,0.0
26,"[32.222361, -110.904391]",66.1,770.9,3.185,99,0.0
28,"[32.222361, -110.904391]",72.4,770.9,3.178,102,0.0
33,"[32.222361, -110.904391]",81.8,770.9,2.244,105,-0.4
34,"[32.222327, -110.904413]",81.8,770.9,1.567,108,-0.5
36,"[32.222261, -110.904425]",88.8,770.8,2.06,111,-1.0
37,"[32.222234, -110.904443]",92.3,770.8,2.21,111,-0.8
40,"[32.222183, -110.90452]",101.5,770.7,3.285,114,-0.9
42,"[32.222172, -110.904587]",107.9,770.7,3.12,117,-0.8
43,"[32.222165, -110.904623]",111.3,770.6,3.175,114,-0.6
45,"[32.222161, -110.904697]",118.2,770.6,3.352,117,-0.8
51,"[32.222156, -110.904903]",137.6,770.5,3.286,120,-0.4
57,"[32.222099, -110.905095]",157.0,770.3,3.233,121,-0.3
64,"[32.221951, -110.905253]",179.9,770.3,3.255,123,0.0
68,"[32.221845, -110.905283]",192.0,770.4,3.18,126,0.3
73,"[32.221732, -110.905336]",205.8,770.5,2.879,123,0.4
77,"[32.221723, -110.905459]",217.5,770.5,2.831,125,0.3
80,"[32.221716, -110.905566]",227.6,770.5,3.113,130,0.0
81,"[32.221715, -110.9056]",230.8,770.5,3.12,125,0.0
84,"[32.221711, -110.905701]",240.3,770.5,3.261,121,0.3
85,"[32.221708, -110.905734]",243.4,770.5,3.164,126,0.5
92,"[32.2217, -110.905962]",265.0,770.6,3.078,126,0.6
93,"[32.2217, -110.905995]",268.1,770.7,3.086,125,0.6
94,"[32.221702, -110.90603]",271.4,770.7,3.103,128,0.6
101,"[32.221706, -110.906269]",293.9,770.8,3.22,130,0.4
102,"[32.221706, -110.906301]",296.9,770.8,3.195,131,0.5
108,"[32.2217, -110.906499]",315.6,770.9,3.104,130,0.6
114,"[32.221699, -110.906713]",335.8,771.0,3.241,129,0.4
117,"[32.221704, -110.906818]",345.7,771.1,3.338,130,0.1
124,"[32.221718, -110.907063]",368.9,771.1,3.303,132,0.0
130,"[32.221733, -110.90728]",389.3,771.0,3.355,134,-0.9
132,"[32.221732, -110.907344]",395.3,771.0,3.311,135,-1.2
139,"[32.221734, -110.90756]",416.0,770.5,2.971,135,-1.3
143,"[32.221646, -110.907607]",426.8,770.4,2.86,135,-1.4
148,"[32.221568, -110.907737]",442.1,770.3,2.902,133,-0.5
154,"[32.221458, -110.907893]",461.4,770.1,3.142,132,-0.7
160,"[32.22138, -110.908068]",480.7,770.2,3.213,130,-0.7
166,"[32.221193, -110.908117]",502.0,769.9,3.384,127,-0.8
170,"[32.221074, -110.908164]",515.9,769.8,3.518,124,-1.2
173,"[32.220987, -110.908214]",526.6,769.6,3.517,125,-1.2
179,"[32.220829, -110.908334]",547.5,769.4,3.509,126,-1.3
181,"[32.220787, -110.90837]",553.2,769.3,3.326,126,-1.2
189,"[32.220639, -110.908538]",576.0,769.0,2.857,126,-1.2
192,"[32.220576, -110.908625]",586.8,768.9,3.055,127,-1.2
197,"[32.220487, -110.908771]",603.8,768.7,3.47,130,-1.2
202,"[32.220418, -110.908938]",621.2,768.5,3.444,133,-1.3
209,"[32.220365, -110.909178]",644.7,768.2,3.409,134,-1.2
210,"[32.220359, -110.909215]",648.2,768.1,3.368,134,-1.2
216,"[32.220305, -110.909428]",669.2,767.9,3.504,136,-1.0
217,"[32.220285, -110.909448]",672.1,767.9,3.423,138,-0.7
221,"[32.220185, -110.909463]",683.7,767.8,2.902,136,-0.7
224,"[32.220098, -110.90945]",693.4,767.8,3.043,139,-0.6
230,"[32.219913, -110.90944]",714.0,767.6,3.362,138,-0.3
236,"[32.219718, -110.90946]",735.8,767.5,3.531,139,-0.4
239,"[32.219652, -110.90954]",746.4,767.6,3.598,136,-0.4
240,"[32.21963, -110.909567]",749.8,767.6,3.583,139,-0.2
245,"[32.219499, -110.909625]",765.9,767.4,3.258,138,-0.7
250,"[32.219413, -110.909659]",776.0,767.4,2.62,137,-0.8
255,"[32.219286, -110.909639]",790.3,767.3,2.441,139,-0.6
262,"[32.219085, -110.909668]",813.5,767.1,3.121,138,-0.7
267,"[32.218959, -110.90976]",830.3,767.0,3.334,137,-0.6
273,"[32.218772, -110.909775]",851.2,766.9,3.429,136,-0.6
274,"[32.21874, -110.90978]",854.7,766.9,3.48,135,-0.7
280,"[32.218554, -110.909769]",875.4,766.7,3.464,136,-0.7
283,"[32.218454, -110.909773]",886.6,766.6,3.544,136,-0.8
289,"[32.218269, -110.909775]",907.0,766.5,3.512,136,-0.9
291,"[32.218198, -110.909775]",915.0,766.4,3.55,135,-1.0
295,"[32.218078, -110.909785]",928.3,766.2,3.533,135,-1.3
305,"[32.217952, -110.909803]",928.3,766.2,0.946,136,-1.1
306,"[32.21794, -110.909804]",929.6,766.2,0.126,132,-0.8
310,"[32.217825, -110.909797]",942.5,766.1,2.84,133,-0.7
316,"[32.217628, -110.909816]",964.3,765.9,3.468,132,-0.8
319,"[32.217538, -110.909816]",974.3,765.9,3.537,132,-0.8
325,"[32.217345, -110.909813]",995.8,765.7,3.493,132,-0.8
328,"[32.21726, -110.909812]",1005.1,765.6,3.429,132,-0.9
334,"[32.217067, -110.909806]",1026.6,765.4,3.43,131,-0.7
338,"[32.216944, -110.909795]",1040.3,765.3,3.513,133,-0.6
343,"[32.216792, -110.909789]",1057.2,765.3,3.391,136,-0.5
347,"[32.216678, -110.90978]",1069.7,765.2,3.274,137,-0.4
354,"[32.216467, -110.909792]",1093.2,765.1,3.276,137,-0.6
355,"[32.216435, -110.909795]",1096.8,765.1,3.384,138,-0.7
362,"[32.216226, -110.909777]",1120.0,764.9,3.355,138,-0.7
368,"[32.21604, -110.909767]",1140.7,764.7,3.378,140,-0.8
374,"[32.215845, -110.909762]",1162.3,764.6,3.524,139,-0.7
380,"[32.215655, -110.909768]",1183.3,764.4,3.549,138,-0.6
382,"[32.215598, -110.909763]",1189.7,764.4,3.418,138,-0.5
388,"[32.215408, -110.909771]",1210.8,764.3,3.436,139,-0.4
390,"[32.215342, -110.909768]",1218.0,764.3,3.546,138,-0.3
396,"[32.215141, -110.909757]",1240.3,764.2,3.692,139,0.0
399,"[32.215047, -110.909769]",1250.8,764.2,3.647,140,0.0
405,"[32.214856, -110.909769]",1272.0,764.3,3.519,141,0.3
407,"[32.214799, -110.909767]",1278.3,764.3,3.431,140,0.4
413,"[32.2146, -110.909775]",1300.4,764.4,3.545,141,0.4
415,"[32.214539, -110.909778]",1307.2,764.4,3.607,141,0.3
421,"[32.214351, -110.909772]",1327.9,764.5,3.447,141,0.2
424,"[32.214259, -110.909761]",1338.2,764.5,3.452,143,0.3
430,"[32.214076, -110.909772]",1358.6,764.5,3.4,144,0.3
432,"[32.214005, -110.909771]",1366.5,764.6,3.53,144,0.4
438,"[32.213815, -110.909776]",1387.5,764.7,3.622,145,0.5
440,"[32.213753, -110.909778]",1394.4,764.7,3.489,149,0.4
441,"[32.213723, -110.909777]",1397.7,764.7,3.472,146,0.3
445,"[32.213602, -110.909779]",1411.1,764.8,3.334,149,0.6
449,"[32.213477, -110.909788]",1425.0,764.8,3.411,151,0.5
455,"[32.213291, -110.90979]",1445.6,765.0,3.453,152,0.5
457,"[32.213227, -110.909791]",1452.7,765.0,3.462,151,0.6
463,"[32.213044, -110.909802]",1473.1,765.1,3.44,152,0.4
467,"[32.212921, -110.909814]",1486.7,765.2,3.402,151,0.7
469,"[32.212858, -110.909821]",1493.8,765.2,3.448,146,0.6
470,"[32.212826, -110.90982]",1497.3,765.3,3.451,149,0.5
477,"[32.212611, -110.90983]",1521.1,765.4,3.419,151,0.4
479,"[32.212548, -110.909829]",1528.2,765.4,3.432,148,0.2
485,"[32.212362, -110.90981]",1548.8,765.4,3.455,149,0.2
486,"[32.212324, -110.909808]",1553.1,765.4,3.557,151,0.3
492,"[32.212134, -110.909792]",1574.2,765.5,3.631,150,0.7
496,"[32.212003, -110.909799]",1588.8,765.6,3.571,152,0.7
502,"[32.211815, -110.909794]",1609.6,765.8,3.536,152,0.7
503,"[32.211786, -110.909795]",1612.8,765.8,3.436,152,0.6
509,"[32.211604, -110.909789]",1633.0,765.9,3.354,152,0.3
510,"[32.211566, -110.90979]",1637.3,765.9,3.496,152,0.4
513,"[32.211474, -110.909787]",1647.4,765.9,3.461,149,0.4
517,"[32.21135, -110.909794]",1661.2,766.0,3.417,150,0.4
523,"[32.211157, -110.909786]",1682.6,766.1,3.519,152,0.3
526,"[32.211059, -110.909787]",1693.5,766.1,3.588,153,0.2
532,"[32.210869, -110.909787]",1714.5,766.1,3.543,154,0.0
535,"[32.21077, -110.909789]",1725.5,766.1,3.558,154,0.1
541,"[32.210574, -110.909797]",1747.3,766.1,3.64,155,0.1
545,"[32.210447, -110.909786]",1761.4,766.2,3.588,154,0.1
551,"[32.210254, -110.909778]",1782.8,766.2,3.556,152,0.3
556,"[32.210094, -110.909787]",1800.6,766.2,3.565,152,0.2
562,"[32.209907, -110.909772]",1821.3,766.3,3.497,151,0.3
564,"[32.209847, -110.90977]",1827.9,766.3,3.416,150,0.6
570,"[32.209664, -110.909796]",1848.4,766.4,3.395,152,0.4
572,"[32.209614, -110.909807]",1854.1,766.5,3.274,152,0.6
578,"[32.209424, -110.909806]",1875.1,766.5,3.331,156,0.2
580,"[32.209361, -110.909803]",1882.1,766.6,3.497,159,0.0
586,"[32.209177, -110.909812]",1902.5,766.5,3.426,161,0.3
