time,latlng,distance,altitude,velocity_smooth,heartrate,grade_smooth
0,"[32.222933, -110.903517]",0.0,771.7,0.0,80,0.0
6,"[32.222933, -110.903517]",0.0,771.7,0.0,84,0.0
7,"[32.222933, -110.903517]",3.9,771.7,0.559,87,0.0
8,"[32.222933, -110.903517]",8.0,771.7,1.005,87,0.0
10,"[32.222933, -110.903517]",16.5,771.7,1.646,90,0.0
12,"[32.222933, -110.903517]",24.8,771.7,4.174,93,0.0
17,"[32.222933, -110.903517]",43.6,771.7,3.881,97,0.7
20,"[32.222933, -110.903517]",55.4,771.7,3.824,101,0.9
27,"[32.222977, -110.903268]",76.9,772.1,3.329,100,0.7
29,"[32.222987, -110.903201]",83.4,772.2,3.11,98,0.2
34,"[32.223085, -110.903104]",98.1,772.1,3.023,97,-1.2
39,"[32.223241, -110.903112]",115.3,771.8,3.192,99,-1.6
42,"[32.223342, -110.903128]",126.7,771.5,3.574,102,-1.7
44,"[32.223408, -110.903136]",134.0,771.4,3.738,105,-1.6
47,"[32.223504, -110.903147]",144.7,771.3,3.608,104,-1.0
51,"[32.223633, -110.903149]",159.0,771.1,3.573,107,-0.8
56,"[32.223793, -110.903158]",176.7,771.0,3.558,110,-0.8
61,"[32.223956, -110.903175]",194.9,770.9,3.591,113,-0.3
64,"[32.224055, -110.903179]",205.8,770.8,3.639,115,-0.2
71,"[32.224257, -110.903158]",228.6,770.9,3.367,115,0.2
73,"[32.2243, -110.903119]",234.5,770.9,3.183,116,0.5
74,"[32.224313, -110.903094]",237.3,771.0,3.145,118,1.2
76,"[32.224317, -110.903034]",243.1,771.0,2.902,120,1.6
82,"[32.224292, -110.902821]",263.3,771.3,3.247,123,1.5
86,"[32.224292, -110.90267]",277.5,771.6,3.446,124,1.1
90,"[32.224284, -110.902521]",291.6,771.8,3.54,128,0.7
96,"[32.224267, -110.902298]",312.7,771.8,3.514,130,0.0
98,"[32.224264, -110.902223]",319.8,771.7,3.522,133,-0.8
101,"[32.224265, -110.902103]",331.0,771.6,3.672,130,-1.5
104,"[32.224265, -110.901994]",341.3,771.4,3.588,129,-1.6
109,"[32.224268, -110.901804]",359.3,771.1,3.531,132,-1.7
112,"[32.224262, -110.901692]",369.8,770.9,3.563,131,-1.6
118,"[32.22426, -110.901466]",391.1,770.6,3.539,133,-1.5
122,"[32.224264, -110.90132]",404.9,770.4,3.508,133,-1.3
