time,latlng,distance,altitude,velocity_smooth,heartrate,grade_smooth
0,"[35.245198, -80.832002]",1.2,227.9,0.0,76,0.0
8,"[35.245198, -80.832002]",19.8,227.9,2.325,83,0.0
10,"[35.245198, -80.832002]",26.0,227.9,2.482,89,0.0
11,"[35.245198, -80.832002]",29.2,227.9,2.546,89,0.0
16,"[35.245198, -80.832002]",46.0,227.9,3.328,92,0.0
23,"[35.245198, -80.832002]",69.2,227.9,3.337,97,0.0
25,"[35.245198, -80.832002]",76.3,227.9,3.374,100,0.0
28,"[35.245198, -80.832002]",87.0,227.9,3.556,104,0.0
29,"[35.245198, -80.832002]",90.5,227.9,3.537,101,0.0
30,"[35.245198, -80.832002]",93.9,227.9,3.506,106,0.0
32,"[35.245198, -80.832002]",100.4,227.9,3.444,109,0.0
37,"[35.245198, -80.832002]",116.0,227.9,3.164,112,0.0
41,"[35.245198, -80.832002]",129.4,227.9,3.216,115,0.0
51,"[35.245198, -80.832002]",151.0,227.9,2.499,117,0.0
57,"[35.245198, -80.832002]",172.5,227.9,2.693,118,0.0
59,"[35.245198, -80.832002]",178.4,227.9,3.424,115,0.0
60,"[35.245198, -80.832002]",181.3,227.9,3.37,118,0.0
67,"[35.245198, -80.832002]",203.1,227.9,3.093,120,0.0
74,"[35.245198, -80.832002]",224.1,227.9,3.059,117,0.0
75,"[35.245198, -80.832002]",227.3,227.9,3.02,121,0.0
82,"[35.245198, -80.832002]",250.3,227.9,3.27,122,0.0
89,"[35.245198, -80.832002]",271.0,227.9,3.121,122,0.0
98,"[35.245198, -80.832002]",289.1,227.9,2.422,125,0.0
100,"[35.245284, -80.832132]",295.2,227.9,2.205,125,0.0
101,"[35.245249, -80.831976]",295.2,227.9,2.021,126,0.0
103,"[35.245245, -80.831902]",300.0,227.9,2.178,126,0.6
105,"[35.245285, -80.831853]",306.2,227.9,2.202,127,0.6
113,"[35.245412, -80.831659]",328.1,228.1,2.818,129,0.4
114,"[35.245432, -80.831641]",330.9,228.1,2.741,129,0.4
122,"[35.245558, -80.831471]",351.1,228.1,2.557,127,0.0
123,"[35.245579, -80.831455]",353.9,228.1,2.553,129,0.0
131,"[35.245739, -80.831306]",376.3,228.1,2.792,129,-0.2
132,"[35.245761, -80.831289]",379.1,228.1,2.797,130,-0.2
139,"[35.245918, -80.831168]",399.7,228.0,2.925,131,-0.2
141,"[35.245961, -80.831133]",405.4,228.0,2.928,132,-0.4
147,"[35.246089, -80.831025]",422.7,228.0,2.876,129,-0.2
151,"[35.246184, -80.830954]",435.0,227.9,2.963,129,-0.2
158,"[35.246304, -80.830848]",451.5,227.9,2.619,129,-0.3
162,"[35.2463, -80.830853]",452.5,227.9,1.585,129,0.0
165,"[35.246286, -80.830868]",454.7,227.9,0.464,129,0.0
171,"[35.246283, -80.830862]",455.7,227.9,0.363,127,0.0
172,"[35.246268, -80.830873]",457.7,227.9,0.417,127,0.3
176,"[35.246172, -80.830931]",469.5,227.9,2.76,126,0.4
183,"[35.246009, -80.831032]",489.9,228.0,2.928,125,0.4
190,"[35.245849, -80.831148]",510.5,228.1,2.926,125,0.5
191,"[35.245826, -80.831166]",513.6,228.1,2.961,125,0.2
198,"[35.245662, -80.831277]",534.3,228.2,2.98,122,0.0
199,"[35.245639, -80.831294]",537.4,228.1,2.976,125,0.0
204,"[35.245524, -80.831374]",552.0,228.1,2.948,128,-0.5
206,"[35.245482, -80.831403]",557.4,228.1,2.86,127,-0.4
212,"[35.245353, -80.83148]",573.3,228.0,2.659,127,-0.4
218,"[35.245243, -80.83161]",590.3,227.9,2.747,130,-0.4
221,"[35.245185, -80.831666]",598.6,227.9,2.811,131,0.0
224,"[35.245123, -80.831717]",606.8,227.9,2.738,134,0.3
229,"[35.245028, -80.831798]",619.7,228.0,2.638,133,0.8
231,"[35.245013, -80.831832]",623.3,228.0,2.354,131,1.1
237,"[35.245044, -80.831912]",623.3,228.1,0.445,132,1.4
238,"[35.245045, -80.831926]",624.6,228.1,0.187,131,1.1
243,"[35.245067, -80.83202]",633.5,228.2,1.712,128,0.7
246,"[35.245105, -80.832091]",641.2,228.2,2.076,129,0.6
250,"[35.245167, -80.832209]",653.7,228.3,2.876,126,0.2
253,"[35.245206, -80.832252]",659.3,228.3,2.593,124,0.2
261,"[35.245329, -80.83243]",680.5,228.3,2.437,125,-0.3
267,"[35.245444, -80.832612]",701.4,228.3,3.006,124,-0.3
272,"[35.245559, -80.832791]",721.9,228.1,3.765,124,-0.4
274,"[35.245605, -80.83285]",729.3,228.1,3.99,125,-0.3
279,"[35.245718, -80.833056]",751.8,228.0,4.279,126,0.0
282,"[35.245792, -80.833207]",767.8,228.1,4.811,127,0.0
287,"[35.245863, -80.833341]",782.4,228.1,3.821,128,0.3
291,"[35.245859, -80.833345]",785.3,228.1,1.939,130,0.0
296,"[35.245848, -80.833274]",791.6,228.1,1.019,127,0.0
297,"[35.245842, -80.833252]",793.6,228.1,1.393,127,0.0
302,"[35.245769, -80.833097]",809.9,228.1,3.057,124,0.2
307,"[35.245638, -80.832878]",834.6,228.1,4.093,122,0.3
311,"[35.245524, -80.832689]",855.9,228.2,5.11,121,0.3
314,"[35.245441, -80.83259]",868.8,228.3,4.883,121,0.4
318,"[35.245404, -80.832474]",880.0,228.3,3.45,118,0.0
319,"[35.245398, -80.83245]",882.4,228.3,2.728,117,-0.7
452,"[35.245114, -80.831956]",882.4,228.2,0.017,79,-0.7
453,"[35.245114, -80.831956]",882.4,228.2,0.0,80,0.0
459,"[35.245145, -80.83209]",895.0,228.2,1.794,81,0.3
461,"[35.245172, -80.832177]",903.3,228.3,2.609,78,0.3
464,"[35.245205, -80.832292]",913.9,228.3,3.786,82,0.3
466,"[35.245235, -80.832355]",920.3,228.3,3.412,84,0.0
470,"[35.245278, -80.832395]",926.3,228.3,2.077,87,0.0
471,"[35.245281, -80.832399]",926.8,228.3,1.302,87,0.0
479,"[35.245346, -80.832511]",939.3,228.3,1.436,87,0.0
498,"[35.245408, -80.832595]",939.8,228.3,0.481,79,-0.4
499,"[35.245417, -80.832601]",940.9,228.3,0.083,79,-0.6
504,"[35.245484, -80.832709]",953.3,228.2,2.24,80,-0.6
510,"[35.245602, -80.832889]",974.3,228.1,3.031,83,-0.3
513,"[35.245681, -80.832996]",987.4,228.0,3.791,86,-0.2
